correct_answer_idx;id;model_guessed_its_correct;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
1;(0, 0);True;[0.9945496985303486, 0.005218918770293122];360;0;0.3;False;0
1;(0, 0);False;[3.0796891161712066e-05, 0.9869888812154075];328;0;0.7;True;1
1;(0, 0);False;[0.0001084691743442835, 0.9959639548766879];391;0;0.7;True;2
1;(0, 0);False;[0.01087855087227379, 0.9792557124041052];389;0;0.7;True;3
1;(0, 0);False;[0.00012178559910795246, 0.9868386348027826];426;0;0.7;True;4
1;(0, 0);True;[0.9938930009772511, 0.005909902607505313];379;0;0.3;False;5
1;(0, 0);True;[0.9952206059794847, 0.004608786065856415];414;0;0.3;False;6
1;(0, 0);False;[0.00029459682254258, 0.9951092759488437];488;0;0.7;True;7
1;(0, 0);False;[0.06685971166757028, 0.9229699460472922];504;0;0.7;True;8
1;(0, 0);False;[9.574133083039551e-05, 0.9961466831376182];367;0;0.7;True;9
1;(0, 1);True;[0.9989815604464587, 0.0009109532301847802];326;0;0.9;True;0
1;(0, 1);True;[0.9982601924177572, 0.0015008233682540888];337;0;0.9;True;1
1;(0, 1);True;[0.9981208654569481, 0.0017004180904656844];462;0;0.9;True;2
1;(0, 1);True;[0.9989834638773406, 0.0009109549676918354];344;0;0.9;True;3
1;(0, 1);True;[0.9985121009903364, 0.0013248061098435902];383;0;0.9;True;4
1;(0, 1);True;[0.9947011221965836, 0.004606380277693007];321;0;0.9;True;5
1;(0, 1);True;[0.9972797919180385, 0.002472010000592727];365;0;0.9;True;6
1;(0, 1);True;[0.9930966553021562, 0.006691431241801317];320;0;0.9;True;7
1;(0, 1);False;[0.00029366106459264115, 0.9919479251867737];410;0;0.1;False;8
1;(0, 1);True;[0.9991069669848369, 0.0007095400655530358];295;0;0.9;True;9
1;(0, 2);False;[0.00029400068993557844, 0.9930954797634245];366;0;0.9;True;0
1;(0, 2);False;[5.783841852684537e-05, 0.9921736557279691];414;0;0.9;True;1
1;(0, 2);False;[9.516365247121823e-05, 0.990136533137198];433;0;0.9;True;2
1;(0, 2);False;[0.00022672445527231587, 0.9833650094398575];339;0;0.9;True;3
1;(0, 2);False;[0.00015590793451334791, 0.9838866799963981];468;0;0.9;True;4
1;(0, 2);False;[0.0001788883135087641, 0.9962577722449759];497;0;0.9;True;5
1;(0, 2);False;[5.080595691022498e-05, 0.9875804400060024];399;0;0.9;True;6
1;(0, 2);False;[0, 0.9863471144051951];432;0;0.9;True;7
1;(0, 2);False;[0.0006989861492341295, 0.9842457012326828];378;0;0.9;True;8
1;(0, 2);True;[0.914432321724706, 0.08505545785779477];419;0;0.1;False;9
1;(0, 3);False;[8.468018934174379e-05, 0.9983727037704856];457;0;1.0;True;0
1;(0, 3);False;[0, 0.983741876092195];367;0;1.0;True;1
1;(0, 3);False;[0, 0.9849935574798079];365;0;1.0;True;2
1;(0, 3);False;[3.9750322303105514e-05, 0.9921381004714112];346;0;1.0;True;3
1;(0, 3);False;[2.133909766204054e-05, 0.9950427024256068];383;0;1.0;True;4
1;(0, 3);False;[5.8052887313329805e-05, 0.9958525769350421];370;0;1.0;True;5
1;(0, 3);False;[3.5256789409864546e-05, 0.9971515248610833];530;0;1.0;True;6
1;(0, 3);False;[6.592327919517728e-05, 0.9979834771269251];429;0;1.0;True;7
1;(0, 3);False;[0.0003339136332674492, 0.9953821556307517];558;0;1.0;True;8
1;(0, 3);False;[0, 0.9936354139464774];332;0;1.0;True;9
2;(1, 0);False;[0.00037896976113125036, 0.9969502996519354];489;0;0.9;True;0
2;(1, 0);False;[0.00013928222422917382, 0.995999785916158];544;0;0.9;True;1
2;(1, 0);True;[0.9958295242564567, 0.004069728453258765];1002;0;0.1;False;2
2;(1, 0);False;[5.81249599909197e-05, 0.9970891812645645];643;0;0.9;True;3
2;(1, 0);False;[3.5288813511774294e-05, 0.9980578069939023];283;0;0.9;True;4
2;(1, 0);False;[0.00661633144007487, 0.9819504184049858];730;0;0.9;True;5
2;(1, 0);False;[5.1156843553665345e-05, 0.9944013855561935];764;0;0.9;True;6
2;(1, 0);False;[0.0016918539300924528, 0.9930938339190489];348;0;0.9;True;7
2;(1, 0);False;[4.5348003384286646e-05, 0.9988561854051705];545;0;0.9;True;8
2;(1, 0);False;[0.2645757306773292, 0.7191914438186076];444;0;0.9;True;9
2;(1, 1);False;[9.593125292411622e-05, 0.9981227656211316];541;0;0.6;True;0
2;(1, 1);True;[0.8805546239955717, 0.11917012009838823];609;0;0.4;False;1
2;(1, 1);False;[3.506201055535416e-05, 0.9916431629177608];674;0;0.6;True;2
2;(1, 1);False;[0.0002954262268031074, 0.9979109389404227];576;0;0.6;True;3
2;(1, 1);True;[0.9982202788899672, 0.0017005875608189372];712;0;0.4;False;4
2;(1, 1);True;[0.9958082453344838, 0.004069641127296911];493;0;0.4;False;5
2;(1, 1);True;[0.9956995026193732, 0.004069196764209422];513;0;0.4;False;6
