correct_answer_idx;model_guessed_its_correct;id;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
0;True;(0, 0);[1.0, 1.626111044617819e-14];342;0;1.0;True;0
0;True;(0, 0);[1.0, 4.420228103641173e-14];361;0;1.0;True;1
0;True;(0, 0);[1.0, 1.9810087980489796e-13];438;0;1.0;True;2
0;True;(0, 0);[1.0, 4.1937956583795446e-13];392;0;1.0;True;3
0;True;(0, 0);[1.0, 1.626111044617819e-14];404;0;1.0;True;4
0;True;(0, 0);[1.0, 1.626111044617819e-14];382;0;1.0;True;5
0;True;(0, 0);[1.0, 0];397;0;1.0;True;6
0;True;(0, 0);[1.0, 3.628344178047045e-15];430;0;1.0;True;7
0;True;(0, 0);[1.0, 2.0879679116459336e-14];331;0;1.0;True;8
0;True;(0, 0);[0.9999991655356624, 0];349;0;1.0;True;9
0;False;(0, 1);[0, 1.0];460;0;1.0;True;0
0;False;(0, 1);[0, 1.0];465;0;1.0;True;1
0;False;(0, 1);[0, 1.0];478;0;1.0;True;2
0;False;(0, 1);[0, 1.0];535;0;1.0;True;3
0;False;(0, 1);[6.64554417291507e-17, 1.0];451;0;1.0;True;4
0;False;(0, 1);[8.533047625744066e-17, 1.0];375;0;1.0;True;5
0;False;(0, 1);[0, 1.0];449;0;1.0;True;6
0;False;(0, 1);[0, 1.0];415;0;1.0;True;7
0;False;(0, 1);[0, 1.0];467;0;1.0;True;8
0;False;(0, 1);[0, 1.0];440;0;1.0;True;9
0;False;(0, 2);[0, 1.0];399;0;1.0;True;0
0;False;(0, 2);[0, 1.0];472;0;1.0;True;1
0;False;(0, 2);[0, 1.0];506;0;1.0;True;2
0;False;(0, 2);[0, 1.0];425;0;1.0;True;3
0;False;(0, 2);[0, 1.0];446;0;1.0;True;4
0;False;(0, 2);[0, 1.0];590;0;1.0;True;5
0;False;(0, 2);[0, 1.0];537;0;1.0;True;6
0;False;(0, 2);[0, 1.0];431;0;1.0;True;7
