correct_answer_idx;model_guessed_its_correct;id;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
1;False;(0, 0);[1.493094676197164e-10, 1.0];463;0;1.0;True;0
1;False;(0, 0);[2.4616969518153846e-10, 1.0];465;0;1.0;True;1
1;False;(0, 0);[1.917171513758312e-10, 1.0];489;0;1.0;True;2
1;False;(0, 0);[3.1608814543136926e-10, 1.0];447;0;1.0;True;3
1;False;(0, 0);[1.917171513758312e-10, 1.0];478;0;1.0;True;4
1;False;(0, 0);[0, 1.0];528;0;1.0;True;5
1;False;(0, 0);[1.917171513758312e-10, 1.0];463;0;1.0;True;6
1;False;(0, 0);[2.7894680928689246e-10, 1.0];540;0;1.0;True;7
1;False;(0, 0);[1.917171513758312e-10, 1.0];456;0;1.0;True;8
1;False;(0, 0);[0, 1.0];437;0;1.0;True;9
1;True;(0, 1);[1.0, 0];428;0;1.0;True;0
1;True;(0, 1);[1.0, 0];445;0;1.0;True;1
1;True;(0, 1);[1.0, 0];424;0;1.0;True;2
1;True;(0, 1);[1.0, 0];412;0;1.0;True;3
1;True;(0, 1);[1.0, 0];457;0;1.0;True;4
1;True;(0, 1);[1.0, 0];439;0;1.0;True;5
1;True;(0, 1);[1.0, 0];416;0;1.0;True;6
1;True;(0, 1);[1.0, 0];476;0;1.0;True;7
1;True;(0, 1);[1.0, 0];424;0;1.0;True;8
1;True;(0, 1);[1.0, 0];527;0;1.0;True;9
1;False;(0, 2);[0, 1.0];488;0;1.0;True;0
1;False;(0, 2);[0, 1.0];492;0;1.0;True;1
1;False;(0, 2);[0, 1.0];487;0;1.0;True;2
1;False;(0, 2);[0, 1.0];426;0;1.0;True;3
1;False;(0, 2);[0, 1.0];476;0;1.0;True;4
1;False;(0, 2);[0, 1.0];535;0;1.0;True;5
1;False;(0, 2);[0, 1.0];353;0;1.0;True;6
1;False;(0, 2);[0, 1.0];520;0;1.0;True;7
1;False;(0, 2);[0, 1.0];484;0;1.0;True;8
1;False;(0, 2);[0, 1.0];484;0;1.0;True;9
1;False;(0, 3);[0, 1.0];522;0;1.0;True;0
1;False;(0, 3);[0, 1.0];521;0;1.0;True;1
1;False;(0, 3);[0, 1.0];553;0;1.0;True;2
1;False;(0, 3);[0, 1.0];491;0;1.0;True;3
1;False;(0, 3);[0, 1.0];529;0;1.0;True;4
1;False;(0, 3);[0, 1.0];504;0;1.0;True;5
1;False;(0, 3);[0, 1.0];481;0;1.0;True;6
1;False;(0, 3);[0, 1.0];509;0;1.0;True;7
1;False;(0, 3);[0, 1.0];511;0;1.0;True;8
1;False;(0, 3);[0, 1.0];495;0;1.0;True;9
2;True;(1, 0);[0.9999998807907247, 1.2751905914873347e-07];799;0;0.9;False;0
2;True;(1, 0);[0.9999921322487634, 7.88926463665814e-06];683;0;0.9;False;1
2;True;(1, 0);[1.0, 9.237449661970594e-09];631;0;0.9;False;2
2;True;(1, 0);[0.9999996423722521, 3.059023205018258e-07];731;0;0.9;False;3
2;True;(1, 0);[0.9999977350285647, 2.2603250957489616e-06];1378;0;0.9;False;4
2;False;(1, 0);[5.905303998944039e-10, 1.0];735;0;0.1;True;5
2;True;(1, 0);[0.9999998807907247, 1.6373771305908126e-07];491;0;0.9;False;6
2;True;(1, 0);[1.0, 2.215948977336598e-08];392;0;0.9;False;7
2;True;(1, 0);[0.9999644768920447, 3.535625324942473e-05];804;0;0.9;False;8
2;True;(1, 0);[0.9999990463265931, 8.315279260963632e-07];1853;0;0.9;False;9
2;False;(1, 1);[1.670143001672819e-05, 0.9999833109787883];757;0;0.9;True;0
2;False;(1, 1);[2.7535687796947383e-05, 0.9999724634116024];1383;0;0.9;True;1
2;False;(1, 1);[2.7894680928689246e-10, 1.0];726;0;0.9;True;2
2;False;(1, 1);[0.26894137321568934, 0.7310584695202703];2193;0;0.9;True;3
2;False;(1, 1);[0, 0.9999998807907247];772;0;0.9;True;4
2;False;(1, 1);[2.699578503363014e-07, 0.9999997615814777];575;0;0.9;True;5
2;False;(1, 1);[0.001501181950907551, 0.9984987894978749];714;0;0.9;True;6
2;True;(1, 1);[0.9706875453951163, 0.029312225847906822];855;0;0.1;False;7
2;False;(1, 1);[4.058652126475693e-10, 0.9999998807907247];785;0;0.9;True;8
2;False;(1, 1);[2.7535687796947383e-05, 0.9999724634116024];809;0;0.9;True;9
2;True;(1, 2);[0.8519525826133132, 0.14804715550135744];1472;0;0.5;True;0
2;True;(1, 2);[0.9999893904859, 1.0129987330277146e-05];2113;0;0.5;True;1
2;False;(1, 2);[1.917171513758312e-10, 1.0];694;0;0.5;False;2
2;False;(1, 2);[0.00020342704214340812, 0.9997965511486372];967;0;0.5;False;3
2;True;(1, 2);[0.9994465793045639, 0.0005527782629881523];1729;0;0.5;True;4
2;False;(1, 2);[0, 1.0];699;0;0.5;False;5
2;True;(1, 2);[0.49999999904767284, 0.49999999904767284];344;0;0.5;True;6
2;False;(1, 2);[2.4616969518153846e-10, 0.9999998807907247];686;0;0.5;False;7
2;False;(1, 2);[4.5990553786523166e-10, 1.0];673;0;0.5;False;8
2;True;(1, 2);[0.9820135272887791, 0.01798620273753547];1565;0;0.5;True;9
2;False;(1, 3);[2.172439935079017e-10, 1.0];653;0;1.0;True;0
2;False;(1, 3);[9.237449661970594e-09, 1.0];634;0;1.0;True;1
2;False;(1, 3);[3.581747930283181e-10, 0.9999997615814777];1265;0;1.0;True;2
2;False;(1, 3);[7.194133030325383e-09, 1.0];1088;0;1.0;True;3
2;False;(1, 3);[3.2241867372567335e-08, 1.0];761;0;1.0;True;4
2;False;(1, 3);[0.00020342704214340812, 0.9997965511486372];355;0;1.0;True;5
2;False;(1, 3);[2.172439935079017e-10, 0.9999998807907247];868;0;1.0;True;6
2;False;(1, 3);[0.0009110509701065104, 0.9990888798598818];1239;0;1.0;True;7
2;False;(1, 3);[0.029312232836486894, 0.9706877714009485];650;0;1.0;True;8
2;False;(1, 3);[2.7894680928689246e-10, 1.0];684;0;1.0;True;9
2;False;(2, 0);[0, 1.0];528;0;1.0;True;0
2;False;(2, 0);[0, 0.9999998807907247];513;0;1.0;True;1
2;False;(2, 0);[0, 0.9999998807907247];432;0;1.0;True;2
2;False;(2, 0);[1.493094676197164e-10, 1.0];501;0;1.0;True;3
2;False;(2, 0);[0, 1.0];551;0;1.0;True;4
2;False;(2, 0);[0, 1.0];426;0;1.0;True;5
2;False;(2, 0);[0, 1.0];433;0;1.0;True;6
2;False;(2, 0);[0, 1.0];458;0;1.0;True;7
2;False;(2, 0);[0, 1.0];549;0;1.0;True;8
2;False;(2, 0);[0, 0.9999998807907247];371;0;1.0;True;9
2;False;(2, 1);[0, 0.9999998807907247];423;0;1.0;True;0
2;False;(2, 1);[0, 0.9999998807907247];334;0;1.0;True;1
2;False;(2, 1);[0, 0.9999998807907247];450;0;1.0;True;2
2;False;(2, 1);[0, 0.9999998807907247];393;0;1.0;True;3
2;False;(2, 1);[0, 0.9999998807907247];388;0;1.0;True;4
2;False;(2, 1);[0, 0.9999998807907247];403;0;1.0;True;5
2;False;(2, 1);[0, 0.9999998807907247];374;0;1.0;True;6
2;False;(2, 1);[0, 0.9999998807907247];327;0;1.0;True;7
2;False;(2, 1);[0, 0.9999998807907247];325;0;1.0;True;8
2;False;(2, 1);[0, 0.9999998807907247];390;0;1.0;True;9
2;True;(2, 2);[0.9999998807907247, 7.194133030325383e-09];351;0;1.0;True;0
2;True;(2, 2);[1.0, 8.152020714470167e-09];493;0;1.0;True;1
2;True;(2, 2);[1.0, 1.8189616875530459e-09];386;0;1.0;True;2
2;True;(2, 2);[0.9999998807907247, 1.0467401794744658e-08];352;0;1.0;True;3
2;True;(2, 2);[1.0, 6.34880011604368e-09];388;0;1.0;True;4
2;True;(2, 2);[1.0, 2.9989608248573072e-09];424;0;1.0;True;5
2;True;(2, 2);[1.0, 0];406;0;1.0;True;6
2;True;(2, 2);[1.0, 8.152020714470167e-09];431;0;1.0;True;7
2;True;(2, 2);[1.0, 6.34880011604368e-09];468;0;1.0;True;8
2;True;(2, 2);[1.0, 1.8189616875530459e-09];371;0;1.0;True;9
2;False;(2, 3);[5.211412487888539e-10, 0.9999998807907247];358;0;1.0;True;0
2;False;(2, 3);[1.6052280551856116e-09, 1.0];457;0;1.0;True;1
2;False;(2, 3);[3.850741922767617e-09, 1.0];349;0;1.0;True;2
2;False;(2, 3);[1.2501528663867426e-09, 1.0];386;0;1.0;True;3
2;False;(2, 3);[2.7894680928689246e-10, 0.9999998807907247];370;0;1.0;True;4
2;False;(2, 3);[5.211412487888539e-10, 0.9999998807907247];356;0;1.0;True;5
2;False;(2, 3);[7.582560427911907e-10, 1.0];512;0;1.0;True;6
2;False;(2, 3);[1.522997974471263e-08, 1.0];508;0;1.0;True;7
2;False;(2, 3);[7.582560427911907e-10, 0.9999998807907247];362;0;1.0;True;8
2;False;(2, 3);[2.172439935079017e-10, 1.0];406;0;1.0;True;9
0;True;(3, 0);[1.0, 0];469;0;1.0;True;0
0;True;(3, 0);[1.0, 0];485;0;1.0;True;1
0;True;(3, 0);[1.0, 0];417;0;1.0;True;2
0;True;(3, 0);[1.0, 0];364;0;1.0;True;3
0;True;(3, 0);[1.0, 0];332;0;1.0;True;4
0;True;(3, 0);[1.0, 0];333;0;1.0;True;5
0;True;(3, 0);[1.0, 0];441;0;1.0;True;6
0;True;(3, 0);[1.0, 0];316;0;1.0;True;7
0;True;(3, 0);[1.0, 0];339;0;1.0;True;8
0;True;(3, 0);[1.0, 0];454;0;1.0;True;9
0;False;(3, 1);[0, 0.9999998807907247];323;0;1.0;True;0
0;False;(3, 1);[0, 0.9999998807907247];507;0;1.0;True;1
0;False;(3, 1);[0, 0.9999998807907247];353;0;1.0;True;2
0;False;(3, 1);[6.691586091292782e-10, 0.9999998807907247];401;0;1.0;True;3
0;False;(3, 1);[0, 0.9999998807907247];365;0;1.0;True;4
0;False;(3, 1);[0, 0.9999998807907247];351;0;1.0;True;5
0;False;(3, 1);[0, 0.9999998807907247];384;0;1.0;True;6
0;False;(3, 1);[0, 0.9999998807907247];338;0;1.0;True;7
0;False;(3, 1);[0, 0.9999998807907247];370;0;1.0;True;8
0;False;(3, 1);[3.1608814543136926e-10, 0.9999998807907247];334;0;1.0;True;9
0;False;(3, 2);[0, 0.9999998807907247];377;0;1.0;True;0
0;False;(3, 2);[3.1608814543136926e-10, 1.0];320;0;1.0;True;1
0;False;(3, 2);[0, 0.9999998807907247];489;0;1.0;True;2
0;False;(3, 2);[0, 0.9999998807907247];378;0;1.0;True;3
0;False;(3, 2);[0, 0.9999998807907247];369;0;1.0;True;4
0;False;(3, 2);[0, 0.9999998807907247];479;0;1.0;True;5
0;False;(3, 2);[0, 1.0];306;0;1.0;True;6
0;False;(3, 2);[0, 0.9999998807907247];315;0;1.0;True;7
0;False;(3, 2);[0, 0.9999998807907247];294;0;1.0;True;8
0;False;(3, 2);[0, 0.9999998807907247];327;0;1.0;True;9
0;False;(3, 3);[0, 0.9999998807907247];340;0;1.0;True;0
0;False;(3, 3);[0, 0.9999998807907247];305;0;1.0;True;1
0;False;(3, 3);[0, 0.9999998807907247];240;0;1.0;True;2
0;False;(3, 3);[0, 0.9999998807907247];310;0;1.0;True;3
0;False;(3, 3);[0, 0.9999998807907247];489;0;1.0;True;4
0;False;(3, 3);[0, 0.9999998807907247];302;0;1.0;True;5
0;False;(3, 3);[0, 0.9999998807907247];323;0;1.0;True;6
0;False;(3, 3);[0, 1.0];291;0;1.0;True;7
0;False;(3, 3);[0, 0.9999998807907247];287;0;1.0;True;8
0;False;(3, 3);[0, 0.9999998807907247];304;0;1.0;True;9
1;False;(4, 0);[0, 0.9999998807907247];448;0;1.0;True;0
1;False;(4, 0);[0, 0.9999998807907247];459;0;1.0;True;1
1;False;(4, 0);[0, 0.9999998807907247];475;0;1.0;True;2
1;False;(4, 0);[0, 0.9999998807907247];495;0;1.0;True;3
1;False;(4, 0);[0, 0.9999998807907247];539;0;1.0;True;4
1;False;(4, 0);[0, 0.9999998807907247];442;0;1.0;True;5
1;False;(4, 0);[0, 0.9999998807907247];325;0;1.0;True;6
1;False;(4, 0);[0, 0.9999998807907247];404;0;1.0;True;7
1;False;(4, 0);[0, 0.9999998807907247];428;0;1.0;True;8
1;False;(4, 0);[0, 0.9999998807907247];384;0;1.0;True;9
1;True;(4, 1);[0.9999417100552707, 5.829127258796956e-05];574;0;0.6;True;0
1;True;(4, 1);[1.0, 9.237449661970594e-09];529;0;0.6;True;1
1;False;(4, 1);[0.0011695103074966034, 0.9988304957495425];741;0;0.4;False;2
1;False;(4, 1);[5.715002286213223e-07, 0.9999994039539004];814;0;0.4;False;3
1;True;(4, 1);[0.9999998807907247, 6.82560337633487e-08];466;0;0.6;True;4
1;True;(4, 1);[0.999876633606226, 0.0001233946226544279];636;0;0.6;True;5
1;False;(4, 1);[1.2501528663867426e-09, 1.0];530;0;0.4;False;6
1;True;(4, 1);[1.0, 8.152020714470167e-09];512;0;0.6;True;7
1;True;(4, 1);[1.0, 9.237449661970594e-09];635;0;0.6;True;8
1;False;(4, 1);[3.2241867372567335e-08, 1.0];621;0;0.4;False;9
1;False;(4, 2);[0, 0.9999998807907247];523;0;1.0;True;0
1;False;(4, 2);[0, 0.9999998807907247];411;0;1.0;True;1
1;False;(4, 2);[0, 0.9999998807907247];543;0;1.0;True;2
1;False;(4, 2);[0, 0.9999998807907247];477;0;1.0;True;3
1;False;(4, 2);[0, 0.9999998807907247];504;0;1.0;True;4
1;False;(4, 2);[0, 0.9999998807907247];476;0;1.0;True;5
1;False;(4, 2);[0, 0.9999998807907247];385;0;1.0;True;6
1;False;(4, 2);[0, 0.9999998807907247];440;0;1.0;True;7
1;False;(4, 2);[0, 0.9999998807907247];541;0;1.0;True;8
1;False;(4, 2);[0, 0.9999998807907247];467;0;1.0;True;9
1;False;(4, 3);[2.061153622438558e-09, 1.0];507;0;1.0;True;0
1;False;(4, 3);[0.0001233946226544279, 0.999876633606226];538;0;1.0;True;1
1;False;(4, 3);[5.211412487888539e-10, 1.0];467;0;1.0;True;2
1;False;(4, 3);[1.103256032343554e-09, 1.0];486;0;1.0;True;3
1;False;(4, 3);[0, 0.9999998807907247];484;0;1.0;True;4
1;False;(4, 3);[1.103256032343554e-09, 1.0];501;0;1.0;True;5
1;False;(4, 3);[5.905303998944039e-10, 1.0];564;0;1.0;True;6
1;False;(4, 3);[0, 1.0];622;0;1.0;True;7
1;False;(4, 3);[3.1608814543136926e-10, 1.0];561;0;1.0;True;8
1;False;(4, 3);[4.058652126475693e-10, 1.0];557;0;1.0;True;9
2;False;(5, 0);[8.592166619174109e-10, 0.9999998807907247];405;0;1.0;True;0
2;False;(5, 0);[3.1608814543136926e-10, 0.9999998807907247];442;0;1.0;True;1
2;False;(5, 0);[0, 0.9999998807907247];350;0;1.0;True;2
2;False;(5, 0);[0, 0.9999998807907247];460;0;1.0;True;3
2;False;(5, 0);[0, 0.9999997615814777];481;0;1.0;True;4
2;False;(5, 0);[0, 0.9999998807907247];414;0;1.0;True;5
2;False;(5, 0);[4.5990553786523166e-10, 0.9999998807907247];404;0;1.0;True;6
2;False;(5, 0);[0, 0.9999998807907247];492;0;1.0;True;7
2;False;(5, 0);[2.7894680928689246e-10, 0.9999998807907247];448;0;1.0;True;8
2;False;(5, 0);[2.4616969518153846e-10, 0.9999998807907247];550;0;1.0;True;9
2;False;(5, 1);[0, 1.0];467;0;1.0;True;0
2;False;(5, 1);[0, 0.9999998807907247];354;0;1.0;True;1
2;False;(5, 1);[0, 1.0];433;0;1.0;True;2
2;False;(5, 1);[3.1608814543136926e-10, 1.0];281;0;1.0;True;3
2;False;(5, 1);[2.7894680928689246e-10, 0.9999998807907247];446;0;1.0;True;4
2;False;(5, 1);[0, 0.9999998807907247];431;0;1.0;True;5
2;False;(5, 1);[1.493094676197164e-10, 1.0];597;0;1.0;True;6
2;False;(5, 1);[0, 1.0];300;0;1.0;True;7
2;False;(5, 1);[0, 1.0];540;0;1.0;True;8
2;False;(5, 1);[0, 0.9999998807907247];546;0;1.0;True;9
2;True;(5, 2);[1.0, 0];423;0;1.0;True;0
2;True;(5, 2);[1.0, 0];367;0;1.0;True;1
2;True;(5, 2);[1.0, 0];498;0;1.0;True;2
2;True;(5, 2);[1.0, 0];400;0;1.0;True;3
2;True;(5, 2);[1.0, 0];386;0;1.0;True;4
2;True;(5, 2);[1.0, 0];313;0;1.0;True;5
2;True;(5, 2);[1.0, 1.8189616875530459e-09];524;0;1.0;True;6
2;True;(5, 2);[1.0, 0];512;0;1.0;True;7
2;True;(5, 2);[1.0, 0];447;0;1.0;True;8
2;True;(5, 2);[1.0, 0];473;0;1.0;True;9
2;False;(5, 3);[4.5990553786523166e-10, 0.9999998807907247];480;0;1.0;True;0
2;False;(5, 3);[0, 0.9999998807907247];493;0;1.0;True;1
2;False;(5, 3);[0, 0.9999998807907247];497;0;1.0;True;2
2;False;(5, 3);[0, 0.9999998807907247];536;0;1.0;True;3
2;False;(5, 3);[0, 0.9999998807907247];543;0;1.0;True;4
2;False;(5, 3);[0, 0.9999998807907247];420;0;1.0;True;5
2;False;(5, 3);[0, 0.9999998807907247];430;0;1.0;True;6
2;False;(5, 3);[0, 1.0];542;0;1.0;True;7
2;False;(5, 3);[0, 0.9999998807907247];398;0;1.0;True;8
2;False;(5, 3);[2.7894680928689246e-10, 0.9999998807907247];374;0;1.0;True;9
3;False;(6, 0);[0, 1.0];626;0;1.0;True;0
3;False;(6, 0);[0, 0.9999998807907247];806;0;1.0;True;1
3;False;(6, 0);[0, 0.9999998807907247];819;0;1.0;True;2
3;False;(6, 0);[0, 0.9999998807907247];561;0;1.0;True;3
3;False;(6, 0);[0, 1.0];519;0;1.0;True;4
3;False;(6, 0);[0, 1.0];445;0;1.0;True;5
3;False;(6, 0);[0, 1.0];589;0;1.0;True;6
3;False;(6, 0);[0, 0.9999998807907247];808;0;1.0;True;7
3;False;(6, 0);[0, 1.0];681;0;1.0;True;8
3;False;(6, 0);[0, 1.0];766;0;1.0;True;9
3;False;(6, 1);[1.917171513758312e-10, 1.0];540;0;1.0;True;0
3;False;(6, 1);[2.7894680928689246e-10, 0.9999998807907247];511;0;1.0;True;1
3;False;(6, 1);[2.7894680928689246e-10, 1.0];694;0;1.0;True;2
3;False;(6, 1);[0, 0.9999998807907247];720;0;1.0;True;3
3;False;(6, 1);[0, 0.9999998807907247];724;0;1.0;True;4
3;False;(6, 1);[3.1608814543136926e-10, 1.0];715;0;1.0;True;5
3;False;(6, 1);[0, 0.9999998807907247];876;0;1.0;True;6
3;False;(6, 1);[0, 0.9999998807907247];672;0;1.0;True;7
3;False;(6, 1);[0, 0.9999998807907247];659;0;1.0;True;8
3;False;(6, 1);[4.5990553786523166e-10, 0.9999998807907247];1020;0;1.0;True;9
3;False;(6, 2);[0, 1.0];649;0;1.0;True;0
3;False;(6, 2);[0, 1.0];605;0;1.0;True;1
3;False;(6, 2);[0, 1.0];632;0;1.0;True;2
3;False;(6, 2);[0, 1.0];682;0;1.0;True;3
3;False;(6, 2);[0, 1.0];551;0;1.0;True;4
3;False;(6, 2);[0.00029595693836720663, 0.9997038526352292];2636;0;1.0;True;5
