confidence_per_choice;id
[0, 0, 0, 0];('astronomy', 65)
[0, 0, 0, 0];('astronomy', 66)
[0, 0, 0, 0];('astronomy', 67)
[0, 0, 0, 0];('astronomy', 68)
[0, 0, 0, 0];('astronomy', 69)
[0, 0, 0, 0];('astronomy', 70)
[0, 0, 0, 0];('astronomy', 71)
[0, 0, 0, 0];('astronomy', 72)
[0, 0, 0, 0];('astronomy', 73)
[0, 0, 0, 0];('astronomy', 74)
[0, 0, 0, 0];('astronomy', 75)
[0, 0, 0, 0];('astronomy', 76)
[0, 0, 0, 0];('astronomy', 77)
[0, 0, 0, 0];('astronomy', 78)
[0, 0, 0, 0];('astronomy', 79)
[0, 0, 0, 0];('astronomy', 80)
[0, 0, 0, 0];('astronomy', 81)
[0, 0, 0, 0];('astronomy', 82)
[0, 0, 0, 0];('astronomy', 83)
[0, 0, 0, 0];('astronomy', 84)
[0, 0, 0, 0];('astronomy', 85)
[0, 0, 0, 0];('astronomy', 86)
[0, 0, 0, 0];('astronomy', 87)
[0, 0, 0, 0];('astronomy', 88)
[0, 0, 0, 0];('astronomy', 89)
[0, 0, 0, 0];('astronomy', 90)
[0, 0, 0, 0];('astronomy', 91)
[0, 0, 0, 0];('astronomy', 92)
[0, 0, 0, 0];('astronomy', 93)
[0, 0, 0, 0];('astronomy', 94)
[0, 0, 0, 0];('astronomy', 95)
[0, 0, 0, 0];('astronomy', 96)
[0, 0, 0, 0];('astronomy', 97)
[0, 0, 0, 0];('astronomy', 98)
[0, 0, 0, 0];('astronomy', 99)
[0, 0, 0, 0];('astronomy', 100)
[0, 0, 0, 0];('astronomy', 101)
[0, 0, 0, 0];('astronomy', 102)
[0, 0, 0, 0];('astronomy', 103)
[0, 0, 0, 0];('astronomy', 104)
[0, 0, 0, 0];('astronomy', 105)
[0, 0, 0, 0];('astronomy', 106)
[0, 0, 0, 0];('astronomy', 107)
[0, 0, 0, 0];('astronomy', 108)
[0, 0, 0, 0];('astronomy', 109)
[0, 0, 0, 0];('astronomy', 110)
[0, 0, 0, 0];('astronomy', 111)
[0, 0, 0, 0];('astronomy', 112)
[0, 0, 0, 0];('astronomy', 113)
[0, 0, 0, 0];('astronomy', 114)
[0, 0, 0, 0];('astronomy', 115)
[1.1252294068704255e-07, 0, 0, 0];('astronomy', 116)
[0, 0, 0, 0];('astronomy', 117)
[0, 0, 0, 0];('astronomy', 118)
[0, 0, 0, 0];('astronomy', 119)
[0, 0, 0, 0];('astronomy', 120)
[0, 0, 0, 0];('astronomy', 121)
[0, 0, 0, 0];('astronomy', 122)
[0, 0, 0, 0];('astronomy', 123)
[0.020237581013819166, 0, 0, 7.769542401960816e-05];('astronomy', 124)
[0, 0, 0, 0];('astronomy', 125)
[0, 0, 0, 0];('astronomy', 126)
[0, 0, 0, 0];('astronomy', 127)
[0, 0, 0, 0];('astronomy', 128)
[0, 0, 0, 0];('astronomy', 129)
[0, 0, 0, 0];('astronomy', 130)
[0, 0, 0, 0];('astronomy', 131)
[0, 0, 0, 0];('astronomy', 132)
[0, 0, 0, 0];('astronomy', 133)
[0, 0, 0, 0];('astronomy', 134)
[0, 0, 0, 0];('astronomy', 135)
[0, 0, 0, 0];('astronomy', 136)
