confidence_per_choice;id
[0.1010750898148486, 0.2139759413092406, 0.17739228593542083, 0.14706337038104736];('clinical_knowledge', 13)
[0.06548415057033066, 0.6613664527792916, 0.014611485520291742, 0.09527887687339671];('clinical_knowledge', 14)
[0.12038648236442104, 0.03671580270688624, 0.6113730402992917, 0.12038648236442104];('clinical_knowledge', 15)
[0.15879619887798754, 0.02937434316840884, 0.07984774325760584, 0.5542531944254938];('clinical_knowledge', 16)
[0.11170657079036951, 0.18417297738392074, 0.2517346132272864, 0.1434340590071896];('clinical_knowledge', 17)
[0.21773874288153733, 0.0801016070526323, 0.49068186085453386, 0.15930106731932706];('clinical_knowledge', 18)
[0.1442357394892027, 0.06012640167329223, 0.5704634498692521, 0.12728759334122];('clinical_knowledge', 19)
[0.08603635954134979, 0.009068165579784026, 0.006232452981286881, 0.6767283875048979];('clinical_knowledge', 20)
[0.8010661814545282, 0.03519638954465569, 0.022724497045089012, 0.0699963786814712];('clinical_knowledge', 21)
[0.39041701695415026, 0.2089751702130013, 0.16275002620436554, 0.11907046278258933];('clinical_knowledge', 22)
[0.10897597474544235, 0.7106125774208805, 0.020158528364674966, 0.04835779565675374];('clinical_knowledge', 23)
[0.1230003374540983, 0.4864757135836526, 0.018862712672188257, 0.051274169092253505];('clinical_knowledge', 24)
[0.05577586382800501, 0.5633162359036797, 0.06320233381516983, 0.06320233381516983];('clinical_knowledge', 25)
[0.21552104918221188, 0.13072013972549992, 0.2024632889130354, 0.4026463288762185];('clinical_knowledge', 26)
[0.3947096576202414, 0.13640801575693023, 0.1281434718745267, 0.1452055769252323];('clinical_knowledge', 27)
[0.13772487885058216, 0.07847327050720887, 0.2738986270638345, 0.2738986270638345];('clinical_knowledge', 28)
[0.0791634876595969, 0.05440821634014238, 0.08970398358084702, 0.5162108454998409];('clinical_knowledge', 29)
[0.0705379333330917, 0.4059178283076964, 0.02594945549596623, 0.3365176992556327];('clinical_knowledge', 30)
[0.11561916642217379, 0.0399569147361615, 0.08458878916024512, 0.5181692162464345];('clinical_knowledge', 31)
[0.3085879620009217, 0.09411401104194425, 0.032524931904023203, 0.42178973465235753];('clinical_knowledge', 32)
[0.21333657313009957, 0.12939517244143176, 0.06506397874054715, 0.39856519032275217];('clinical_knowledge', 33)
[0.10965932773190018, 0.31730978596562825, 0.03344420538666836, 0.08540277030868769];('clinical_knowledge', 34)
[0.30536744769079505, 0.07720898204606769, 0.038823114275754265, 0.503465836396124];('clinical_knowledge', 35)
[0.1767590358074897, 0.12931967315429857, 0.3302293540869601, 0.11412421100192073];('clinical_knowledge', 36)
[0.18486407903756502, 0.30478933929762314, 0.04674095902267465, 0.10533237714530441];('clinical_knowledge', 37)
[0.12369460745499664, 0.5901139682160097, 0.027599997570930564, 0.13167222423386368];('clinical_knowledge', 38)
[0.24886888528955425, 0.19381928274561247, 0.17104491668417093, 0.24886888528955425];('clinical_knowledge', 39)
[0.1610163892459931, 0.5982484979030253, 0.07605875672293515, 0.06712161722242554];('clinical_knowledge', 40)
[0.2934547632412564, 0.15707501577821698, 0.14755832166368985, 0.33252781101192147];('clinical_knowledge', 41)
[0.26639436053861093, 0.040852898328074594, 0.41259965698746565, 0.08124568964607772];('clinical_knowledge', 42)
[0.1616673251830129, 0.6806449027702435, 0.011711141756634779, 0.02809356862413761];('clinical_knowledge', 43)
[0.07543345772977154, 0.026069105426315145, 0.024489658173342112, 0.557382084124156];('clinical_knowledge', 44)
[0.062315289990034904, 0.031334095597406034, 0.048531196641560866, 0.6699524444786182];('clinical_knowledge', 45)
[0.0872820825739136, 0.02349165383424797, 0.022068366478984816, 0.7308039081619836];('clinical_knowledge', 46)
[0.5421388647558048, 0.05367901360644906, 0.032557967535442975, 0.12096752450542411];('clinical_knowledge', 47)
[0.11895293519823741, 0.08702782650010758, 0.03861836391162566, 0.53311010133841];('clinical_knowledge', 48)
[0.034348088617892236, 0.0727149041746915, 0.007199752217739715, 0.5719470587211678];('clinical_knowledge', 49)
[0.3080885109547908, 0.28942237169368307, 0.09396168707905961, 0.08826883624606079];('clinical_knowledge', 50)
[0.4160875163867945, 0.10520339946263794, 0.056311321881425555, 0.23707952042214198];('clinical_knowledge', 51)
[0.07354324786495225, 0.12125231707131856, 0.42321217096580693, 0.29086918775865106];('clinical_knowledge', 52)
[0.16093013240932758, 0.49569970534582053, 0.02796546039502827, 0.08092074277594982];('clinical_knowledge', 53)
[0.12577669650420947, 0.18300401357266394, 0.02987458397680068, 0.4974565142803628];('clinical_knowledge', 54)
[0.3029980665942716, 0.19563025520709176, 0.2082473226646359, 0.183777617223076];('clinical_knowledge', 55)
[0.06866583481105333, 0.42062928385872567, 0.02862417858224652, 0.05023699792243499];('clinical_knowledge', 56)
[0.16436936668446794, 0.0470926063980951, 0.419731881993937, 0.1862548935900788];('clinical_knowledge', 57)
[0.07734556162327323, 0.026729910849875756, 0.019556020538119515, 0.7338342349264414];('clinical_knowledge', 58)
[0.19568128808715207, 0.5319168895767649, 0.024878083982044878, 0.07662989345029242];('clinical_knowledge', 59)
[0.0838553478472759, 0.08926355313405485, 0.3758136183367695, 0.08926355313405485];('clinical_knowledge', 60)
[0.20946268859061004, 0.443432515226057, 0.03212214749332073, 0.07705702601089424];('clinical_knowledge', 61)
[0.04304499810002579, 0.013127982699708152, 0.7167635690711877, 0.0487763730093087];('clinical_knowledge', 62)
[0.16820353838704916, 0.11560450236925439, 0.22990697810710187, 0.334512679306648];('clinical_knowledge', 63)
[0.29955311588111244, 0.05205453242491253, 0.03808390947957574, 0.2643546969246461];('clinical_knowledge', 64)
[0.1778890208038177, 0.21457511793344303, 0.2284140240617963, 0.21457511793344303];('clinical_knowledge', 65)
[0.08879631889123787, 0.6561210403276818, 0.025440571305866765, 0.053857689877155876];('clinical_knowledge', 66)
[0.033973118563800586, 0.020605738014997484, 0.007580429193197361, 0.7732246836437177];('clinical_knowledge', 67)
[0.06704254480179912, 0.023169283512729292, 0.010944394582387162, 0.7672613408154471];('clinical_knowledge', 68)
[0.0421698118670841, 0.013690536734764195, 0.006075138849617822, 0.847003376406862];('clinical_knowledge', 69)
[0.37022234948489274, 0.12794543563158334, 0.044216759388707734, 0.2245512058734331];('clinical_knowledge', 70)
[0.1805764547432657, 0.04029205326590057, 0.5920873652739008, 0.0428906674399744];('clinical_knowledge', 71)
[0.11594744356675261, 0.04540567129953094, 0.03321949876555081, 0.6672315087953539];('clinical_knowledge', 72)
[0.08996288369733992, 0.21580976480211134, 0.02421318166828726, 0.4291889655637004];('clinical_knowledge', 73)
[0.09675620655940254, 0.10299644574839584, 0.15952401582674222, 0.43363120757821166];('clinical_knowledge', 74)
[0.1320423974056633, 0.49059705212224636, 0.062372412078172276, 0.1240423529680883];('clinical_knowledge', 75)
[0.10530262221187828, 0.645056822963916, 0.019479026470663238, 0.0412370993619928];('clinical_knowledge', 76)
[0.7485663351523829, 0.06540900325631024, 0.02726652920258362, 0.061446072084587015];('clinical_knowledge', 77)
[0.1059204055447802, 0.53790817188262, 0.014334764667265078, 0.06035162786794978];('clinical_knowledge', 78)
[0.23206186228271047, 0.4072812521021505, 0.10961826190914405, 0.11668803239849049];('clinical_knowledge', 79)
[0.07750093215682943, 0.028510999612120277, 0.05326555976769537, 0.6907582275076852];('clinical_knowledge', 80)
[0.10254215286081414, 0.08501043056252057, 0.10254215286081414, 0.5543376079984823];('clinical_knowledge', 81)
[0.16437085586222625, 0.2884798360495502, 0.06851995878279653, 0.22466832221570016];('clinical_knowledge', 82)
[0.37536986303089537, 0.2746264747979763, 0.16656937693377147, 0.08915816264508866];('clinical_knowledge', 83)
[0.08453903031510399, 0.022753371334416024, 0.03751396729919026, 0.6649509214055424];('clinical_knowledge', 84)
[0.1461791299249927, 0.019783191593340143, 0.00824686120328666, 0.4793029145311578];('clinical_knowledge', 85)
[0.33723360826215426, 0.07524698901896733, 0.05860241397173716, 0.26263779819256117];('clinical_knowledge', 86)
[0.22875758634167037, 0.18964670008191178, 0.05433468928217353, 0.09536034945916948];('clinical_knowledge', 87)
[0.04930905182430367, 0.020555070931911466, 0.020555070931911466, 0.7713233462459395];('clinical_knowledge', 88)
[0.4102157513704112, 0.07588228395252535, 0.03815600857988733, 0.3620141299758004];('clinical_knowledge', 89)
[0.05493909739406054, 0.0662692011526012, 0.712461012956375, 0.040194302293716413];('clinical_knowledge', 90)
[0.10735605653204598, 0.030758025168424918, 0.42460144025444063, 0.0947413873632273];('clinical_knowledge', 91)
[0.1115704264265818, 0.07203528141525409, 0.38941907535021925, 0.1115704264265818];('clinical_knowledge', 92)
[0.1139222517818555, 0.0347443237662287, 0.025419490284555164, 0.7428664197893288];('clinical_knowledge', 93)
[0.12708921326058947, 0.0873470537239826, 0.535065573386698, 0.13528576330412764];('clinical_knowledge', 94)
[0.06119812628398646, 0.14680665567901544, 0.5454528971772635, 0.04766114867247138];('clinical_knowledge', 95)
[0.22130387390919995, 0.16190937289840762, 0.15209977989270226, 0.28415979891087184];('clinical_knowledge', 96)
[0.4182535528017543, 0.1275601341598925, 0.0365465903249386, 0.15386689244386093];('clinical_knowledge', 97)
[0.06724989198730658, 0.11087632737175847, 0.26597848241791927, 0.26597848241791927];('clinical_knowledge', 98)
[0.3410388310888308, 0.3009657120969642, 0.046154586800090235, 0.18254493190905421];('clinical_knowledge', 99)
[0.09396863202140221, 0.07318284420241673, 0.4211382412885253, 0.10002908809887398];('clinical_knowledge', 100)
