id;iter;answer_token_len;correct_answer_idx;finish_reasons;frequency_of_answer;is_correct;model_guessed_its_correct;reasoning_token_len;yes_no_probabilities
(0, 0);0;569;1;stop;1.0;True;False;216;[3.775134544279098e-11, 1.0]
(0, 0);1;451;1;stop;1.0;True;False;211;[1.3176514270095466e-10, 1.0]
(0, 0);2;463;1;stop;1.0;True;False;140;[7.991959892953932e-11, 1.0]
(0, 0);3;421;1;stop;1.0;True;False;149;[4.8473687062702556e-11, 1.0]
(0, 0);4;502;1;stop;1.0;True;False;125;[1.3176514270095466e-10, 1.0]
(0, 0);5;419;1;stop;1.0;True;False;153;[0, 1.0]
(0, 0);6;480;1;stop;1.0;True;False;252;[4.8473687062702556e-11, 1.0]
(0, 0);7;430;1;stop;1.0;True;False;215;[7.991959892953932e-11, 1.0]
(0, 0);8;433;1;stop;1.0;True;False;139;[0, 1.0]
(0, 0);9;469;1;stop;1.0;True;False;218;[2.289734845645553e-11, 1.0]
(0, 1);0;501;1;stop;1.0;True;True;105;[1.0, 0]
(0, 1);1;527;1;stop;1.0;True;True;85;[1.0, 0]
(0, 1);2;497;1;stop;1.0;True;True;149;[1.0, 1.0815941557285693e-11]
(0, 1);3;590;1;stop;1.0;True;True;80;[1.0, 0]
(0, 1);4;507;1;stop;1.0;True;True;157;[1.0, 0]
(0, 1);5;479;1;stop;1.0;True;True;105;[1.0, 0]
(0, 1);6;587;1;stop;1.0;True;True;158;[1.0, 0]
(0, 1);7;539;1;stop;1.0;True;True;125;[1.0, 0]
(0, 1);8;381;1;stop;1.0;True;True;140;[1.0, 0]
(0, 1);9;419;1;stop;1.0;True;True;149;[1.0, 1.783247290814639e-11]
(0, 2);0;442;1;stop;1.0;True;False;135;[3.775134544279098e-11, 1.0]
(0, 2);1;560;1;stop;1.0;True;False;70;[0, 1.0]
(0, 2);2;371;1;stop;1.0;True;False;93;[0, 1.0]
(0, 2);3;497;1;stop;1.0;True;False;180;[7.991959892953932e-11, 1.0]
(0, 2);4;627;1;stop;1.0;True;False;207;[3.775134544279098e-11, 1.0]
(0, 2);5;416;1;stop;1.0;True;False;152;[0, 1.0]
(0, 2);6;607;1;stop;1.0;True;False;132;[1.6918979226151304e-10, 1.0]
(0, 2);7;470;1;stop;1.0;True;False;126;[0, 1.0]
(0, 2);8;449;1;stop;1.0;True;False;137;[4.8473687062702556e-11, 1.0]
(0, 2);9;625;1;stop;1.0;True;False;164;[0, 1.0]
(0, 3);0;448;1;stop;1.0;True;False;104;[4.8473687062702556e-11, 1.0]
(0, 3);1;423;1;stop;1.0;True;False;131;[0, 1.0]
(0, 3);2;788;1;stop;1.0;True;False;306;[0, 1.0]
(0, 3);3;430;1;stop;1.0;True;False;95;[0, 1.0]
(0, 3);4;380;1;stop;1.0;True;False;117;[0, 1.0]
(0, 3);5;856;1;stop;1.0;True;False;314;[0, 1.0]
(0, 3);6;636;1;stop;1.0;True;False;174;[0, 1.0]
(0, 3);7;510;1;stop;1.0;True;False;156;[0, 1.0]
(0, 3);8;538;1;stop;1.0;True;False;185;[1.783247290814639e-11, 1.0]
(0, 3);9;591;1;stop;1.0;True;False;125;[0, 1.0]
(1, 0);0;1007;2;stop;1.0;True;False;693;[0, 1.0]
(1, 0);1;777;2;stop;1.0;True;False;477;[0, 1.0]
(1, 0);2;703;2;stop;1.0;True;False;1417;[0, 1.0]
(1, 0);3;832;2;stop;1.0;True;False;463;[0, 1.0]
(1, 0);4;675;2;stop;1.0;True;False;611;[0, 1.0]
(1, 0);5;712;2;stop;1.0;True;False;649;[0, 1.0]
(1, 0);6;633;2;stop;1.0;True;False;427;[0, 1.0]
(1, 0);7;717;2;stop;1.0;True;False;720;[2.9400777392844726e-11, 1.0]
(1, 0);8;885;2;stop;1.0;True;False;1051;[0, 1.0]
(1, 0);9;617;2;stop;1.0;True;False;528;[1.783247290814639e-11, 1.0]
(1, 1);0;862;2;stop;1.0;True;False;667;[0, 1.0]
(1, 1);1;813;2;stop;1.0;True;False;723;[0, 1.0]
(1, 1);2;791;2;stop;1.0;True;False;864;[0, 1.0]
(1, 1);3;747;2;stop;1.0;True;False;582;[0, 1.0]
(1, 1);4;807;2;stop;1.0;True;False;636;[0, 1.0]
(1, 1);5;748;2;stop;1.0;True;False;705;[0, 1.0]
(1, 1);6;1016;2;stop;1.0;True;False;1097;[0, 1.0]
