correct_answer_idx;id;model_guessed_its_correct;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
1;(0, 0);False;[3.9997876656661906e-05, 0.9983174547704124];247;0;1.0;True;0
1;(0, 0);False;[2.4225005073989303e-05, 0.9968800438703966];183;0;1.0;True;1
1;(0, 0);False;[1.6620950619071128e-05, 0.9951651152713695];238;0;1.0;True;2
1;(0, 0);False;[3.116972312816376e-05, 0.9989369500054668];277;0;1.0;True;3
1;(0, 0);False;[7.476899861741206e-05, 0.9988934139501063];252;0;1.0;True;4
1;(0, 0);False;[0.0001791223607139429, 0.9975616925673788];233;0;1.0;True;5
1;(0, 0);False;[2.139352326819038e-05, 0.9975807921955593];196;0;1.0;True;6
1;(0, 0);False;[0.00022930689585553779, 0.9945656166684357];332;0;1.0;True;7
1;(0, 0);False;[1.4729250646127338e-05, 0.9993248970565455];122;0;1.0;True;8
1;(0, 0);False;[1.8909612126240027e-05, 0.9991601612491909];161;0;1.0;True;9
1;(0, 1);True;[0.9996623940988085, 0.0002611703711144466];363;0;1.0;True;0
1;(0, 1);True;[0.9950490763280423, 0.0002945791232606136];328;0;1.0;True;1
1;(0, 1);True;[0.9997393572502513, 0.0001584200745904526];361;0;1.0;True;2
1;(0, 1);True;[0.9991811072937093, 0.0004876955565906502];324;0;1.0;True;3
1;(0, 1);True;[0.999394187986049, 0.00023042028668032017];279;0;1.0;True;4
1;(0, 1);True;[0.9996963469717116, 0.00017950575874017087];306;0;1.0;True;5
1;(0, 1);True;[0.9997096904609726, 0.00020340938862321669];319;0;1.0;True;6
1;(0, 1);True;[0.9995262484030675, 0.0002611347563220483];277;0;1.0;True;7
1;(0, 1);True;[0.9997307787248307, 0.0001795119216871075];390;0;1.0;True;8
1;(0, 1);True;[0.9995628123462101, 0.000295915168828461];296;0;1.0;True;9
1;(0, 2);False;[2.132992153777179e-05, 0.9946144369374011];191;0;1.0;True;0
1;(0, 2);False;[2.7499341597611456e-05, 0.9986526071309224];211;0;1.0;True;1
1;(0, 2);False;[6.600273100922964e-05, 0.9991855108292806];317;0;1.0;True;2
1;(0, 2);False;[5.826954060219587e-05, 0.9995687676334781];196;0;1.0;True;3
1;(0, 2);False;[2.1417101085214992e-05, 0.9986803088845332];209;0;1.0;True;4
1;(0, 2);False;[1.146174761534539e-05, 0.9985053263070467];254;0;1.0;True;5
1;(0, 2);False;[2.427262040123694e-05, 0.9988394155647783];248;0;1.0;True;6
