correct_answer_idx;model_guessed_its_correct;id;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
1;False;(0, 0);[0, 1.0];505;0;0.8;True;0
1;False;(0, 0);[0, 1.0];445;0;0.8;True;1
1;False;(0, 0);[0, 1.0];483;0;0.8;True;2
1;False;(0, 0);[0, 1.0];462;0;0.8;True;3
1;True;(0, 0);[1.0, 1.3176514270095466e-10];577;0;0.2;False;4
1;False;(0, 0);[0, 1.0];484;0;0.8;True;5
1;True;(0, 0);[0.9999996423722521, 3.059023205018258e-07];516;0;0.2;False;6
1;False;(0, 0);[0, 1.0];460;0;0.8;True;7
1;False;(0, 0);[0, 1.0];463;0;0.8;True;8
1;False;(0, 0);[0, 1.0];586;0;0.8;True;9
1;True;(0, 1);[1.0, 0];476;0;1.0;True;0
1;True;(0, 1);[1.0, 0];581;0;1.0;True;1
1;True;(0, 1);[1.0, 0];453;0;1.0;True;2
1;True;(0, 1);[1.0, 0];518;0;1.0;True;3
1;True;(0, 1);[1.0, 0];527;0;1.0;True;4
1;True;(0, 1);[1.0, 0];571;0;1.0;True;5
1;True;(0, 1);[1.0, 0];566;0;1.0;True;6
1;True;(0, 1);[1.0, 0];457;0;1.0;True;7
1;True;(0, 1);[1.0, 1.5428112031918877e-13];458;0;1.0;True;8
1;True;(0, 1);[1.0, 0];600;0;1.0;True;9
1;False;(0, 2);[0, 1.0];519;0;1.0;True;0
1;False;(0, 2);[0, 1.0];461;0;1.0;True;1
1;False;(0, 2);[0, 1.0];435;0;1.0;True;2
1;False;(0, 2);[0, 1.0];689;0;1.0;True;3
1;False;(0, 2);[0, 1.0];512;0;1.0;True;4
1;False;(0, 2);[0, 1.0];476;0;1.0;True;5
1;False;(0, 2);[0, 1.0];599;0;1.0;True;6
1;False;(0, 2);[0, 1.0];645;0;1.0;True;7
1;False;(0, 2);[0, 1.0];702;0;1.0;True;8
1;False;(0, 2);[0, 1.0];582;0;1.0;True;9
1;False;(0, 3);[0, 1.0];462;0;1.0;True;0
1;False;(0, 3);[0, 1.0];447;0;1.0;True;1
1;False;(0, 3);[0, 1.0];476;0;1.0;True;2
1;False;(0, 3);[0, 1.0];490;0;1.0;True;3
1;False;(0, 3);[0, 1.0];529;0;1.0;True;4
1;False;(0, 3);[0, 1.0];472;0;1.0;True;5
1;False;(0, 3);[0, 1.0];403;0;1.0;True;6
1;False;(0, 3);[0, 1.0];425;0;1.0;True;7
1;False;(0, 3);[0, 1.0];468;0;1.0;True;8
1;False;(0, 3);[0, 1.0];414;0;1.0;True;9
2;False;(1, 0);[0, 1.0];593;0;0.9;True;0
2;False;(1, 0);[6.224144622907783e-11, 1.0];625;0;0.9;True;1
2;False;(1, 0);[0, 1.0];811;0;0.9;True;2
2;False;(1, 0);[0, 1.0];628;0;0.9;True;3
2;False;(1, 0);[0, 1.0];696;0;0.9;True;4
2;False;(1, 0);[0, 1.0];898;0;0.9;True;5
2;True;(1, 0);[1.0, 2.413362771833214e-12];1145;0;0.1;False;6
2;False;(1, 0);[0, 1.0];803;0;0.9;True;7
2;False;(1, 0);[0, 1.0];861;0;0.9;True;8
2;False;(1, 0);[8.878265478459658e-13, 1.0];834;0;0.9;True;9
2;False;(1, 1);[0, 1.0];664;0;1.0;True;0
2;False;(1, 1);[0, 1.0];814;0;1.0;True;1
2;False;(1, 1);[0, 1.0];839;0;1.0;True;2
2;False;(1, 1);[0, 1.0];727;0;1.0;True;3
2;False;(1, 1);[0, 1.0];1070;0;1.0;True;4
2;False;(1, 1);[0, 1.0];898;0;1.0;True;5
2;False;(1, 1);[0, 1.0];877;0;1.0;True;6
2;False;(1, 1);[0, 1.0];846;0;1.0;True;7
2;False;(1, 1);[0, 1.0];893;0;1.0;True;8
2;False;(1, 1);[0, 1.0];798;0;1.0;True;9
2;True;(1, 2);[1.0, 1.0815941557285693e-11];910;0;0.2;True;0
2;False;(1, 2);[0, 1.0];900;0;0.8;False;1
2;False;(1, 2);[0, 1.0];866;0;0.8;False;2
2;False;(1, 2);[0, 1.0];754;0;0.8;False;3
2;False;(1, 2);[0, 1.0];839;0;0.8;False;4
2;True;(1, 2);[0.9525741476724274, 0.047425874568977164];776;0;0.2;True;5
2;False;(1, 2);[0, 1.0];550;0;0.8;False;6
2;False;(1, 2);[0, 1.0];598;0;0.8;False;7
2;False;(1, 2);[0.18242550282051248, 0.8175744308728488];726;0;0.8;False;8
2;False;(1, 2);[0, 1.0];748;0;0.8;False;9
2;False;(1, 3);[0, 1.0];660;0;1.0;True;0
2;False;(1, 3);[0, 1.0];816;0;1.0;True;1
2;False;(1, 3);[0, 1.0];901;0;1.0;True;2
2;False;(1, 3);[5.675685232632723e-14, 1.0];976;0;1.0;True;3
2;False;(1, 3);[0, 1.0];680;0;1.0;True;4
2;False;(1, 3);[0, 1.0];475;0;1.0;True;5
2;False;(1, 3);[0, 1.0];907;0;1.0;True;6
2;False;(1, 3);[0, 1.0];822;0;1.0;True;7
2;False;(1, 3);[0, 1.0];825;0;1.0;True;8
2;False;(1, 3);[0, 1.0];821;0;1.0;True;9
2;False;(2, 0);[0, 1.0];377;0;1.0;True;0
2;False;(2, 0);[0, 1.0];400;0;1.0;True;1
2;False;(2, 0);[0, 1.0];331;0;1.0;True;2
2;False;(2, 0);[0, 1.0];269;0;1.0;True;3
2;False;(2, 0);[0, 1.0];278;0;1.0;True;4
2;False;(2, 0);[0, 1.0];538;0;1.0;True;5
2;False;(2, 0);[0, 1.0];360;0;1.0;True;6
2;False;(2, 0);[0, 1.0];298;0;1.0;True;7
2;False;(2, 0);[0, 1.0];250;0;1.0;True;8
2;False;(2, 0);[0, 1.0];297;0;1.0;True;9
2;False;(2, 1);[0, 1.0];353;0;1.0;True;0
2;False;(2, 1);[0, 1.0];374;0;1.0;True;1
2;False;(2, 1);[0, 1.0];454;0;1.0;True;2
2;False;(2, 1);[0, 1.0];318;0;1.0;True;3
2;False;(2, 1);[0, 1.0];527;0;1.0;True;4
2;False;(2, 1);[0, 1.0];528;0;1.0;True;5
2;False;(2, 1);[0, 1.0];387;0;1.0;True;6
2;False;(2, 1);[0, 1.0];383;0;1.0;True;7
2;False;(2, 1);[0, 1.0];337;0;1.0;True;8
2;False;(2, 1);[0, 1.0];393;0;1.0;True;9
2;True;(2, 2);[1.0, 1.2015425731771786e-13];447;0;1.0;True;0
2;True;(2, 2);[1.0, 1.9810087980489796e-13];706;0;1.0;True;1
2;True;(2, 2);[1.0, 7.287724095819692e-14];488;0;1.0;True;2
2;True;(2, 2);[1.0, 2.543665647376923e-13];534;0;1.0;True;3
2;True;(2, 2);[1.0, 0];562;0;1.0;True;4
2;True;(2, 2);[1.0, 2.0879679116459336e-14];490;0;1.0;True;5
2;True;(2, 2);[1.0, 0];483;0;1.0;True;6
2;True;(2, 2);[1.0, 2.543665647376923e-13];491;0;1.0;True;7
2;True;(2, 2);[1.0, 7.287724095819692e-14];445;0;1.0;True;8
2;True;(2, 2);[1.0, 0];430;0;1.0;True;9
2;False;(2, 3);[0, 1.0];287;0;1.0;True;0
2;False;(2, 3);[0, 1.0];327;0;1.0;True;1
2;False;(2, 3);[0, 1.0];429;0;1.0;True;2
2;False;(2, 3);[0, 1.0];545;0;1.0;True;3
2;False;(2, 3);[0, 1.0];347;0;1.0;True;4
2;False;(2, 3);[0, 1.0];410;0;1.0;True;5
2;False;(2, 3);[0, 1.0];609;0;1.0;True;6
2;False;(2, 3);[0, 1.0];471;0;1.0;True;7
2;False;(2, 3);[0, 1.0];349;0;1.0;True;8
2;False;(2, 3);[0, 1.0];405;0;1.0;True;9
0;True;(3, 0);[1.0, 0];445;0;1.0;True;0
0;True;(3, 0);[1.0, 9.357622968840175e-14];527;0;1.0;True;1
0;True;(3, 0);[1.0, 0];452;0;1.0;True;2
0;True;(3, 0);[1.0, 0];411;0;1.0;True;3
0;True;(3, 0);[1.0, 0];364;0;1.0;True;4
0;True;(3, 0);[1.0, 0];585;0;1.0;True;5
0;True;(3, 0);[1.0, 0];427;0;1.0;True;6
0;True;(3, 0);[1.0, 1.2664165549094176e-14];479;0;1.0;True;7
0;True;(3, 0);[1.0, 0];396;0;1.0;True;8
0;True;(3, 0);[1.0, 0];459;0;1.0;True;9
0;False;(3, 1);[0, 1.0];405;0;1.0;True;0
0;False;(3, 1);[0, 1.0];491;0;1.0;True;1
0;False;(3, 1);[0, 1.0];435;0;1.0;True;2
0;False;(3, 1);[0, 1.0];510;0;1.0;True;3
0;False;(3, 1);[0, 1.0];514;0;1.0;True;4
0;False;(3, 1);[0, 1.0];402;0;1.0;True;5
