correct_answer_idx;id;model_guessed_its_correct;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
1;(0, 0);False;[0.025411964284280365, 0.9535769673375002];594;0;0.8;True;0
1;(0, 0);True;[0.7933200219431512, 0.2005827256475807];413;0;0.2;False;1
1;(0, 0);False;[0.004047246854160089, 0.9903288200338266];502;0;0.8;True;2
1;(0, 0);False;[0.004549424421690488, 0.9824022439882334];508;0;0.8;True;3
1;(0, 0);False;[0.032886175986171794, 0.9610750433277352];531;0;0.8;True;4
1;(0, 0);False;[0.07489616197511642, 0.9124219933552085];387;0;0.8;True;5
1;(0, 0);False;[0.029097204063951814, 0.9635669879311584];439;0;0.8;True;6
1;(0, 0);False;[0.3413272782399621, 0.6376833077331526];544;0;0.8;True;7
1;(0, 0);False;[0.003152277084764911, 0.9904161634820583];496;0;0.8;True;8
1;(0, 0);True;[0.8498825910798655, 0.14768745592397395];316;0;0.2;False;9
1;(0, 1);True;[0.9131599709974287, 0.08493711206693483];326;0;1.0;True;0
1;(0, 1);True;[0.6967861183808939, 0.2904636772486997];595;0;1.0;True;1
1;(0, 1);True;[0.8887905628413133, 0.10615089113315751];482;0;1.0;True;2
1;(0, 1);True;[0.8869858151638415, 0.10593535660829233];533;0;1.0;True;3
1;(0, 1);True;[0.8685436265905695, 0.11754458544713316];477;0;1.0;True;4
1;(0, 1);True;[0.699743994412713, 0.2916966860755516];512;0;1.0;True;5
1;(0, 1);True;[0.8291035760474073, 0.1632601667789845];359;0;1.0;True;6
1;(0, 1);True;[0.7520903264077908, 0.24416797286786318];359;0;1.0;True;7
1;(0, 1);True;[0.876586542929558, 0.11863308983654565];496;0;1.0;True;8
1;(0, 1);True;[0.8457384273694867, 0.14696729508162337];463;0;1.0;True;9
1;(0, 2);False;[0.22063632334770406, 0.7700964144062705];440;0;0.9;True;0
1;(0, 2);False;[0.015761904483710704, 0.9751545417971693];523;0;0.9;True;1
1;(0, 2);False;[0.04690398838706039, 0.9420918327078529];546;0;0.9;True;2
1;(0, 2);False;[0.025705977591363012, 0.9646097357842185];606;0;0.9;True;3
1;(0, 2);False;[0.00845301595801561, 0.9770356196170513];601;0;0.9;True;4
1;(0, 2);False;[0.008498973666796658, 0.9823479441924015];555;0;0.9;True;5
1;(0, 2);True;[0.7502562961683169, 0.24357255770218086];427;0;0.1;False;6
1;(0, 2);False;[0.0748460194756727, 0.911811261767353];590;0;0.9;True;7
1;(0, 2);False;[0.015755795272365796, 0.9747766363600338];559;0;0.9;True;8
1;(0, 2);False;[0.020187193485487157, 0.9726734295025721];451;0;0.9;True;9
1;(0, 3);False;[0.012324150849639781, 0.9790286208207353];348;0;1.0;True;0
1;(0, 3);False;[0.008526271324394263, 0.985503064332551];546;0;1.0;True;1
1;(0, 3);False;[0.005167776958276676, 0.984804145427623];456;0;1.0;True;2
1;(0, 3);False;[0.028812572956023876, 0.9541414039671554];511;0;1.0;True;3
1;(0, 3);False;[0.010836831831749525, 0.9755006374370475];500;0;1.0;True;4
1;(0, 3);False;[0.02903956359033019, 0.9616583159664456];374;0;1.0;True;5
1;(0, 3);False;[0.008536107718693687, 0.9866396928887129];512;0;1.0;True;6
1;(0, 3);False;[0.005857103960245912, 0.9850132200859973];478;0;1.0;True;7
1;(0, 3);False;[0.0019117767517280602, 0.9903249619952437];585;0;1.0;True;8
1;(0, 3);False;[0.0065304179556973495, 0.9692000890450859];596;0;1.0;True;9
2;(1, 0);False;[0.06510707110965402, 0.898775419956359];532;0;0.5;True;0
2;(1, 0);True;[0.6155526498792832, 0.3733515548191413];624;0;0.5;False;1
2;(1, 0);True;[0.9108603996962703, 0.08472321166378373];757;0;0.5;False;2
2;(1, 0);False;[0.02867747316437719, 0.9496675344006411];773;0;0.5;True;3
2;(1, 0);True;[0.5813424267995408, 0.39955041724565];542;0;0.5;False;4
2;(1, 0);True;[0.6661842899775051, 0.3146831671686053];606;0;0.5;False;5
2;(1, 0);True;[0.9417874305934208, 0.053132014432109374];705;0;0.5;False;6
2;(1, 0);False;[0.059541406120880776, 0.931384332512656];653;0;0.5;True;7
2;(1, 0);False;[0.07331097331096705, 0.8931105694644532];777;0;0.5;True;8
2;(1, 0);False;[0.004561058227572586, 0.9849143386014838];772;0;0.5;True;9
2;(1, 1);False;[0.01999115061978532, 0.9632275393337041];546;0;0.3;True;0
2;(1, 1);True;[0.744706842572189, 0.24177091389970728];602;0;0.7;False;1
2;(1, 1);True;[0.8153603945097853, 0.18193149811664588];522;0;0.7;False;2
2;(1, 1);False;[0.04139176589629721, 0.9420722600640196];779;0;0.3;True;3
2;(1, 1);False;[0.025468378635215286, 0.9556937935260854];597;0;0.3;True;4
2;(1, 1);True;[0.6123425835492803, 0.3714045511702833];653;0;0.7;False;5
2;(1, 1);True;[0.725927472976746, 0.26705380900732956];768;0;0.7;False;6
2;(1, 1);True;[0.743610667612735, 0.2414150307997354];727;0;0.7;False;7
2;(1, 1);True;[0.5242488885960438, 0.46264802036942526];474;0;0.7;False;8
2;(1, 1);True;[0.6711490442844832, 0.31702836987226946];725;0;0.7;False;9
2;(1, 2);True;[0.8762188289109532, 0.11858331985385853];776;0;0.6;True;0
2;(1, 2);False;[0.012326125549817093, 0.9791852991878832];883;0;0.4;False;1
2;(1, 2);False;[0.03279698402300089, 0.9584683539745147];534;0;0.4;False;2
2;(1, 2);True;[0.7167230907042829, 0.26366768222505116];712;0;0.6;True;3
2;(1, 2);True;[0.7935296310443736, 0.20063572014146444];667;0;0.6;True;4
2;(1, 2);True;[0.5814884978855234, 0.39965081033698713];687;0;0.6;True;5
2;(1, 2);False;[0.046330281873001214, 0.9305686149549636];758;0;0.4;False;6
2;(1, 2);True;[0.7471973241998087, 0.24257946213445586];546;0;0.6;True;7
