id;attn_entropy;internal_confidence;internal_confidence_examples;max_prob;mink_entropy;pd_entropy;ppl
('abstract_algebra', 0);-1.520573589072138;0.8242228652099223;0.2692408080345655;-10.054893196153738;-12488.304692774305;-158.98747378582223;-6.637318365251622
('abstract_algebra', 1);-1.78550497312951;0.8053106247923179;0.25941745623210183;-9.6434359060228;-4496.936250429549;-183.69845631975744;-6.644560292273593
('abstract_algebra', 2);-1.6771602931367209;0.7457001584303481;0.19197244593272483;-11.81525076783365;-10942.436056202341;-204.01596259879878;-7.111348925163462
('abstract_algebra', 3);-1.437126218985208;0.820684227113967;0.4773817664956521;-10.895739421259453;-22956.789622668613;-188.5468345982125;-5.227429164812811
('abstract_algebra', 4);-1.4335977718237274;0.6976001787603335;0.3932458072418259;-9.63793635045676;-3046.0818976170744;-203.30533540931646;-4.957142236381126
('abstract_algebra', 5);-1.4259153851417357;0.7957515285976995;0.5567513878053901;-10.895739421259453;-13513.968119704456;-205.12895554548598;-5.3729917781003405
('abstract_algebra', 6);-1.4394961943389284;0.8338673899122389;0.4874371245304958;-11.086456248543467;-24696.672218095417;-192.73261238181328;-5.34379331735543
('abstract_algebra', 7);-1.6776453915414957;0.7395551054213969;0.26976369910820497;-10.898960035959496;-30015.344834082392;-194.29346291972476;-7.261499544398983
('abstract_algebra', 8);-1.4881928153848132;0.8176877133907955;0.18908900239535759;-9.686635111125375;-8044.527901242889;-153.3149517633958;-6.637777424730327
('abstract_algebra', 9);-1.6520169867699137;0.7701979028961645;0.1560438578973328;-11.807218596136387;-10905.08029007473;-193.7876397481435;-7.689608654847358
('abstract_algebra', 10);-1.6736968166469572;0.8302563651471299;0.2891350888467477;-10.889329142898534;-14770.777113875058;-222.4115561466881;-6.481841638780869
('abstract_algebra', 11);-1.8760873139589016;0.8304708826288014;0.7553861471893013;-10.343963193880368;-10075.804111392474;-171.64750580814635;-5.868281995083346
('abstract_algebra', 12);-1.7691254263801444;0.6226819196482725;0.363459661547476;-9.642517210505726;-5925.512560745182;-167.64293848102642;-7.724723884489918
('abstract_algebra', 13);-1.343433492070236;0.8541080260691222;0.38736447505684296;-10.644067786330705;-8524.6670300734;-211.57419780048724;-4.136959340044467
('abstract_algebra', 14);-1.7962390407551965;0.8431935209564334;0.3284891935973763;-10.839474582673315;-5783.232317689533;-161.4437408088981;-8.13903773421868
('abstract_algebra', 15);-1.7819514615183434;0.7835977903045884;0.15441884040623732;-14.843772864210633;-79303.55223767139;-198.30529914923287;-8.63213944332651
('abstract_algebra', 16);-1.437656935843743;0.8435056754894356;0.46218122009578816;-9.642517210505726;-4005.59379708664;-150.30356471295661;-6.11586565604975
('abstract_algebra', 17);-1.4933767834677447;0.8092089809275714;0.18140974356595677;-9.6434359060228;-4407.7729599992135;-175.6064895684378;-6.3502194024732095
('abstract_algebra', 18);-1.9089552571366877;0.8837222559039275;0.6648573400712386;-9.813334942818196;-7660.163035716622;-165.07515765767877;-6.526390697998197
('abstract_algebra', 19);-1.425558189464367;0.7827305714930239;0.2638426783846921;-12.345072892290297;-31959.340233801737;-218.8217454246598;-5.678462555491218
('abstract_algebra', 20);-1.776543068262685;0.7656000159799876;0.3534747208341298;-10.898960035959496;-27463.111025204547;-243.27548993978823;-6.894733481820082
('abstract_algebra', 21);-1.4517199878879958;0.6764901104772563;0.3833242305613226;-9.63793635045676;-4252.221311464731;-207.5782217498561;-5.1267615703341685
('abstract_algebra', 22);-1.3414444462562565;0.809133832131651;0.3924054847772826;-10.898960035959496;-12951.401905701232;-194.62759350337134;-5.203785729563179
('abstract_algebra', 23);-1.7588625020516009;0.85934778941382;0.5974895774739621;-9.642517210505726;-5410.699966993091;-175.316252275184;-7.8659565043205735
('abstract_algebra', 24);-1.4776046648064078;0.8392860215969298;0.3243143720778398;-10.886139347530435;-23298.288075817873;-180.1874008216873;-6.060995183008377
('abstract_algebra', 25);-2.4893824695422473;0.774974108240802;0.3573114243305665;-11.488037856625235;-8931.63699234759;-218.69572406908108;-9.531433189411628
('abstract_algebra', 26);-1.6331102134247213;0.8009177584831172;0.1333532192010691;-10.886139347530435;-21610.944366670574;-184.29807284331068;-6.091192354080277
('abstract_algebra', 27);-1.5316994014829546;0.7854365269550009;0.5214405603160791;-9.642517210505726;-3244.409942181341;-200.6680481361596;-5.999517211350716
('abstract_algebra', 28);-1.8033607534467373;0.8334969802864336;0.4572597883734184;-10.889329142898534;-16048.265953457452;-217.76127480321824;-6.869497280229765
('abstract_algebra', 29);-1.4429979115564269;0.8516658885913021;0.4983565792528076;-11.465048338400535;-26633.300781046797;-169.98005095370544;-5.8745269096321255
('abstract_algebra', 30);-1.5343894884104534;0.8348898658464124;0.3130795356988342;-10.898960035959496;-15030.427712982451;-197.4836446152498;-5.569187004609276
('abstract_algebra', 31);-1.61554676439473;0.8619881854033433;0.6864328154652793;-10.864091210308672;-9498.723036609952;-185.58159805642063;-5.759034234250145
('abstract_algebra', 32);-1.4349016251725515;0.8505023416998088;0.610568307078719;-10.889329142898534;-12898.056405290408;-194.43601555924005;-5.12390117488758
('abstract_algebra', 33);-1.5789245044357558;0.7786928075358206;0.4874498815685712;-9.641599358215498;-4672.346939167758;-212.44861497646795;-5.625020047048152
('abstract_algebra', 34);-1.4917618406675657;0.7859853339444152;0.3356076600625644;-10.882959694613055;-12913.188951434544;-248.55817274183738;-6.668471222395525
('abstract_algebra', 35);-1.4528071688048245;0.8496660814432545;0.18923412680404084;-9.677083940141033;-8037.763208378219;-147.0399821464098;-6.283956366800009
('abstract_algebra', 36);-2.1128070073057903;0.8438132183515631;0.5939480485487518;-9.642517210505726;-6033.823479429991;-176.92431172425555;-9.389088805316083
('abstract_algebra', 37);-1.659939287406332;0.7436864627490114;0.5616238290576633;-9.642517210505726;-3235.30138707707;-193.95854931105646;-6.95586711814773
('abstract_algebra', 38);-1.629867433240888;0.7970539869122906;0.2242242194373348;-13.234334951776532;-10412.542356044978;-142.049072581309;-7.394164907282459
('abstract_algebra', 39);-1.6309686885619368;0.8464787840887926;0.5469150365578777;-10.895739421259453;-13333.263149493696;-160.5470167333485;-6.761697775408788
('abstract_algebra', 40);-1.271028167162002;0.803216829680163;0.3497997877952575;-9.642517210505726;-3000.212105855678;-174.26910466273827;-5.712695887308836
('abstract_algebra', 41);-2.087677806933808;0.7502823947978297;0.08362524223119651;-10.137250183962253;-7128.085250602452;-167.51904955829463;-9.619294642240035
('abstract_algebra', 42);-1.735220145945753;0.79232861339638;0.23128675158010886;-12.557994889532967;-43856.555988921886;-227.98397813710753;-6.382298363440888
('abstract_algebra', 43);-1.6501548479684016;0.8195291767595035;0.19875495357391001;-10.889329142898534;-19641.313890262365;-183.3135716655453;-7.496489568737782
('abstract_algebra', 44);-1.4131785545036104;0.7843694833159972;0.6524377475891672;-11.470746359515173;-31141.82429131758;-213.32600696297501;-5.436108998526096
('abstract_algebra', 45);-1.4638502005793723;0.8285834520376781;0.28585823730805565;-10.886139347530435;-13236.034752488134;-188.17975972076755;-6.327464513381451
