id;iter;answer_token_len;correct_answer_idx;finish_reasons;frequency_of_answer;is_correct;model_guessed_its_correct;reasoning_token_len;yes_no_probabilities
(0, 0);0;352;0;stop;0.4;False;False;0;[0.37693905282831014, 0.6214674341555941]
(0, 0);1;677;0;stop;0.6;True;True;0;[0.5615239382716727, 0.4373152828393179]
(0, 0);2;557;0;stop;0.6;True;True;0;[0.5289510958781442, 0.46679770373118956]
(0, 0);3;530;0;stop;0.6;True;True;0;[0.49774717620810677, 0.49774717620810677]
(0, 0);4;2638;0;stop;0.6;True;True;0;[0.5309739403435806, 0.4685828577063476]
(0, 0);5;548;0;stop;0.4;False;False;0;[0.22163758714317058, 0.773591214448815]
(0, 0);6;562;0;stop;0.4;False;False;0;[0.24379490152097033, 0.7509412081047876]
(0, 0);7;565;0;stop;0.6;True;True;0;[0.675576299798841, 0.3191196573600156]
(0, 0);8;503;0;stop;0.4;False;False;0;[0.2935607444692227, 0.7042156171858067]
(0, 0);9;893;0;stop;0.6;True;True;0;[0.6504844694507927, 0.3481792463476488]
(0, 1);0;912;0;stop;1.0;True;False;0;[0.1326441138136424, 0.8649483379989137]
(0, 1);1;396;0;stop;1.0;True;False;0;[0.268391204713469, 0.7295629346908544]
(0, 1);2;1036;0;stop;1.0;True;False;0;[0.06737662878565044, 0.9301057536365461]
(0, 1);3;1236;0;stop;1.0;True;False;0;[0.16424305124698035, 0.8340950257482241]
(0, 1);4;707;0;stop;1.0;True;False;0;[0.132713042201994, 0.8653977946896663]
(0, 1);5;600;0;stop;1.0;True;False;0;[0.2218393523970692, 0.7742953982512047]
(0, 1);6;1437;0;stop;1.0;True;False;0;[0.10655492125811677, 0.892173332841539]
(0, 1);7;583;0;stop;1.0;True;False;0;[0.2932802872685616, 0.7035428353361256]
(0, 1);8;402;0;stop;1.0;True;False;0;[0.46786776082928555, 0.5301636294235448]
(0, 1);9;560;0;stop;1.0;True;False;0;[0.2675320845520574, 0.7272276473137708]
(0, 2);0;418;0;stop;0.8;True;False;0;[0.37703358468834614, 0.6216232908439944]
(0, 2);1;375;0;stop;0.8;True;False;0;[0.40627207058533565, 0.5911223747008233]
(0, 2);2;458;0;stop;0.2;False;True;0;[0.5618594356645514, 0.4375765684716103]
(0, 2);3;299;0;stop;0.2;False;True;0;[0.6785340603633611, 0.32051679501120445]
(0, 2);4;497;0;stop;0.8;True;False;0;[0.4068889248956298, 0.5920198924263714]
(0, 2);5;479;0;stop;0.8;True;False;0;[0.37604887202929943, 0.6199997741374964]
(0, 2);6;473;0;stop;0.8;True;False;0;[0.34776310502617547, 0.649707034472008]
(0, 2);7;498;0;stop;0.8;True;False;0;[0.2925840479391989, 0.7018726649276643]
(0, 2);8;540;0;stop;0.8;True;False;0;[0.4360737773968208, 0.5599298137285502]
(0, 2);9;497;0;stop;0.8;True;False;0;[0.2932031368694962, 0.7033578030732786]
(0, 3);0;529;0;stop;0.2;True;False;0;[0.4365248161346651, 0.560508958931853]
(0, 3);1;294;0;stop;0.8;False;True;0;[0.6785454656056347, 0.3205221824661804]
(0, 3);2;412;0;stop;0.2;True;False;0;[0.4683327021888398, 0.5306904770058904]
(0, 3);3;541;0;stop;0.8;False;True;0;[0.5618032432076631, 0.4375328057421829]
(0, 3);4;334;0;stop;0.8;False;True;0;[0.530411116852705, 0.46808616771894807]
(0, 3);5;432;0;stop;0.8;False;True;0;[0.6212454234791553, 0.37680440777591273]
(0, 3);6;542;0;stop;0.8;False;True;0;[0.4971267297449702, 0.4971267297449702]
(0, 3);7;483;0;stop;0.8;False;True;0;[0.49821858717023343, 0.49821858717023343]
(0, 3);8;864;0;stop;0.8;False;True;0;[0.5613611999964676, 0.4371885421431525]
(0, 3);9;421;0;stop;0.8;False;True;0;[0.591767114081838, 0.4067151930495215]
(1, 0);0;811;0;stop;0.9;True;True;0;[0.7300344245741223, 0.2685646401405431]
(1, 0);1;1142;0;stop;0.1;False;False;0;[0.4683070212729665, 0.5306613767157953]
(1, 0);2;1555;0;stop;0.9;True;True;0;[0.7052496414039328, 0.2939917811315492]
(1, 0);3;1498;0;stop;0.9;True;True;0;[0.7303862502374642, 0.2686940775689559]
(1, 0);4;1251;0;stop;0.9;True;True;0;[0.7302934190016245, 0.2686599348734996]
(1, 0);5;852;0;stop;0.9;True;True;0;[0.7306176069753881, 0.2687791969641223]
(1, 0);6;748;0;stop;0.9;True;True;0;[0.7970918384394574, 0.2015363692409167]
(1, 0);7;894;0;stop;0.9;True;True;0;[0.7052081319231358, 0.29397450368943173]
(1, 0);8;762;0;stop;0.9;True;True;0;[0.7052850367340859, 0.2940065360999244]
(1, 0);9;3031;0;stop;0.9;True;True;0;[0.8658987466250325, 0.13278988940953443]
(1, 1);0;625;0;stop;0.3;False;True;0;[0.6497067827559362, 0.3477629806564197]
(1, 1);1;3762;0;stop;0.7;True;False;0;[0.0031720129846916382, 0.99661676220606]
(1, 1);2;1941;0;stop;0.7;True;False;0;[0.0007091044237767551, 0.998493559965109]
(1, 1);3;831;0;stop;0.3;False;True;0;[0.6784817079077702, 0.32049207501363747]
(1, 1);4;994;0;stop;0.7;True;False;0;[0.0009099473359571356, 0.9978785316264988]
(1, 1);5;1673;0;stop;0.7;True;False;0;[0.0420300411356215, 0.9565992236786683]
(1, 1);6;754;0;stop;0.7;True;False;0;[0.0014997474189975245, 0.99754437310323]
(1, 1);7;2803;0;stop;0.7;True;False;0;[0.0011688468732366146, 0.998263993861293]
(1, 1);8;1793;0;stop;0.7;True;False;0;[0.0015002917357117354, 0.997906427987078]
(1, 1);9;603;0;stop;0.3;False;True;0;[0.5292005722421427, 0.46701786584968635]
(1, 2);0;841;0;stop;1.0;True;False;0;[0.0019260140963863425, 0.9977001515536206]
(1, 2);1;888;0;stop;1.0;True;False;0;[0.0002958776377180955, 0.9994359815394643]
(1, 2);2;1438;0;stop;1.0;True;False;0;[0.00048765834979187133, 0.9991050630278583]
(1, 2);3;4074;0;stop;1.0;True;False;0;[0.00029585760426216836, 0.9993683515729912]
(1, 2);4;1147;0;stop;1.0;True;False;0;[0.0007094994665063762, 0.9990497329675299]
(1, 2);5;3068;0;stop;1.0;True;False;0;[0.000709267758089388, 0.9987234696441785]
(1, 2);6;1212;0;stop;1.0;True;False;0;[0.00020338940901462227, 0.9996117669246398]
(1, 2);7;707;0;stop;1.0;True;False;0;[0.0007092518626220659, 0.9987008781144735]
(1, 2);8;678;0;stop;1.0;True;False;0;[0.0004876357945521976, 0.9990585377370484]
(1, 2);9;1673;0;stop;1.0;True;False;0;[0.0013244751316018378, 0.9982624495049525]
(1, 3);0;1180;0;stop;0.9;True;False;0;[0.0019259369527438969, 0.9976600454374359]
(1, 3);1;1147;0;stop;0.9;True;False;0;[0.005909657441269366, 0.9938517874710865]
(1, 3);2;1110;0;stop;0.9;True;False;0;[0.004067858146923209, 0.995371880109851]
(1, 3);3;837;0;stop;0.9;True;False;0;[0.0017001383797009039, 0.9979566451208121]
(1, 3);4;2637;0;stop;0.9;True;False;0;[0.0009108932882207621, 0.998915776210316]
(1, 3);5;916;0;stop;0.9;True;False;0;[0.007574250694649708, 0.9920308612127109]
(1, 3);6;865;0;stop;0.9;True;False;0;[0.001700337820929865, 0.9980737193507271]
(1, 3);7;1159;0;stop;0.9;True;False;0;[0.0035919046781121176, 0.9959358125274107]
(1, 3);8;909;0;stop;0.9;True;False;0;[0.29390932816074083, 0.7050518259912694]
(1, 3);9;2667;0;stop;0.1;False;True;0;[0.5617607844592508, 0.4374997388356712]
(2, 0);0;2932;2;stop;1.0;True;False;0;[0.004069324828943191, 0.995731177504441]
(2, 0);1;759;2;stop;1.0;True;False;0;[0.0006261579527847936, 0.9990926875994783]
(2, 0);2;2654;2;stop;1.0;True;False;0;[0.005218886418926254, 0.9945436848925713]
(2, 0);3;3009;2;stop;1.0;True;False;0;[0.010984406209159966, 0.988784917401113]
(2, 0);4;3604;2;stop;1.0;True;False;0;[0.01798209506804514, 0.981789292678083]
(2, 0);5;2209;2;stop;1.0;True;False;0;[0.002472117268826371, 0.9973230688602248]
(2, 0);6;3064;2;stop;1.0;True;False;0;[0.4373895773124128, 0.561619334263446]
(2, 0);7;3025;2;stop;1.0;True;False;0;[0.003592935903793567, 0.9962216862883893]
(2, 0);8;1304;2;stop;1.0;True;False;0;[0.008575162088961736, 0.9911538722949796]
(2, 0);9;2867;2;stop;1.0;True;False;0;[0.002472043005707324, 0.9972933082142237]
(2, 1);0;3607;2;stop;1.0;True;False;0;[0.0009108502888067729, 0.9988687927969855]
(2, 1);1;3142;2;stop;1.0;True;False;0;[0.012426479683839224, 0.9871575265414843]
(2, 1);2;3045;2;stop;1.0;True;False;0;[0.010981541520920813, 0.988526709383155]
(2, 1);3;824;2;stop;1.0;True;False;0;[0.00043044133286856224, 0.999300611768512]
(2, 1);4;2619;2;stop;1.0;True;False;0;[0.003592812552246139, 0.9961872591016231]
(2, 1);5;2740;2;stop;1.0;True;False;0;[0.0007095336372158547, 0.9990979232941967]
(2, 1);6;2762;2;stop;1.0;True;False;0;[0.37724185409856176, 0.621966669050653]
(2, 1);7;674;2;stop;1.0;True;False;0;[0.4372880968233337, 0.5614890307361705]
(2, 1);8;4048;2;stop;1.0;True;False;0;[0.0004875655777024147, 0.9989147056534207]
(2, 1);9;2925;2;stop;1.0;True;False;0;[0.16439760457592867, 0.8348799247451995]
(2, 2);0;3115;2;stop;0.3;False;False;0;[0.4684467201266742, 0.5308196762557694]
(2, 2);1;594;2;stop;0.3;False;False;0;[0.00033510099108288906, 0.9989219617630687]
(2, 2);2;697;2;stop;0.7;True;True;0;[0.6782124265557011, 0.3203648755058523]
(2, 2);3;1846;2;stop;0.7;True;True;0;[0.7978471478224879, 0.20172736239329506]
(2, 2);4;3234;2;stop;0.7;True;True;0;[0.6508979479887538, 0.34840058622683234]
(2, 2);5;2611;2;stop;0.7;True;True;0;[0.6780257713931704, 0.3202767058475487]
(2, 2);6;2919;2;stop;0.7;True;True;0;[0.49949233596457393, 0.49949233596457393]
(2, 2);7;1294;2;stop;0.3;False;False;0;[0.1479076209022979, 0.8511496164122395]
(2, 2);8;562;2;stop;0.7;True;True;0;[0.7974900510709627, 0.2016370591664625]
(2, 2);9;2909;2;stop;0.7;True;True;0;[0.8512219893582089, 0.14792021065924013]
(2, 3);0;728;2;stop;0.5;False;True;0;[0.8165497196887875, 0.18219686972331464]
(2, 3);1;3169;2;stop;0.5;True;False;0;[0.004608447641652943, 0.995147642555663]
(2, 3);2;2899;2;stop;0.5;False;True;0;[0.7298308535647207, 0.2684897665590662]
