correct_answer_idx;id;model_guessed_its_correct;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
1;(0, 0);False;[0, 0.9999985694905718];527;280;1.0;True;0
1;(0, 0);False;[0, 0.9999991655356624];621;437;1.0;True;1
1;(0, 0);False;[0, 0.9999997615814777];552;260;1.0;True;2
1;(0, 0);False;[0, 0.9999986886995842];360;364;1.0;True;3
1;(0, 0);False;[0, 0.9999996423722521];375;400;1.0;True;4
1;(0, 0);False;[0, 0.9999994039539004];415;160;1.0;True;5
1;(0, 0);False;[0, 0.9999984502816872];455;229;1.0;True;6
1;(0, 0);False;[0, 0.9999983310727032];496;257;1.0;True;7
1;(0, 0);False;[0, 0.9999983310727032];431;377;1.0;True;8
1;(0, 0);False;[0, 0.9999979734461775];481;366;1.0;True;9
1;(0, 1);True;[0.9999991655356624, 3.9278597995802437e-07];642;282;1.0;True;0
1;(0, 1);True;[0.9999986886995842, 6.47594599989589e-07];530;395;1.0;True;1
1;(0, 1);True;[0.9999982118638471, 1.067701973552941e-06];368;449;1.0;True;2
1;(0, 1);True;[0.9999994039539004, 3.059020287707785e-07];424;307;1.0;True;3
1;(0, 1);True;[0.9999984502816872, 1.067701973552941e-06];505;290;1.0;True;4
1;(0, 1);True;[0.9999938011552557, 2.902303801487327e-06];544;428;1.0;True;5
1;(0, 1);True;[0.9999991655356624, 5.043471815847051e-07];416;305;1.0;True;6
1;(0, 1);True;[0.9999983310727032, 1.370956471489639e-06];311;110;1.0;True;7
1;(0, 1);True;[0.9999994039539004, 3.059020287707785e-07];321;218;1.0;True;8
1;(0, 1);True;[0.9999984502816872, 1.370956471489639e-06];386;290;1.0;True;9
1;(0, 2);False;[0, 0.9999994039539004];450;215;1.0;True;0
1;(0, 2);False;[0, 0.9999983310727032];492;183;1.0;True;1
1;(0, 2);False;[0, 0.9999977350285647];652;451;1.0;True;2
1;(0, 2);False;[0, 0.9999988079084972];527;220;1.0;True;3
1;(0, 2);False;[0, 0.9999995231630692];364;127;1.0;True;4
1;(0, 2);False;[0, 0.9999983310727032];416;249;1.0;True;5
1;(0, 2);False;[0, 0.9999986886995842];436;237;1.0;True;6
1;(0, 2);False;[0, 0.9999988079084972];424;261;1.0;True;7
1;(0, 2);False;[0, 0.9999988079084972];289;276;1.0;True;8
1;(0, 2);False;[0, 0.9999996423722521];494;253;1.0;True;9
