id;iter;answer_token_len;correct_answer_idx;finish_reasons;frequency_of_answer;is_correct;model_guessed_its_correct;reasoning_token_len;yes_no_probabilities
(0, 0);0;132;1;stop;1.0;True;False;431;[0.007120145774843637, 0.9926999007685384]
(0, 0);1;95;1;stop;1.0;True;False;415;[0.0075757677539108215, 0.9922296357321374]
(0, 0);2;108;1;stop;1.0;True;False;386;[0.0044674529954581476, 0.9953239301629883]
(0, 0);3;134;1;stop;1.0;True;False;492;[0.00711967386462226, 0.9926340015107559]
(0, 0);4;67;1;stop;1.0;True;False;499;[0.008315030531072158, 0.9915949857944658]
(0, 0);5;134;1;stop;1.0;True;False;437;[0.028399744193013523, 0.9703242051176704]
(0, 0);6;63;1;stop;1.0;True;False;385;[0.007344170570405159, 0.992430603171949]
(0, 0);7;62;1;stop;1.0;True;False;503;[0.015902518436442623, 0.9838540230405628]
(0, 0);8;82;1;stop;1.0;True;False;556;[0.0019265018259223552, 0.9979526084275067]
(0, 0);9;56;1;stop;1.0;True;False;311;[0.008060918064509912, 0.9918057811080182]
(0, 1);0;120;1;stop;1.0;True;True;746;[0.999282398582409, 0.00017121454876553008]
(0, 1);1;100;1;stop;1.0;True;True;697;[0.9997619957088622, 9.608873998931548e-05]
(0, 1);2;41;1;stop;1.0;True;True;390;[0.999823958874181, 8.219414971802231e-05]
(0, 1);3;200;1;stop;1.0;True;True;463;[0.9998527982038293, 7.484083751769641e-05]
(0, 1);4;141;1;stop;1.0;True;True;428;[0.9995688867331853, 0.0002531113466317045]
(0, 1);5;62;1;stop;1.0;True;True;368;[0.9997320893256925, 0.00013980415850814375]
(0, 1);6;76;1;stop;1.0;True;True;654;[0.9998910545815152, 5.143926745655251e-05]
(0, 1);7;44;1;stop;1.0;True;True;386;[0.9996167698343191, 0.00010227110514286838]
(0, 1);8;74;1;stop;1.0;True;True;507;[0.9997605658734923, 9.313231143866487e-05]
(0, 1);9;61;1;stop;1.0;True;True;349;[0.999869363679742, 9.027674570241543e-05]
(0, 2);0;134;1;stop;1.0;True;False;514;[0.0029808707090911843, 0.9969648732169457]
(0, 2);1;51;1;stop;1.0;True;False;483;[0.002182354787960742, 0.9976519772540228]
(0, 2);2;156;1;stop;1.0;True;False;597;[0.014058792282385034, 0.9855972014936875]
(0, 2);3;81;1;stop;1.0;True;False;502;[0.0037063852196175793, 0.9960596274655305]
(0, 2);4;62;1;stop;1.0;True;False;507;[0.00490450687061393, 0.9949120603217055]
(0, 2);5;104;1;stop;1.0;True;False;526;[0.10365619113951074, 0.8954527902588396]
(0, 2);6;316;1;stop;1.0;True;False;380;[0.21534998195701685, 0.7755050526290829]
(0, 2);7;135;1;stop;1.0;True;False;853;[0.009410961018386286, 0.9904159291932655]
(0, 2);8;77;1;stop;1.0;True;False;542;[0.003944130508211418, 0.9957323594087969]
(0, 2);9;174;1;stop;1.0;True;False;387;[0.007815011144988268, 0.992072627948584]
(0, 3);0;130;1;stop;1.0;True;False;446;[0.008061056440527044, 0.9918229018705779]
(0, 3);1;131;1;stop;1.0;True;False;530;[0.012815578073735892, 0.9867449571057595]
(0, 3);2;102;1;stop;1.0;True;False;691;[0.0035933059838465053, 0.9963242716395502]
(0, 3);3;64;1;stop;1.0;True;False;336;[0.0018099863795154455, 0.9980658818288451]
(0, 3);4;58;1;stop;1.0;True;False;441;[0.006902832789662248, 0.9929517138222563]
