correct_answer_idx;model_guessed_its_correct;id;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
0;True;(0, 0);[0.9999997615814777, 1.8553913626159784e-07];373;0;1.0;True;0
0;True;(0, 0);[1.0, 0];223;0;1.0;True;1
0;True;(0, 0);[1.0, 1.463778514125909e-12];271;0;1.0;True;2
0;True;(0, 0);[1.0, 3.628344178047045e-15];307;0;1.0;True;3
0;True;(0, 0);[1.0, 9.862862046580453e-15];328;0;1.0;True;4
0;True;(0, 0);[1.0, 9.736200313009565e-10];284;0;1.0;True;5
0;True;(0, 0);[0.9999963045256735, 3.7266389560521204e-06];212;0;1.0;True;6
0;True;(0, 0);[1.0, 3.2661313427874473e-13];314;0;1.0;True;7
0;True;(0, 0);[1.0, 0];342;0;1.0;True;8
0;True;(0, 0);[1.0, 0];306;0;1.0;True;9
0;False;(0, 1);[0, 1.0];254;0;1.0;True;0
0;False;(0, 1);[0, 1.0];195;0;1.0;True;1
0;False;(0, 1);[0, 1.0];277;0;1.0;True;2
0;False;(0, 1);[0, 1.0];294;0;1.0;True;3
0;False;(0, 1);[0, 1.0];405;0;1.0;True;4
0;False;(0, 1);[0, 1.0];202;0;1.0;True;5
0;False;(0, 1);[0, 1.0];279;0;1.0;True;6
0;False;(0, 1);[0, 1.0];299;0;1.0;True;7
0;False;(0, 1);[0, 1.0];343;0;1.0;True;8
0;False;(0, 1);[0, 1.0];301;0;1.0;True;9
0;False;(0, 2);[0, 1.0];201;0;1.0;True;0
0;False;(0, 2);[0, 1.0];265;0;1.0;True;1
0;False;(0, 2);[0, 1.0];245;0;1.0;True;2
0;False;(0, 2);[0, 1.0];276;0;1.0;True;3
0;False;(0, 2);[0, 1.0];226;0;1.0;True;4
0;False;(0, 2);[0, 1.0];207;0;1.0;True;5
0;False;(0, 2);[0, 1.0];239;0;1.0;True;6
0;False;(0, 2);[0, 1.0];260;0;1.0;True;7
0;False;(0, 2);[0, 1.0];185;0;1.0;True;8
0;False;(0, 2);[0, 1.0];215;0;1.0;True;9
0;False;(0, 3);[0, 1.0];182;0;1.0;True;0
0;False;(0, 3);[0, 1.0];313;0;1.0;True;1
0;False;(0, 3);[0, 1.0];224;0;1.0;True;2
0;False;(0, 3);[0, 1.0];172;0;1.0;True;3
0;False;(0, 3);[0, 1.0];273;0;1.0;True;4
0;False;(0, 3);[0, 1.0];178;0;1.0;True;5
0;False;(0, 3);[0, 1.0];194;0;1.0;True;6
0;False;(0, 3);[0, 1.0];190;0;1.0;True;7
0;False;(0, 3);[0, 1.0];178;0;1.0;True;8
0;False;(0, 3);[0, 1.0];229;0;1.0;True;9
1;False;(1, 0);[0, 1.0];176;0;1.0;True;0
1;False;(1, 0);[0, 1.0];226;0;1.0;True;1
1;False;(1, 0);[0, 1.0];205;0;1.0;True;2
1;False;(1, 0);[0, 1.0];171;0;1.0;True;3
1;False;(1, 0);[0, 1.0];172;0;1.0;True;4
1;False;(1, 0);[0, 1.0];220;0;1.0;True;5
1;False;(1, 0);[0, 1.0];163;0;1.0;True;6
1;False;(1, 0);[0, 1.0];210;0;1.0;True;7
1;False;(1, 0);[0, 1.0];206;0;1.0;True;8
1;False;(1, 0);[0, 1.0];203;0;1.0;True;9
1;True;(1, 1);[1.0, 0];305;0;1.0;True;0
1;True;(1, 1);[1.0, 0];360;0;1.0;True;1
1;True;(1, 1);[1.0, 0];332;0;1.0;True;2
1;True;(1, 1);[1.0, 0];346;0;1.0;True;3
1;True;(1, 1);[1.0, 7.681204685202095e-15];306;0;1.0;True;4
1;True;(1, 1);[1.0, 0];334;0;1.0;True;5
1;True;(1, 1);[1.0, 4.658886145103398e-15];270;0;1.0;True;6
1;True;(1, 1);[1.0, 0];394;0;1.0;True;7
1;True;(1, 1);[1.0, 0];296;0;1.0;True;8
1;True;(1, 1);[1.0, 4.658886145103398e-15];329;0;1.0;True;9
1;False;(1, 2);[0, 1.0];304;0;1.0;True;0
1;False;(1, 2);[0, 1.0];249;0;1.0;True;1
1;False;(1, 2);[0, 1.0];249;0;1.0;True;2
1;False;(1, 2);[0, 1.0];306;0;1.0;True;3
1;False;(1, 2);[0, 1.0];298;0;1.0;True;4
1;False;(1, 2);[0, 1.0];312;0;1.0;True;5
1;False;(1, 2);[0, 1.0];339;0;1.0;True;6
1;False;(1, 2);[0, 1.0];315;0;1.0;True;7
1;False;(1, 2);[0, 1.0];259;0;1.0;True;8
1;False;(1, 2);[0, 1.0];304;0;1.0;True;9
1;False;(1, 3);[0, 1.0];301;0;1.0;True;0
1;False;(1, 3);[0, 1.0];265;0;1.0;True;1
1;False;(1, 3);[0, 1.0];264;0;1.0;True;2
1;False;(1, 3);[0, 1.0];264;0;1.0;True;3
1;False;(1, 3);[0, 1.0];288;0;1.0;True;4
1;False;(1, 3);[0, 1.0];339;0;1.0;True;5
1;False;(1, 3);[0, 1.0];223;0;1.0;True;6
1;False;(1, 3);[0, 1.0];278;0;1.0;True;7
1;False;(1, 3);[0, 1.0];276;0;1.0;True;8
1;False;(1, 3);[0, 1.0];223;0;1.0;True;9
1;False;(2, 0);[0, 1.0];271;0;1.0;True;0
1;False;(2, 0);[0, 1.0];243;0;1.0;True;1
1;False;(2, 0);[0, 1.0];262;0;1.0;True;2
1;False;(2, 0);[0, 1.0];314;0;1.0;True;3
1;False;(2, 0);[0, 1.0];293;0;1.0;True;4
1;False;(2, 0);[0, 1.0];378;0;1.0;True;5
1;False;(2, 0);[0, 1.0];245;0;1.0;True;6
1;False;(2, 0);[0, 1.0];308;0;1.0;True;7
1;False;(2, 0);[0, 1.0];294;0;1.0;True;8
1;False;(2, 0);[0, 1.0];257;0;1.0;True;9
1;True;(2, 1);[1.0, 0];455;0;1.0;True;0
1;True;(2, 1);[1.0, 0];424;0;1.0;True;1
1;True;(2, 1);[1.0, 0];532;0;1.0;True;2
1;True;(2, 1);[1.0, 0];491;0;1.0;True;3
1;True;(2, 1);[1.0, 0];464;0;1.0;True;4
1;True;(2, 1);[1.0, 0];390;0;1.0;True;5
1;True;(2, 1);[1.0, 0];309;0;1.0;True;6
1;True;(2, 1);[1.0, 0];481;0;1.0;True;7
1;True;(2, 1);[1.0, 0];539;0;1.0;True;8
1;True;(2, 1);[1.0, 3.628344178047045e-15];457;0;1.0;True;9
1;False;(2, 2);[0, 1.0];293;0;1.0;True;0
1;False;(2, 2);[0, 1.0];429;0;1.0;True;1
1;False;(2, 2);[0, 1.0];355;0;1.0;True;2
1;False;(2, 2);[0, 1.0];335;0;1.0;True;3
1;False;(2, 2);[0, 1.0];265;0;1.0;True;4
1;False;(2, 2);[0, 1.0];261;0;1.0;True;5
1;False;(2, 2);[0, 1.0];292;0;1.0;True;6
1;False;(2, 2);[0, 1.0];374;0;1.0;True;7
1;False;(2, 2);[0, 1.0];291;0;1.0;True;8
1;False;(2, 2);[0, 1.0];300;0;1.0;True;9
1;False;(2, 3);[0, 1.0];285;0;1.0;True;0
1;False;(2, 3);[0, 1.0];276;0;1.0;True;1
1;False;(2, 3);[0, 1.0];308;0;1.0;True;2
1;False;(2, 3);[0, 1.0];290;0;1.0;True;3
1;False;(2, 3);[0, 1.0];359;0;1.0;True;4
1;False;(2, 3);[0, 1.0];377;0;1.0;True;5
1;False;(2, 3);[0, 1.0];299;0;1.0;True;6
1;False;(2, 3);[0, 1.0];270;0;1.0;True;7
1;False;(2, 3);[0, 1.0];322;0;1.0;True;8
1;False;(2, 3);[0, 1.0];233;0;1.0;True;9
3;False;(3, 0);[0, 1.0];311;0;1.0;True;0
3;False;(3, 0);[0, 1.0];318;0;1.0;True;1
3;False;(3, 0);[0, 1.0];466;0;1.0;True;2
3;False;(3, 0);[0, 1.0];338;0;1.0;True;3
3;False;(3, 0);[0, 1.0];416;0;1.0;True;4
3;False;(3, 0);[0, 1.0];293;0;1.0;True;5
3;False;(3, 0);[0, 1.0];444;0;1.0;True;6
3;False;(3, 0);[0, 1.0];301;0;1.0;True;7
3;False;(3, 0);[0, 1.0];343;0;1.0;True;8
3;False;(3, 0);[0, 1.0];353;0;1.0;True;9
3;False;(3, 1);[0, 1.0];458;0;1.0;True;0
3;False;(3, 1);[0, 1.0];379;0;1.0;True;1
3;False;(3, 1);[0, 1.0];538;0;1.0;True;2
3;False;(3, 1);[0, 1.0];440;0;1.0;True;3
3;False;(3, 1);[0, 1.0];429;0;1.0;True;4
3;False;(3, 1);[0, 1.0];551;0;1.0;True;5
3;False;(3, 1);[0, 1.0];453;0;1.0;True;6
3;False;(3, 1);[0, 1.0];328;0;1.0;True;7
3;False;(3, 1);[0, 1.0];551;0;1.0;True;8
3;False;(3, 1);[0, 1.0];506;0;1.0;True;9
3;False;(3, 2);[0, 1.0];426;0;1.0;True;0
3;False;(3, 2);[0, 1.0];436;0;1.0;True;1
3;False;(3, 2);[0, 1.0];405;0;1.0;True;2
