confidence_per_choice;id
[0, 0, 3.650797091572006e-06, 0];('astronomy', 15)
[5.559288442879545e-06, 0, 0.0001188628279786635, 0];('astronomy', 16)
[0.00010473993653173639, 0, 0, 0];('astronomy', 17)
[3.262443193884797e-05, 0, 0, 1.7462600044208335e-05];('astronomy', 18)
[0, 0, 6.302740869839197e-07, 0];('astronomy', 19)
[0, 0, 0, 3.4036068677219074e-05];('astronomy', 20)
[2.1001353321153263e-07, 0, 2.4274263977281764e-05, 2.1421962772471976e-05];('astronomy', 21)
[6.573572225361886e-06, 0, 0, 0.002065354013084378];('astronomy', 22)
[0, 7.689137282364327e-05, 0, 0];('astronomy', 23)
[0, 0, 4.770018013364008e-06, 0];('astronomy', 24)
[0, 0, 0, 0.0001984033509860332];('astronomy', 25)
[0, 0, 0, 0];('astronomy', 26)
[0, 0, 0, 0.00040465288739397436];('astronomy', 27)
[1.0632169090186028e-06, 0, 0, 0];('astronomy', 28)
[0, 0, 1.6315522038387814e-05, 0];('astronomy', 29)
[0, 2.6808243906065316e-05, 0, 0];('astronomy', 30)
[0, 0, 2.4344625222296864e-05, 0];('astronomy', 31)
[0, 0, 0, 0];('astronomy', 32)
[0, 0, 0, 0.0008913981407305805];('astronomy', 33)
[0, 0, 3.8914602926138425e-06, 0];('astronomy', 34)
[0, 0, 0, 0.0004734498098314246];('astronomy', 35)
[7.311816336308292e-07, 0, 0, 0];('astronomy', 36)
[0, 0, 3.5598179120118715e-06, 0];('astronomy', 37)
[0, 2.7174947279316295e-05, 0, 0];('astronomy', 38)
[0, 0, 1.1270272870121938e-05, 0];('astronomy', 39)
[0, 0, 1.0856774630079423e-05, 0];('astronomy', 40)
[3.0245063263610393e-07, 0, 0, 0.00010767988385393138];('astronomy', 41)
[0, 2.4805468845681768e-05, 0, 0];('astronomy', 42)
[6.668410933433441e-06, 0, 0, 0];('astronomy', 43)
[0, 0, 2.5269396493882748e-05, 0];('astronomy', 44)
[0.002097917620085976, 0, 0, 0.002097917620085976];('astronomy', 45)
[0, 0, 0, 0.0008540862919092377];('astronomy', 46)
[2.0380695711112734e-05, 0, 0, 0];('astronomy', 47)
[0, 0, 6.032122395987233e-06, 0];('astronomy', 48)
[0, 6.9004066984147e-06, 0, 0];('astronomy', 49)
[0, 7.452137179649542e-06, 0, 0];('astronomy', 50)
[0, 0, 0, 0];('astronomy', 51)
[0, 0, 0, 3.0149627268543848e-05];('astronomy', 52)
[2.0052517760359452e-05, 0, 0, 0.0001481691786560992];('astronomy', 53)
[0, 0, 0, 0.0009088121031287177];('astronomy', 54)
[5.441171191452249e-06, 0, 0.000149380139717149, 0];('astronomy', 55)
[0, 0, 0, 0.0050258895835999];('astronomy', 56)
[0.0030811640504444693, 0, 0, 5.643348810489044e-05];('astronomy', 57)
[0, 0, 2.046101896170046e-06, 0];('astronomy', 58)
[7.885924781465481e-06, 0, 0, 0];('astronomy', 59)
[0.4250152286477418, 0, 0, 0.00043916717979818656];('astronomy', 60)
[0, 0, 0, 9.43916612263516e-05];('astronomy', 61)
[0, 8.923221712864589e-07, 0, 0];('astronomy', 62)
[0.00013766439469934134, 0, 0, 0];('astronomy', 63)
[0.0015981629418319568, 0, 0, 0];('astronomy', 64)
[0, 0, 7.2919982918243e-05, 0];('astronomy', 65)
[0, 0, 0, 0];('astronomy', 66)
[0, 3.921175318278252e-07, 0, 0];('astronomy', 67)
[2.1862228245246496e-07, 3.913785761856152e-05, 0, 0];('astronomy', 68)
[0, 0, 0, 0];('astronomy', 69)
[5.971433697356464e-08, 1.0584629584167684e-06, 0, 0];('astronomy', 70)
[0.0006108937197128392, 0, 0, 2.68408096126718e-05];('astronomy', 71)
[1.0488302019356468e-05, 0, 1.2526490422495724e-06, 0];('astronomy', 72)
[0, 0, 0, 0.0004708337507899024];('astronomy', 73)
[1.6228603495514163e-07, 0, 8.241564893846634e-07, 0];('astronomy', 74)
[0, 0, 1.8160205197430027e-05, 0];('astronomy', 75)
[1.4365438931712083e-05, 0, 0, 0];('astronomy', 76)
[0, 0, 1.590133402085726e-05, 0];('astronomy', 77)
[0, 5.938744595446889e-06, 0, 0];('astronomy', 78)
[0.882730659125942, 0, 1.4743107411351527e-05, 0];('astronomy', 79)
[0, 1.848713160926848e-07, 6.388987818847353e-08, 0];('astronomy', 80)
[1.2973377819440008e-05, 0, 3.112151553035538e-05, 0];('astronomy', 81)
[3.157355512278401e-05, 0, 0, 0];('astronomy', 82)
[6.000402588911071e-05, 0, 0, 0];('astronomy', 83)
[3.667026311412371e-06, 0, 0, 0];('astronomy', 84)
[0.0010115907628185576, 0, 0, 0];('astronomy', 85)
[0, 0, 2.372463929657269e-07, 0];('astronomy', 86)
[0, 6.067321800126771e-06, 0, 0];('astronomy', 87)
[0, 0, 0, 0];('astronomy', 88)
[0, 0, 0, 0.0003339187284240172];('astronomy', 89)
[0, 0, 0, 0];('astronomy', 90)
[0, 5.213297121432364e-06, 0, 0];('astronomy', 91)
[7.128702612474667e-06, 0, 0, 0];('astronomy', 92)
[1.3846856532080332e-05, 0, 0, 0.0003571149664612305];('astronomy', 93)
[1.7341987663431123e-06, 0, 0, 0];('astronomy', 94)
[0, 1.8706694479457526e-05, 0, 0];('astronomy', 95)
[0, 0, 0, 0.00011862139760331959];('astronomy', 96)
[0, 0, 2.694334160341752e-07, 0];('astronomy', 97)
