correct_answer_idx;model_guessed_its_correct;id;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
0;True;(0, 0);[1.0, 0];325;0;1.0;True;0
0;True;(0, 0);[1.0, 0];320;0;1.0;True;1
0;True;(0, 0);[1.0, 0];416;0;1.0;True;2
0;True;(0, 0);[1.0, 0];467;0;1.0;True;3
0;True;(0, 0);[1.0, 0];272;0;1.0;True;4
0;True;(0, 0);[1.0, 2.8453348089834e-08];555;0;1.0;True;5
0;True;(0, 0);[1.0, 0];416;0;1.0;True;6
0;True;(0, 0);[1.0, 0];301;0;1.0;True;7
0;True;(0, 0);[1.0, 0];365;0;1.0;True;8
0;True;(0, 0);[1.0, 0];389;0;1.0;True;9
0;False;(0, 1);[3.581747930283181e-10, 1.0];252;0;1.0;True;0
0;False;(0, 1);[7.582560427911907e-10, 1.0];347;0;1.0;True;1
0;False;(0, 1);[2.646573638909117e-09, 1.0];387;0;1.0;True;2
0;False;(0, 1);[2.4616969518153846e-10, 1.0];281;0;1.0;True;3
0;False;(0, 1);[4.5990553786523166e-10, 1.0];263;0;1.0;True;4
0;False;(0, 1);[0, 1.0];338;0;1.0;True;5
0;False;(0, 1);[2.4616969518153846e-10, 1.0];247;0;1.0;True;6
0;False;(0, 1);[4.058652126475693e-10, 0.9999998807907247];330;0;1.0;True;7
0;False;(0, 1);[2.7894680928689246e-10, 1.0];294;0;1.0;True;8
0;False;(0, 1);[0, 0.9999998807907247];360;0;1.0;True;9
0;False;(0, 2);[1.917171513758312e-10, 1.0];256;0;1.0;True;0
0;False;(0, 2);[0, 1.0];260;0;1.0;True;1
0;False;(0, 2);[0, 1.0];264;0;1.0;True;2
0;False;(0, 2);[0, 1.0];459;0;1.0;True;3
0;False;(0, 2);[0, 0.9999998807907247];327;0;1.0;True;4
0;False;(0, 2);[2.4616969518153846e-10, 1.0];292;0;1.0;True;5
0;False;(0, 2);[2.172439935079017e-10, 1.0];231;0;1.0;True;6
0;False;(0, 2);[0, 0.9999998807907247];539;0;1.0;True;7
0;False;(0, 2);[0, 0.9999998807907247];430;0;1.0;True;8
0;False;(0, 2);[0, 0.9999998807907247];376;0;1.0;True;9
0;False;(0, 3);[0, 0.9999998807907247];281;0;1.0;True;0
0;False;(0, 3);[0, 1.0];321;0;1.0;True;1
0;False;(0, 3);[1.917171513758312e-10, 0.9999998807907247];459;0;1.0;True;2
0;False;(0, 3);[0, 1.0];474;0;1.0;True;3
0;False;(0, 3);[0, 0.9999998807907247];323;0;1.0;True;4
0;False;(0, 3);[0, 0.9999998807907247];314;0;1.0;True;5
0;False;(0, 3);[0, 1.0];386;0;1.0;True;6
0;False;(0, 3);[0, 1.0];365;0;1.0;True;7
0;False;(0, 3);[2.7894680928689246e-10, 0.9999998807907247];297;0;1.0;True;8
0;False;(0, 3);[2.172439935079017e-10, 1.0];189;0;1.0;True;9
1;False;(1, 0);[0, 0.9999998807907247];279;0;1.0;True;0
1;False;(1, 0);[0, 0.9999998807907247];281;0;1.0;True;1
1;False;(1, 0);[0, 0.9999998807907247];274;0;1.0;True;2
1;False;(1, 0);[0, 0.9999998807907247];333;0;1.0;True;3
1;False;(1, 0);[0, 0.9999997615814777];337;0;1.0;True;4
1;False;(1, 0);[0, 0.9999998807907247];408;0;1.0;True;5
1;False;(1, 0);[0, 0.9999998807907247];349;0;1.0;True;6
1;False;(1, 0);[0, 0.9999998807907247];306;0;1.0;True;7
1;False;(1, 0);[0, 0.9999998807907247];340;0;1.0;True;8
1;False;(1, 0);[0, 0.9999998807907247];324;0;1.0;True;9
1;True;(1, 1);[1.0, 0];328;0;1.0;True;0
1;True;(1, 1);[1.0, 0];342;0;1.0;True;1
1;True;(1, 1);[1.0, 0];333;0;1.0;True;2
1;True;(1, 1);[1.0, 0];337;0;1.0;True;3
1;True;(1, 1);[1.0, 0];442;0;1.0;True;4
1;True;(1, 1);[1.0, 0];522;0;1.0;True;5
1;True;(1, 1);[1.0, 0];363;0;1.0;True;6
1;True;(1, 1);[1.0, 0];322;0;1.0;True;7
1;True;(1, 1);[1.0, 0];322;0;1.0;True;8
1;True;(1, 1);[1.0, 0];263;0;1.0;True;9
1;False;(1, 2);[0, 0.9999998807907247];401;0;1.0;True;0
1;False;(1, 2);[0, 1.0];423;0;1.0;True;1
1;False;(1, 2);[0, 1.0];349;0;1.0;True;2
1;False;(1, 2);[0, 1.0];411;0;1.0;True;3
1;False;(1, 2);[0, 0.9999998807907247];359;0;1.0;True;4
1;False;(1, 2);[0, 1.0];345;0;1.0;True;5
1;False;(1, 2);[0, 0.9999998807907247];314;0;1.0;True;6
1;False;(1, 2);[0, 0.9999998807907247];367;0;1.0;True;7
1;False;(1, 2);[0, 1.0];471;0;1.0;True;8
1;False;(1, 2);[0, 0.9999998807907247];438;0;1.0;True;9
1;False;(1, 3);[0, 0.9999998807907247];348;0;1.0;True;0
1;False;(1, 3);[0, 1.0];427;0;1.0;True;1
1;False;(1, 3);[0, 1.0];337;0;1.0;True;2
1;False;(1, 3);[0, 0.9999998807907247];255;0;1.0;True;3
1;False;(1, 3);[0, 1.0];446;0;1.0;True;4
1;False;(1, 3);[0, 0.9999998807907247];379;0;1.0;True;5
1;False;(1, 3);[0, 1.0];326;0;1.0;True;6
1;False;(1, 3);[0, 0.9999998807907247];341;0;1.0;True;7
1;False;(1, 3);[0, 1.0];413;0;1.0;True;8
1;False;(1, 3);[0, 0.9999998807907247];372;0;1.0;True;9
1;False;(2, 0);[0, 0.9999998807907247];394;0;1.0;True;0
1;False;(2, 0);[0, 0.9999998807907247];365;0;1.0;True;1
1;False;(2, 0);[0, 0.9999998807907247];642;0;1.0;True;2
1;False;(2, 0);[0, 0.9999998807907247];392;0;1.0;True;3
1;False;(2, 0);[0, 0.9999998807907247];374;0;1.0;True;4
1;False;(2, 0);[0, 0.9999998807907247];388;0;1.0;True;5
1;False;(2, 0);[0, 0.9999998807907247];414;0;1.0;True;6
1;False;(2, 0);[0, 0.9999998807907247];367;0;1.0;True;7
1;False;(2, 0);[0, 0.9999998807907247];347;0;1.0;True;8
1;False;(2, 0);[0, 0.9999998807907247];411;0;1.0;True;9
1;True;(2, 1);[1.0, 0];522;0;1.0;True;0
1;True;(2, 1);[1.0, 0];412;0;1.0;True;1
1;True;(2, 1);[1.0, 0];498;0;1.0;True;2
1;True;(2, 1);[1.0, 0];322;0;1.0;True;3
1;True;(2, 1);[1.0, 0];428;0;1.0;True;4
1;True;(2, 1);[1.0, 0];466;0;1.0;True;5
