id;confidence_per_choice
('abstract_algebra', 0);[5.904369204638381e-10, 0.9998415959451853, 3.2236763568592286e-08, 0.0001584362410990077]
('abstract_algebra', 1);[0.005692301599740652, 0.14680639316849325, 0.8448125007482217, 0.0026888528838316553]
('abstract_algebra', 2);[7.479310368473212e-05, 3.847724430941236e-09, 0.9992156225317975, 0.0007096172101421119]
('abstract_algebra', 3);[2.461692256505547e-10, 1.3709577789362383e-06, 4.0586443852184914e-10, 0.9999985694905718]
('abstract_algebra', 4);[2.9989608248573072e-09, 0.9999994039539004, 6.023573837886479e-08, 5.043471815847051e-07]
('abstract_algebra', 5);[4.5990553786523166e-10, 0.9999998807907247, 7.194133030325383e-09, 1.6373771305908126e-07]
('abstract_algebra', 6);[1.0, 2.8453348089834e-08, 8.152020714470167e-09, 9.237449661970594e-09]
('abstract_algebra', 7);[5.42221734436887e-06, 3.9278410701298514e-07, 0.9999940395710211, 7.734377650551034e-08]
('abstract_algebra', 8);[1.2917800047859961e-12, 1.0, 2.9400777392844726e-11, 3.581747930283181e-10]
('abstract_algebra', 9);[2.96883703250647e-07, 0.00017426640849215142, 0.029307110654276283, 0.9705183053063224]
('abstract_algebra', 10);[1.0, 4.691164021834418e-08, 1.493094676197164e-10, 8.152020714470167e-09]
('abstract_algebra', 11);[1.0676408809038473e-06, 5.829121699710653e-05, 0.9999406372966204, 4.690886651790856e-08]
('abstract_algebra', 12);[2.4263154643990055e-05, 1.4716347192928934e-05, 0.0015011082233265544, 0.9984495873606369]
('abstract_algebra', 13);[2.2159447507533765e-08, 0.9999984502816872, 8.315271330899149e-07, 4.450844011100084e-07]
('abstract_algebra', 14);[7.335199556766113e-07, 0.9995891352569899, 0.0003353247698148073, 7.482106959051332e-05]
('abstract_algebra', 15);[1.0, 1.522997974471263e-08, 7.991959892953932e-11, 5.602796437537268e-09]
('abstract_algebra', 16);[2.233463209142085e-06, 0.6791202427041461, 8.381008861021076e-05, 0.3207936975031958]
('abstract_algebra', 17);[5.600061364885939e-09, 0.0004878569739438064, 0.999511837968979, 3.464635283131181e-07]
('abstract_algebra', 18);[2.7346982915918745e-12, 1.57371021068629e-11, 3.775134544279098e-11, 1.0]
('abstract_algebra', 19);[1.0, 2.061153622438558e-09, 1.0815941557285693e-11, 2.510999155743982e-08]
('abstract_algebra', 20);[6.888357802180648e-07, 0.26894108467305383, 1.0563638823694176e-07, 0.7310576416056118]
('abstract_algebra', 21);[0.9046477828806735, 0.0953491641611327, 2.1552062245268894e-07, 8.524005971719839e-07]
('abstract_algebra', 22);[2.289734845645553e-11, 2.335593038799337e-09, 1.57371021068629e-11, 1.0]
('abstract_algebra', 23);[9.545034922840628e-12, 1.2256067444099483e-11, 1.7257827987960214e-08, 1.0]
('abstract_algebra', 24);[0.9999952316511552, 5.315764976351624e-08, 3.331531833356797e-11, 4.78509457496562e-06]
('abstract_algebra', 25);[2.9989608248573072e-09, 7.991959892953932e-11, 1.0, 9.056076989672867e-11]
('abstract_algebra', 26);[6.348775897339431e-09, 1.9947260911909763e-06, 0.9999964237340748, 1.5534942418324951e-06]
('abstract_algebra', 27);[0.9999831917733143, 6.023470437276057e-08, 3.775069740355911e-11, 1.6701414089010932e-05]
('abstract_algebra', 28);[3.5356084658073444e-05, 4.784925731338026e-06, 8.591822472664099e-10, 0.9999598280839657]
('abstract_algebra', 29);[1.0, 3.1608814543136926e-10, 5.384940217754036e-13, 8.423463754468647e-12]
('abstract_algebra', 30);[2.646568590975319e-09, 1.0677029917933763e-06, 2.2159447507533765e-08, 0.999998927117538]
('abstract_algebra', 31);[2.289734845645553e-11, 1.0, 4.277787868968998e-11, 9.056076989672867e-11]
('abstract_algebra', 32);[0.9999783043793048, 1.855350665963254e-07, 2.9988979048152464e-09, 2.1444937927240387e-05]
('abstract_algebra', 33);[3.331544542166412e-11, 2.7894680928689246e-10, 1.0, 2.289734845645553e-11]
('abstract_algebra', 34);[2.6463212540133674e-09, 9.610239492660866e-05, 5.210915512562357e-10, 0.9999039265409296]
('abstract_algebra', 35);[1.006039279283317e-12, 1.0, 9.545034922840628e-12, 4.277787868968998e-11]
('abstract_algebra', 36);[1.8552338892200512e-07, 3.9275301742992455e-07, 8.48110364334263e-05, 0.9999146534361616]
