correct_answer_idx;id;model_guessed_its_correct;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
0;(0, 0);True;[0.9999979734461775, 1.370956471489639e-06];449;450;1.0;True;0
0;(0, 0);True;[0.9999866487378297, 7.889219494052938e-06];464;481;1.0;True;1
0;(0, 0);True;[0.9999990463265931, 2.3823673954981372e-07];245;174;1.0;True;2
0;(0, 0);True;[0.9999965429424904, 7.338187197174319e-07];366;494;1.0;True;3
0;(0, 0);True;[0.9999985694905718, 7.33820819192633e-07];380;484;1.0;True;4
0;(0, 0);True;[0.9999938011552557, 3.7266318480591813e-06];341;355;1.0;True;5
0;(0, 0);True;[0.9999990463265931, 1.6373755690670415e-07];517;201;1.0;True;6
0;(0, 0);True;[0.9999986886995842, 8.315279260963632e-07];389;81;1.0;True;7
0;(0, 0);True;[0.9999995231630692, 1.8553913626159784e-07];580;177;1.0;True;8
0;(0, 0);True;[0.9999967813595916, 6.47593364802092e-07];347;141;1.0;True;9
0;(0, 1);False;[0, 0.9999995231630692];602;404;1.0;True;0
0;(0, 1);False;[0, 0.9999990463265931];561;457;1.0;True;1
0;(0, 1);False;[0, 0.9999980926550052];477;500;1.0;True;2
0;(0, 1);False;[0, 0.999998927117538];569;575;1.0;True;3
0;(0, 1);False;[0, 0.999998927117538];533;262;1.0;True;4
0;(0, 1);False;[0, 0.9999992847447459];455;425;1.0;True;5
0;(0, 1);False;[9.237449661970594e-09, 0.9999990463265931];429;514;1.0;True;6
0;(0, 1);False;[0, 0.9999984502816872];827;591;1.0;True;7
0;(0, 1);False;[0, 0.9999957084838798];686;488;1.0;True;8
0;(0, 1);False;[0, 0.9999972581939645];394;342;1.0;True;9
0;(0, 2);False;[0, 0.9999991655356624];540;423;1.0;True;0
0;(0, 2);False;[0, 0.999997854237364];482;546;1.0;True;1
0;(0, 2);False;[0, 0.9999973774024795];717;574;1.0;True;2
0;(0, 2);False;[0, 0.9999983310727032];709;822;1.0;True;3
0;(0, 2);False;[0, 0.9999985694905718];768;567;1.0;True;4
0;(0, 2);False;[0, 0.9999996423722521];539;603;1.0;True;5
0;(0, 2);False;[0, 0.9999980926550052];597;596;1.0;True;6
0;(0, 2);False;[0, 0.9999984502816872];520;499;1.0;True;7
0;(0, 2);False;[0, 0.9999966621509202];609;287;1.0;True;8
0;(0, 2);False;[0, 0.9999971389852362];437;887;1.0;True;9
0;(0, 3);False;[0, 0.9999983310727032];489;396;1.0;True;0
0;(0, 3);False;[0, 0.9999969005680498];545;294;1.0;True;1
0;(0, 3);False;[0, 0.9999997615814777];570;693;1.0;True;2
0;(0, 3);False;[0, 0.9999979734461775];745;333;1.0;True;3
0;(0, 3);False;[0, 0.9999983310727032];672;654;1.0;True;4
0;(0, 3);False;[0, 0.9999994039539004];700;747;1.0;True;5
0;(0, 3);False;[0, 0.9999959469005546];639;674;1.0;True;6
0;(0, 3);False;[0, 0.9999988079084972];620;676;1.0;True;7
0;(0, 3);False;[0, 0.9999990463265931];1006;964;1.0;True;8
0;(0, 3);False;[0, 0.9999990463265931];685;612;1.0;True;9
1;(1, 0);False;[0, 0.9999998807907247];381;161;1.0;True;0
1;(1, 0);False;[0, 0.9999997615814777];346;74;1.0;True;1
1;(1, 0);False;[0, 0.9999994039539004];281;171;1.0;True;2
1;(1, 0);False;[0, 0.9999994039539004];347;137;1.0;True;3
1;(1, 0);False;[0, 0.9999995231630692];374;185;1.0;True;4
1;(1, 0);False;[0, 0.9999996423722521];274;102;1.0;True;5
1;(1, 0);False;[0, 0.9999996423722521];727;181;1.0;True;6
1;(1, 0);False;[0, 0.9999995231630692];275;172;1.0;True;7
1;(1, 0);False;[0, 0.9999992847447459];326;135;1.0;True;8
1;(1, 0);False;[0, 0.9999996423722521];42;111;1.0;True;9
1;(1, 1);True;[0.9999992847447459, 2.6995759288455584e-07];540;155;1.0;True;0
1;(1, 1);True;[0.9999995231630692, 2.382369667501818e-07];547;256;1.0;True;1
1;(1, 1);True;[0.9999996423722521, 1.4449802461092448e-07];566;354;1.0;True;2
1;(1, 1);True;[0.9999992847447459, 2.3823673954981372e-07];380;320;1.0;True;3
1;(1, 1);True;[0.9999991655356624, 1.6373755690670415e-07];400;211;1.0;True;4
1;(1, 1);True;[0.9999991655356624, 2.3823673954981372e-07];417;327;1.0;True;5
1;(1, 1);True;[0.9999982118638471, 4.450844011100084e-07];606;449;1.0;True;6
1;(1, 1);True;[0.9999997615814777, 5.3157852544244216e-08];824;87;1.0;True;7
1;(1, 1);True;[0.9999994039539004, 2.1024318473456359e-07];461;324;1.0;True;8
1;(1, 1);True;[0.9999997615814777, 1.4449802461092448e-07];450;406;1.0;True;9
1;(1, 2);False;[0, 0.9999996423722521];480;302;1.0;True;0
1;(1, 2);False;[0, 0.999998927117538];466;67;1.0;True;1
1;(1, 2);False;[0, 0.9999985694905718];503;196;1.0;True;2
1;(1, 2);False;[0, 0.999998927117538];449;195;1.0;True;3
1;(1, 2);False;[0, 0.9999994039539004];399;125;1.0;True;4
1;(1, 2);False;[0, 0.9999990463265931];473;211;1.0;True;5
1;(1, 2);False;[0, 0.9999988079084972];515;334;1.0;True;6
1;(1, 2);False;[0, 0.999998927117538];540;345;1.0;True;7
1;(1, 2);False;[0, 0.9999990463265931];685;359;1.0;True;8
1;(1, 2);False;[0, 0.9999994039539004];680;84;1.0;True;9
1;(1, 3);False;[0, 0.9999990463265931];495;324;1.0;True;0
1;(1, 3);False;[0, 0.9999994039539004];626;262;1.0;True;1
1;(1, 3);False;[0, 0.999998927117538];531;53;1.0;True;2
1;(1, 3);False;[0, 0.9999991655356624];465;479;1.0;True;3
1;(1, 3);False;[0, 0.999998927117538];543;415;1.0;True;4
1;(1, 3);False;[0, 0.9999985694905718];483;185;1.0;True;5
1;(1, 3);False;[0, 0.9999985694905718];478;258;1.0;True;6
1;(1, 3);False;[0, 0.9999992847447459];482;194;1.0;True;7
1;(1, 3);False;[0, 0.9999994039539004];495;277;1.0;True;8
1;(1, 3);False;[0, 0.9999979734461775];717;458;1.0;True;9
1;(2, 0);False;[0, 0.9999986886995842];568;302;1.0;True;0
1;(2, 0);False;[0, 0.9999995231630692];590;529;1.0;True;1
1;(2, 0);False;[0, 0.999997854237364];578;375;1.0;True;2
1;(2, 0);False;[0, 0.9999945164027223];619;355;1.0;True;3
1;(2, 0);False;[0, 0.9999991655356624];420;229;1.0;True;4
1;(2, 0);False;[0, 0.9999961853172863];543;140;1.0;True;5
1;(2, 0);False;[0, 0.9999980926550052];525;267;1.0;True;6
1;(2, 0);False;[0, 0.9999955892755635];503;262;1.0;True;7
1;(2, 0);False;[0, 0.9999957084838798];529;373;1.0;True;8
1;(2, 0);False;[0, 0.9999933243243502];405;282;1.0;True;9
1;(2, 1);True;[0.9999996423722521, 5.3157852544244216e-08];1016;269;1.0;True;0
1;(2, 1);True;[0.9999991655356624, 3.9278597995802437e-07];814;600;1.0;True;1
1;(2, 1);True;[0.9999991655356624, 1.4449788680693535e-07];421;228;1.0;True;2
1;(2, 1);True;[0.9999990463265931, 1.8553895931777327e-07];667;249;1.0;True;3
1;(2, 1);True;[0.9999980926550052, 8.315271330899149e-07];585;380;1.0;True;4
1;(2, 1);True;[0.9999994039539004, 3.059020287707785e-07];648;306;1.0;True;5
1;(2, 1);True;[0.9999988079084972, 5.043471815847051e-07];513;239;1.0;True;6
1;(2, 1);True;[0.9999992847447459, 3.9278597995802437e-07];497;166;1.0;True;7
1;(2, 1);True;[0.9999988079084972, 8.315279260963632e-07];490;187;1.0;True;8
1;(2, 1);True;[0.9999992847447459, 2.3823673954981372e-07];645;370;1.0;True;9
1;(2, 2);False;[0, 0.9999958276922101];737;377;1.0;True;0
1;(2, 2);False;[0, 0.9999991655356624];441;290;1.0;True;1
1;(2, 2);False;[0, 0.9999992847447459];683;212;1.0;True;2
1;(2, 2);False;[0, 0.9999933243243502];589;278;1.0;True;3
1;(2, 2);False;[0, 0.9999992847447459];458;198;1.0;True;4
1;(2, 2);False;[0, 0.9999994039539004];665;485;1.0;True;5
1;(2, 2);False;[0, 0.999997854237364];470;283;1.0;True;6
1;(2, 2);False;[0, 0.9999977350285647];708;496;1.0;True;7
1;(2, 2);False;[0, 0.9999947548186582];615;344;1.0;True;8
1;(2, 2);False;[0, 0.9999988079084972];530;369;1.0;True;9
1;(2, 3);False;[0, 0.9999996423722521];514;261;1.0;True;0
1;(2, 3);False;[0, 0.9999996423722521];383;172;1.0;True;1
1;(2, 3);False;[0, 0.9999985694905718];581;378;1.0;True;2
1;(2, 3);False;[0, 0.9999973774024795];582;387;1.0;True;3
1;(2, 3);False;[0, 0.9999994039539004];633;464;1.0;True;4
1;(2, 3);False;[0, 0.9999973774024795];662;299;1.0;True;5
1;(2, 3);False;[0, 0.9999860527077029];564;155;1.0;True;6
1;(2, 3);False;[0, 0.9999985694905718];497;167;1.0;True;7
1;(2, 3);False;[0, 0.9999996423722521];553;306;1.0;True;8
1;(2, 3);False;[0, 0.9999990463265931];479;480;1.0;True;9
3;(3, 0);False;[0, 0.9999959469005546];835;383;1.0;True;0
3;(3, 0);False;[0, 0.9999959469005546];679;205;1.0;True;1
3;(3, 0);False;[0, 0.9999973774024795];772;340;1.0;True;2
3;(3, 0);False;[0, 0.9999986886995842];723;270;1.0;True;3
3;(3, 0);False;[0, 0.9999992847447459];635;380;1.0;True;4
3;(3, 0);False;[0, 0.9999958276922101];858;470;1.0;True;5
3;(3, 0);False;[0, 0.9999967813595916];723;489;1.0;True;6
3;(3, 0);False;[0, 0.9999994039539004];650;462;1.0;True;7
3;(3, 0);False;[0, 0.9999965429424904];559;419;1.0;True;8
3;(3, 0);False;[0, 0.9999947548186582];838;327;1.0;True;9
3;(3, 1);False;[0, 0.9999970197767496];912;438;1.0;True;0
3;(3, 1);False;[0, 0.9999966621509202];717;227;1.0;True;1
3;(3, 1);False;[0, 0.9999889136593714];1029;217;1.0;True;2
3;(3, 1);False;[0, 0.9999958276922101];894;391;1.0;True;3
3;(3, 1);False;[0, 0.9999982118638471];672;119;1.0;True;4
3;(3, 1);False;[0, 0.9999955892755635];746;378;1.0;True;5
3;(3, 1);False;[0, 0.999997854237364];703;322;1.0;True;6
3;(3, 1);False;[0, 0.9999953508594287];686;404;1.0;True;7
3;(3, 1);False;[0, 0.9999979734461775];906;412;1.0;True;8
3;(3, 1);False;[0, 0.9999946356109105];970;427;1.0;True;9
3;(3, 2);False;[0, 0.999997854237364];744;349;1.0;True;0
3;(3, 2);False;[0, 0.9999980926550052];497;179;1.0;True;1
3;(3, 2);False;[0, 0.9999980926550052];828;480;1.0;True;2
3;(3, 2);False;[0, 0.9999973774024795];996;456;1.0;True;3
3;(3, 2);False;[0, 0.9999965429424904];943;318;1.0;True;4
3;(3, 2);False;[0, 0.9999985694905718];601;78;1.0;True;5
3;(3, 2);False;[0, 0.9999947548186582];892;282;1.0;True;6
3;(3, 2);False;[0, 0.9999957084838798];869;314;1.0;True;7
3;(3, 2);False;[0, 0.9999942779868433];942;256;1.0;True;8
3;(3, 2);False;[0, 0.9999958276922101];809;207;1.0;True;9
3;(3, 3);True;[0.9999979734461775, 3.9278560536830205e-07];474;258;1.0;True;0
3;(3, 3);True;[0.9999977350285647, 1.553497204890439e-06];523;166;1.0;True;1
3;(3, 3);True;[0.9999973774024795, 5.043462196197153e-07];771;303;1.0;True;2
3;(3, 3);True;[0.9999994039539004, 1.4449788680693535e-07];865;296;1.0;True;3
3;(3, 3);True;[0.9999994039539004, 2.3823673954981372e-07];542;290;1.0;True;4
3;(3, 3);True;[0.9999988079084972, 5.043471815847051e-07];719;143;1.0;True;5
3;(3, 3);True;[0.9999983310727032, 3.9278560536830205e-07];706;341;1.0;True;6
3;(3, 3);True;[0.9999991655356624, 1.6373755690670415e-07];1149;429;1.0;True;7
3;(3, 3);True;[0.9999988079084972, 5.043471815847051e-07];682;153;1.0;True;8
3;(3, 3);True;[0.9999972581939645, 8.315263400842229e-07];795;166;1.0;True;9
1;(4, 0);True;[0.9999970197767496, 1.0677009553134769e-06];938;1442;0.1;False;0
1;(4, 0);False;[0, 0.9999997615814777];347;152;0.9;True;1
1;(4, 0);False;[0, 0.9999990463265931];500;838;0.9;True;2
1;(4, 0);False;[0, 0.9999994039539004];451;546;0.9;True;3
1;(4, 0);False;[0, 0.9999997615814777];571;401;0.9;True;4
1;(4, 0);False;[0, 0.9999974966112362];582;929;0.9;True;5
1;(4, 0);False;[0, 0.9999994039539004];341;424;0.9;True;6
1;(4, 0);False;[0, 0.9999991655356624];537;387;0.9;True;7
1;(4, 0);False;[0, 0.9999996423722521];780;857;0.9;True;8
1;(4, 0);False;[0, 0.9999983310727032];579;1028;0.9;True;9
1;(4, 1);True;[0.9999930859092101, 4.222823086577989e-06];660;683;1.0;True;0
1;(4, 1);True;[0.9999979734461775, 1.7603429545652396e-06];783;726;1.0;True;1
1;(4, 1);True;[0.9999980926550052, 1.370956471489639e-06];477;926;1.0;True;2
1;(4, 1);True;[0.9999976158197796, 2.2603250957489616e-06];582;373;1.0;True;3
1;(4, 1);True;[0.9999983310727032, 1.370956471489639e-06];488;447;1.0;True;4
1;(4, 1);True;[0.9999979734461775, 1.7603429545652396e-06];597;269;1.0;True;5
1;(4, 1);True;[0.9999713905890374, 2.7535661536881667e-05];746;1250;1.0;True;6
1;(4, 1);True;[0.9999926090786457, 6.144165476886902e-06];603;590;1.0;True;7
1;(4, 1);True;[0.9999990463265931, 3.9278597995802437e-07];883;666;1.0;True;8
1;(4, 1);True;[0.9999984502816872, 1.067701973552941e-06];451;421;1.0;True;9
1;(4, 2);False;[0, 0.9999991655356624];393;739;1.0;True;0
1;(4, 2);False;[0, 0.9999988079084972];921;1078;1.0;True;1
1;(4, 2);False;[0, 0.9999984502816872];572;896;1.0;True;2
1;(4, 2);False;[0, 0.9999985694905718];395;435;1.0;True;3
1;(4, 2);False;[0, 0.9999991655356624];609;668;1.0;True;4
1;(4, 2);False;[0, 0.9999995231630692];363;403;1.0;True;5
1;(4, 2);False;[0, 0.9999997615814777];492;363;1.0;True;6
1;(4, 2);False;[0, 0.9999988079084972];472;676;1.0;True;7
1;(4, 2);False;[0, 0.999998927117538];280;687;1.0;True;8
1;(4, 2);False;[0, 0.9999997615814777];460;1355;1.0;True;9
1;(4, 3);False;[0, 0.9999995231630692];916;868;1.0;True;0
1;(4, 3);False;[0, 0.9999976158197796];585;536;1.0;True;1
1;(4, 3);False;[0, 0.9999986886995842];580;689;1.0;True;2
1;(4, 3);False;[0, 0.9999995231630692];704;420;1.0;True;3
1;(4, 3);False;[0, 0.9999998807907247];484;790;1.0;True;4
1;(4, 3);False;[0, 0.9999985694905718];530;1103;1.0;True;5
1;(4, 3);False;[0, 0.9999992847447459];486;305;1.0;True;6
1;(4, 3);False;[0, 0.999998927117538];554;831;1.0;True;7
1;(4, 3);False;[0, 0.9999995231630692];492;1128;1.0;True;8
1;(4, 3);False;[0, 0.9999960661089133];752;812;1.0;True;9
1;(5, 0);False;[1.9555681087850496e-08, 0.9999996423722521];636;251;1.0;True;0
1;(5, 0);False;[0, 0.9999977350285647];282;212;1.0;True;1
1;(5, 0);False;[0, 0.9999991655356624];357;185;1.0;True;2
1;(5, 0);False;[7.194133030325383e-09, 0.9999996423722521];67;169;1.0;True;3
1;(5, 0);False;[0, 0.9999990463265931];325;195;1.0;True;4
1;(5, 0);False;[0, 0.9999995231630692];308;601;1.0;True;5
1;(5, 0);False;[1.522997974471263e-08, 0.9999992847447459];294;262;1.0;True;6
1;(5, 0);False;[0, 0.9999997615814777];368;150;1.0;True;7
1;(5, 0);False;[0, 0.999998927117538];334;247;1.0;True;8
1;(5, 0);False;[0, 0.9999990463265931];150;222;1.0;True;9
1;(5, 1);True;[0.9999867679437158, 1.0129958348192378e-05];596;312;1.0;True;0
1;(5, 1);True;[0.9999984502816872, 7.338201193668986e-07];555;287;1.0;True;1
1;(5, 1);True;[0.9999907017622996, 7.889249589094372e-06];379;192;1.0;True;2
1;(5, 1);True;[0.9999976158197796, 1.7603429545652396e-06];420;387;1.0;True;3
1;(5, 1);True;[0.9999994039539004, 2.3823673954981372e-07];610;333;1.0;True;4
1;(5, 1);True;[0.9999954700677164, 2.260318628916241e-06];548;245;1.0;True;5
1;(5, 1);True;[0.9999986886995842, 8.315279260963632e-07];416;112;1.0;True;6
1;(5, 1);True;[0.9999963045256735, 7.338187197174319e-07];519;128;1.0;True;7
1;(5, 1);True;[0.9999990463265931, 5.043471815847051e-07];524;95;1.0;True;8
1;(5, 1);True;[0.9999945164027223, 4.785090011545999e-06];468;206;1.0;True;9
1;(5, 2);False;[0, 0.9999996423722521];313;158;1.0;True;0
1;(5, 2);False;[0, 0.9999985694905718];322;116;1.0;True;1
1;(5, 2);False;[0, 0.9999984502816872];612;440;1.0;True;2
1;(5, 2);False;[0, 0.9999988079084972];406;395;1.0;True;3
1;(5, 2);False;[0, 0.999997854237364];501;270;1.0;True;4
1;(5, 2);False;[0, 0.999998927117538];498;317;1.0;True;5
1;(5, 2);False;[0, 0.9999994039539004];400;296;1.0;True;6
1;(5, 2);False;[0, 0.999998927117538];389;298;1.0;True;7
1;(5, 2);False;[0, 0.9999988079084972];407;199;1.0;True;8
1;(5, 2);False;[0, 0.9999990463265931];411;363;1.0;True;9
1;(5, 3);False;[0, 0.9999991655356624];428;266;1.0;True;0
1;(5, 3);False;[0, 0.9999977350285647];350;296;1.0;True;1
1;(5, 3);False;[0, 0.9999991655356624];464;324;1.0;True;2
1;(5, 3);False;[0, 0.9999994039539004];343;280;1.0;True;3
1;(5, 3);False;[0, 0.9999984502816872];434;256;1.0;True;4
1;(5, 3);False;[0, 0.9999990463265931];168;92;1.0;True;5
1;(5, 3);False;[0, 0.999997854237364];390;271;1.0;True;6
1;(5, 3);False;[0, 0.9999990463265931];412;354;1.0;True;7
1;(5, 3);False;[0, 0.9999994039539004];549;365;1.0;True;8
1;(5, 3);False;[0, 0.9999990463265931];492;450;1.0;True;9
2;(6, 0);False;[0, 0.9999994039539004];467;182;1.0;True;0
2;(6, 0);False;[0, 0.9999997615814777];53;260;1.0;True;1
2;(6, 0);False;[0, 0.9999996423722521];291;242;1.0;True;2
2;(6, 0);False;[1.186112015134383e-08, 0.9999996423722521];61;145;1.0;True;3
2;(6, 0);False;[2.061153622438558e-09, 0.9999998807907247];61;186;1.0;True;4
2;(6, 0);False;[3.398267819495071e-09, 0.9999998807907247];56;561;1.0;True;5
2;(6, 0);False;[0, 0.9999994039539004];517;332;1.0;True;6
2;(6, 0);False;[0, 0.9999997615814777];188;267;1.0;True;7
2;(6, 0);False;[0, 0.9999995231630692];105;316;1.0;True;8
2;(6, 0);False;[0, 0.9999995231630692];84;193;1.0;True;9
2;(6, 1);False;[0, 0.999998927117538];121;188;1.0;True;0
2;(6, 1);False;[0, 0.9999997615814777];332;259;1.0;True;1
2;(6, 1);False;[0, 0.999998927117538];361;411;1.0;True;2
2;(6, 1);False;[0, 0.9999995231630692];616;572;1.0;True;3
2;(6, 1);False;[0, 0.9999988079084972];127;414;1.0;True;4
2;(6, 1);False;[0, 0.9999996423722521];205;234;1.0;True;5
2;(6, 1);False;[0, 0.9999990463265931];197;578;1.0;True;6
2;(6, 1);False;[0, 0.9999994039539004];558;412;1.0;True;7
2;(6, 1);False;[0, 0.9999983310727032];400;246;1.0;True;8
2;(6, 1);False;[0, 0.999998927117538];364;106;1.0;True;9
2;(6, 2);True;[0.9999990463265931, 4.4508482557577276e-07];358;359;1.0;True;0
2;(6, 2);True;[0.9999991655356624, 4.4508482557577276e-07];512;229;1.0;True;1
2;(6, 2);True;[0.9999996423722521, 1.1253517471925912e-07];544;474;1.0;True;2
