id;iter;answer_token_len;correct_answer_idx;finish_reasons;frequency_of_answer;is_correct;model_guessed_its_correct;reasoning_token_len;yes_no_probabilities
(0, 0);0;449;0;stop;1.0;True;True;450;[0.9999979734461775, 1.370956471489639e-06]
(0, 0);1;464;0;stop;1.0;True;True;481;[0.9999866487378297, 7.889219494052938e-06]
(0, 0);2;245;0;stop;1.0;True;True;174;[0.9999990463265931, 2.3823673954981372e-07]
(0, 0);3;366;0;stop;1.0;True;True;494;[0.9999965429424904, 7.338187197174319e-07]
(0, 0);4;380;0;stop;1.0;True;True;484;[0.9999985694905718, 7.33820819192633e-07]
(0, 0);5;341;0;stop;1.0;True;True;355;[0.9999938011552557, 3.7266318480591813e-06]
(0, 0);6;517;0;stop;1.0;True;True;201;[0.9999990463265931, 1.6373755690670415e-07]
(0, 0);7;389;0;stop;1.0;True;True;81;[0.9999986886995842, 8.315279260963632e-07]
(0, 0);8;580;0;stop;1.0;True;True;177;[0.9999995231630692, 1.8553913626159784e-07]
(0, 0);9;347;0;stop;1.0;True;True;141;[0.9999967813595916, 6.47593364802092e-07]
(0, 1);0;602;0;stop;1.0;True;False;404;[0, 0.9999995231630692]
(0, 1);1;561;0;stop;1.0;True;False;457;[0, 0.9999990463265931]
(0, 1);2;477;0;stop;1.0;True;False;500;[0, 0.9999980926550052]
(0, 1);3;569;0;stop;1.0;True;False;575;[0, 0.999998927117538]
(0, 1);4;533;0;stop;1.0;True;False;262;[0, 0.999998927117538]
(0, 1);5;455;0;stop;1.0;True;False;425;[0, 0.9999992847447459]
(0, 1);6;429;0;stop;1.0;True;False;514;[9.237449661970594e-09, 0.9999990463265931]
(0, 1);7;827;0;stop;1.0;True;False;591;[0, 0.9999984502816872]
(0, 1);8;686;0;stop;1.0;True;False;488;[0, 0.9999957084838798]
(0, 1);9;394;0;stop;1.0;True;False;342;[0, 0.9999972581939645]
(0, 2);0;540;0;stop;1.0;True;False;423;[0, 0.9999991655356624]
(0, 2);1;482;0;stop;1.0;True;False;546;[0, 0.999997854237364]
(0, 2);2;717;0;stop;1.0;True;False;574;[0, 0.9999973774024795]
