id;iter;answer_token_len;correct_answer_idx;finish_reasons;frequency_of_answer;is_correct;model_guessed_its_correct;reasoning_token_len;yes_no_probabilities
(0, 0);0;607;1;stop;1.0;True;False;145;[4.8473687062702556e-11, 1.0]
(0, 0);1;693;1;stop;1.0;True;False;153;[2.9400777392844726e-11, 1.0]
(0, 0);2;674;1;stop;1.0;True;False;100;[0, 1.0]
(0, 0);3;372;1;stop;1.0;True;False;131;[0, 1.0]
(0, 0);4;313;1;stop;1.0;True;False;98;[0, 1.0]
(0, 0);5;502;1;stop;1.0;True;False;92;[0, 1.0]
(0, 0);6;637;1;stop;1.0;True;False;135;[1.783247290814639e-11, 1.0]
(0, 0);7;550;1;stop;1.0;True;False;319;[1.783247290814639e-11, 1.0]
(0, 0);8;625;1;stop;1.0;True;False;291;[4.8473687062702556e-11, 1.0]
(0, 0);9;886;1;stop;1.0;True;False;249;[3.775134544279098e-11, 1.0]
(0, 1);0;755;1;stop;1.0;True;True;219;[1.0, 1.3887943864964021e-11]
(0, 1);1;564;1;stop;1.0;True;True;113;[1.0, 0]
(0, 1);2;677;1;stop;1.0;True;True;78;[1.0, 4.8473687062702556e-11]
(0, 1);3;593;1;stop;1.0;True;True;180;[1.0, 1.6918979226151304e-10]
(0, 1);4;1198;1;stop;1.0;True;True;146;[1.0, 2.289734845645553e-11]
(0, 1);5;740;1;stop;1.0;True;True;99;[1.0, 3.775134544279098e-11]
(0, 1);6;515;1;stop;1.0;True;True;92;[1.0, 6.224144622907783e-11]
(0, 1);7;678;1;stop;1.0;True;True;85;[1.0, 3.775134544279098e-11]
(0, 1);8;1191;1;stop;1.0;True;True;66;[1.0, 3.581747930283181e-10]
(0, 1);9;883;1;stop;1.0;True;True;118;[1.0, 4.8473687062702556e-11]
(0, 2);0;612;1;stop;1.0;True;False;181;[0, 1.0]
(0, 2);1;665;1;stop;1.0;True;False;196;[0, 1.0]
(0, 2);2;796;1;stop;1.0;True;False;251;[2.9400777392844726e-11, 1.0]
(0, 2);3;1264;1;stop;1.0;True;False;200;[4.8473687062702556e-11, 1.0]
(0, 2);4;759;1;stop;1.0;True;False;186;[6.224144622907783e-11, 1.0]
(0, 2);5;671;1;stop;1.0;True;False;280;[0, 1.0]
(0, 2);6;1184;1;stop;1.0;True;False;171;[0, 1.0]
(0, 2);7;1046;1;stop;1.0;True;False;332;[0, 1.0]
(0, 2);8;938;1;stop;1.0;True;False;175;[0, 1.0]
(0, 2);9;874;1;stop;1.0;True;False;128;[7.991959892953932e-11, 1.0]
(0, 3);0;1108;1;stop;1.0;True;False;148;[0, 1.0]
(0, 3);1;1305;1;stop;1.0;True;False;184;[0, 1.0]
(0, 3);2;704;1;stop;1.0;True;False;63;[0, 1.0]
(0, 3);3;962;1;stop;1.0;True;False;96;[0, 1.0]
(0, 3);4;1301;1;stop;1.0;True;False;215;[0, 1.0]
(0, 3);5;821;1;stop;1.0;True;False;143;[0, 1.0]
(0, 3);6;571;1;stop;1.0;True;False;81;[0, 1.0]
(0, 3);7;869;1;stop;1.0;True;False;202;[1.0815941557285693e-11, 1.0]
(0, 3);8;619;1;stop;1.0;True;False;169;[0, 1.0]
(0, 3);9;1045;1;stop;1.0;True;False;134;[0, 1.0]
(1, 0);0;262;1;stop;1.0;True;False;183;[0, 1.0]
(1, 0);1;36;1;stop;1.0;True;False;74;[0, 1.0]
(1, 0);2;415;1;stop;1.0;True;False;184;[0, 1.0]
(1, 0);3;376;1;stop;1.0;True;False;128;[1.783247290814639e-11, 1.0]
(1, 0);4;85;1;stop;1.0;True;False;165;[0, 1.0]
(1, 0);5;83;1;stop;1.0;True;False;114;[0, 1.0]
(1, 0);6;309;1;stop;1.0;True;False;183;[1.783247290814639e-11, 1.0]
