correct_answer_idx;id;model_guessed_its_correct;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
1;(0, 0);False;[0, 0.9992994213243986];55;389;1.0;True;0
1;(0, 0);False;[0, 0.9994515805439553];71;331;1.0;True;1
1;(0, 0);False;[0, 0.9994556292345148];92;428;1.0;True;2
1;(0, 0);False;[0, 0.9992800177971599];44;657;1.0;True;3
1;(0, 0);False;[0, 0.9978329514595302];159;378;1.0;True;4
1;(0, 0);False;[0, 0.9993304923453833];50;419;1.0;True;5
1;(0, 0);False;[4.22129705436927e-06, 0.9996322554043741];43;418;1.0;True;6
1;(0, 0);False;[0, 0.9994525331721306];50;680;1.0;True;7
1;(0, 0);False;[6.1380277541874035e-06, 0.9989936951566759];61;512;1.0;True;8
1;(0, 0);False;[0, 0.9984350890306116];61;614;1.0;True;9
1;(0, 1);True;[0.9997287532382807, 0];102;417;1.0;True;0
1;(0, 1);True;[0.8600568978525887, 0];199;613;1.0;True;1
1;(0, 1);True;[0.9997898781764606, 0];57;516;1.0;True;2
1;(0, 1);True;[0.9997262512236712, 1.892032712606596e-05];77;619;1.0;True;3
1;(0, 1);True;[0.9993473977058631, 0];81;468;1.0;True;4
1;(0, 1);True;[0.9997252980727391, 1.012731166738303e-05];74;422;1.0;True;5
1;(0, 1);True;[0.8907451012425519, 0];142;445;1.0;True;6
1;(0, 1);True;[0.9995610257465848, 0];142;476;1.0;True;7
1;(0, 1);True;[0.9996166507289067, 1.669529896828021e-05];112;617;1.0;True;8
1;(0, 1);True;[0.999348231044967, 0];132;406;1.0;True;9
1;(0, 2);False;[0, 0.9994459838790352];42;584;0.9;True;0
1;(0, 2);False;[0, 0.9954579884448633];132;328;0.9;True;1
1;(0, 2);False;[0, 0.9995249383629533];122;524;0.9;True;2
1;(0, 2);False;[8.93555703032216e-06, 0.999528034853262];104;561;0.9;True;3
1;(0, 2);False;[1.2999199889886785e-05, 0.9993778763460733];123;509;0.9;True;4
1;(0, 2);True;[0, 0];137;331;0.1;False;5
1;(0, 2);False;[3.1176412142780795e-05, 0.9991515926371669];99;483;0.9;True;6
1;(0, 2);False;[0, 0.9991850347295761];94;480;0.9;True;7
1;(0, 2);False;[0, 0.9992308576614674];104;708;0.9;True;8
1;(0, 2);False;[1.147558338890938e-05, 0.9997114775881778];74;456;0.9;True;9
1;(0, 3);False;[0, 0.9983481083528073];53;471;1.0;True;0
1;(0, 3);False;[0, 0.9991430242149413];149;503;1.0;True;1
1;(0, 3);False;[0, 0.9985540585306367];57;501;1.0;True;2
1;(0, 3);False;[5.4187641967550806e-06, 0.9993578745263385];90;406;1.0;True;3
1;(0, 3);False;[0, 0.8056258305176963];112;463;1.0;True;4
1;(0, 3);False;[0, 0.9993581126173405];94;359;1.0;True;5
1;(0, 3);False;[8.931961633910962e-06, 0.9991261257429761];130;490;1.0;True;6
1;(0, 3);False;[0, 0.9992349045272879];53;671;1.0;True;7
1;(0, 3);False;[0, 0.994085690113511];94;406;1.0;True;8
1;(0, 3);False;[0, 0.9994482463815804];56;446;1.0;True;9
1;(1, 0);False;[4.0031763717020224e-05, 0.9991634934618105];47;673;1.0;True;0
1;(1, 0);False;[0, 0.997126041328619];85;559;1.0;True;1
1;(1, 0);False;[0, 0.9994007365906931];68;755;1.0;True;2
1;(1, 0);False;[4.001317570585164e-05, 0.9986994513226523];31;404;1.0;True;3
1;(1, 0);False;[1.2993052430422479e-05, 0.9989048328843568];82;455;1.0;True;4
1;(1, 0);False;[1.8907051526803017e-05, 0.9990249851466665];73;293;1.0;True;5
1;(1, 0);False;[2.4274889028365843e-05, 0.9989321917147722];58;534;1.0;True;6
1;(1, 0);False;[0, 0.8179548544472784];176;336;1.0;True;7
1;(1, 0);False;[1.8908530140511103e-05, 0.9991033971048255];54;373;1.0;True;8
1;(1, 0);False;[1.89005794449576e-05, 0.9986824490320078];115;459;1.0;True;9
1;(1, 1);True;[0.999800840946219, 1.8921734597156776e-05];53;485;1.0;True;0
1;(1, 1);True;[0.9995574526441869, 4.004757222524921e-05];51;376;1.0;True;1
1;(1, 1);True;[0.9996838377450251, 4.0052613931600844e-05];69;443;1.0;True;2
1;(1, 1);True;[0.9995311313822538, 0];46;580;1.0;True;3
1;(1, 1);True;[0.9997324467414286, 0];63;613;1.0;True;4
1;(1, 1);True;[0.9995182690071783, 1.8916393979984318e-05];60;285;1.0;True;5
1;(1, 1);True;[0.9998620938788657, 1.669939139237714e-05];35;452;1.0;True;6
1;(1, 1);True;[0.9997827286751891, 0];76;476;1.0;True;7
1;(1, 1);True;[0.999843741040159, 2.1442054461512722e-05];34;551;1.0;True;8
1;(1, 1);True;[0.9992748992240552, 0];51;384;1.0;True;9
1;(1, 2);False;[0.0003798352495643632, 0.9992274059325037];67;511;1.0;True;0
1;(1, 2);False;[3.118902112073921e-05, 0.9995555469851003];46;347;1.0;True;1
1;(1, 2);False;[1.4729672059396907e-05, 0.9993535884908126];61;678;1.0;True;2
1;(1, 2);False;[7.48277058935142e-05, 0.999677881073919];59;393;1.0;True;3
1;(1, 2);False;[3.116918806899708e-05, 0.9989202963779209];104;529;1.0;True;4
1;(1, 2);False;[0.0001794686143468785, 0.9994896871937023];49;503;1.0;True;5
1;(1, 2);False;[0.00012332850517962228, 0.9993408497415702];50;345;1.0;True;6
1;(1, 2);False;[3.115813223570022e-05, 0.9985653508272978];111;577;1.0;True;7
1;(1, 2);False;[3.117697705862609e-05, 0.9991693250205735];87;584;1.0;True;8
1;(1, 2);False;[0.0001233022797725764, 0.999128267776336];66;850;1.0;True;9
1;(1, 3);False;[0.0001397801615935211, 0.9995603111250834];49;462;0.9;True;0
1;(1, 3);False;[0, 0.7106295411253607];99;802;0.9;True;1
1;(1, 3);False;[2.7519988747149827e-05, 0.9994020463516748];81;493;0.9;True;2
1;(1, 3);False;[0.00017933772882196215, 0.9987609261335771];68;450;0.9;True;3
1;(1, 3);False;[0.0002303972145150288, 0.9992947786873402];50;566;0.9;True;4
1;(1, 3);False;[0, 0.9383423520811518];82;488;0.9;True;5
1;(1, 3);True;[0, 0];126;825;0.1;False;6
1;(1, 3);False;[0.00015778048292725564, 0.9957032842270107];73;365;0.9;True;7
