id;iter;answer_token_len;correct_answer_idx;finish_reasons;frequency_of_answer;is_correct;model_guessed_its_correct;reasoning_token_len;yes_no_probabilities
(0, 0);0;103;0;stop;0.3;False;False;449;[1.026187963170189e-10, 1.0]
(0, 0);1;136;0;stop;0.7;True;True;182;[1.0, 1.6052280551856116e-09]
(0, 0);2;142;0;stop;0.3;False;False;549;[4.8473687062702556e-11, 1.0]
(0, 0);3;11;0;stop;0.7;True;True;317;[1.0, 2.172439935079017e-10]
(0, 0);4;121;0;stop;0.7;True;True;315;[1.0, 2.9400777392844726e-11]
(0, 0);5;10;0;stop;0.7;True;True;463;[1.0, 1.6052280551856116e-09]
(0, 0);6;9;0;stop;0.7;True;True;224;[1.0, 1.3176514270095466e-10]
(0, 0);7;217;0;stop;0.7;True;True;314;[1.0, 1.2501528663867426e-09]
(0, 0);8;296;0;stop;0.7;True;True;316;[1.0, 3.581747930283181e-10]
(0, 0);9;103;0;stop;0.3;False;False;378;[7.991959892953932e-11, 1.0]
(0, 1);0;302;0;stop;1.0;True;False;441;[4.8473687062702556e-11, 1.0]
(0, 1);1;102;0;stop;1.0;True;False;372;[0, 1.0]
(0, 1);2;151;0;stop;1.0;True;False;355;[1.0815941557285693e-11, 1.0]
(0, 1);3;127;0;stop;1.0;True;False;177;[4.8473687062702556e-11, 1.0]
(0, 1);4;142;0;stop;1.0;True;False;407;[1.783247290814639e-11, 1.0]
(0, 1);5;44;0;stop;1.0;True;False;419;[1.026187963170189e-10, 1.0]
(0, 1);6;127;0;stop;1.0;True;False;280;[0, 1.0]
(0, 1);7;172;0;stop;1.0;True;False;401;[2.289734845645553e-11, 1.0]
(0, 1);8;160;0;stop;1.0;True;False;183;[4.8473687062702556e-11, 1.0]
(0, 1);9;144;0;stop;1.0;True;False;346;[3.775134544279098e-11, 1.0]
(0, 2);0;118;0;stop;1.0;False;True;358;[1.0, 4.8473687062702556e-11]
(0, 2);1;125;0;stop;1.0;False;True;329;[1.0, 2.061153622438558e-09]
(0, 2);2;210;0;stop;1.0;False;True;240;[1.0, 3.581747930283181e-10]
(0, 2);3;215;0;stop;1.0;False;True;399;[1.0, 2.172439935079017e-10]
(0, 2);4;139;0;stop;1.0;False;True;282;[1.0, 9.736200313009565e-10]
(0, 2);5;126;0;stop;1.0;False;True;77;[1.0, 4.8473687062702556e-11]
(0, 2);6;129;0;stop;1.0;False;True;533;[1.0, 4.8473687062702556e-11]
(0, 2);7;153;0;stop;1.0;False;True;440;[1.0, 7.991959892953932e-11]
(0, 2);8;160;0;stop;1.0;False;True;415;[1.0, 2.9400777392844726e-11]
(0, 2);9;118;0;stop;1.0;False;True;188;[1.0, 1.6918979226151304e-10]
(0, 3);0;136;0;stop;1.0;True;False;387;[0, 1.0]
(0, 3);1;140;0;stop;1.0;True;False;467;[2.172439935079017e-10, 1.0]
(0, 3);2;9;0;stop;1.0;True;False;333;[5.905303998944039e-10, 1.0]
(0, 3);3;131;0;stop;1.0;True;False;401;[7.991959892953932e-11, 1.0]
(0, 3);4;219;0;stop;1.0;True;False;242;[2.9400777392844726e-11, 1.0]
(0, 3);5;85;0;stop;1.0;True;False;160;[3.775134544279098e-11, 1.0]
(0, 3);6;192;0;stop;1.0;True;False;154;[0, 1.0]
(0, 3);7;95;0;stop;1.0;True;False;229;[9.736200313009565e-10, 1.0]
(0, 3);8;216;0;stop;1.0;True;False;290;[5.109089028063325e-12, 1.0]
(0, 3);9;273;0;stop;1.0;True;False;302;[2.289734845645553e-11, 1.0]
(1, 0);0;656;0;stop;1.0;True;True;442;[1.0, 1.6918979226151304e-10]
(1, 0);1;310;0;stop;1.0;True;True;416;[1.0, 0]
(1, 0);2;757;0;stop;1.0;True;True;348;[1.0, 1.6918979226151304e-10]
(1, 0);3;553;0;stop;1.0;True;True;366;[1.0, 1.026187963170189e-10]
(1, 0);4;529;0;stop;1.0;True;True;452;[1.0, 0]
(1, 0);5;567;0;stop;1.0;True;True;367;[1.0, 0]
(1, 0);6;510;0;stop;1.0;True;True;262;[1.0, 3.775134544279098e-11]
(1, 0);7;627;0;stop;1.0;True;True;341;[1.0, 2.172439935079017e-10]
(1, 0);8;547;0;stop;1.0;True;True;329;[1.0, 2.289734845645553e-11]
(1, 0);9;653;0;stop;1.0;True;True;479;[1.0, 1.6918979226151304e-10]
(1, 1);0;662;0;stop;1.0;True;False;285;[3.775134544279098e-11, 1.0]
(1, 1);1;600;0;stop;1.0;True;False;494;[3.775134544279098e-11, 1.0]
(1, 1);2;916;0;stop;1.0;True;False;660;[0, 1.0]
(1, 1);3;874;0;stop;1.0;True;False;470;[0, 1.0]
(1, 1);4;712;0;stop;1.0;True;False;423;[0, 1.0]
(1, 1);5;525;0;stop;1.0;True;False;411;[0, 1.0]
(1, 1);6;655;0;stop;1.0;True;False;428;[0, 1.0]
(1, 1);7;668;0;stop;1.0;True;False;294;[2.9400777392844726e-11, 1.0]
(1, 1);8;536;0;stop;1.0;True;False;454;[0, 1.0]
(1, 1);9;580;0;stop;1.0;True;False;316;[3.775134544279098e-11, 1.0]
(1, 2);0;908;0;stop;1.0;True;False;385;[3.775134544279098e-11, 1.0]
(1, 2);1;758;0;stop;1.0;True;False;506;[3.775134544279098e-11, 1.0]
(1, 2);2;589;0;stop;1.0;True;False;407;[1.783247290814639e-11, 1.0]
(1, 2);3;833;0;stop;1.0;True;False;279;[0, 1.0]
(1, 2);4;760;0;stop;1.0;True;False;266;[0, 1.0]
(1, 2);5;985;0;stop;1.0;True;False;346;[0, 1.0]
(1, 2);6;799;0;stop;1.0;True;False;245;[1.783247290814639e-11, 1.0]
(1, 2);7;741;0;stop;1.0;True;False;626;[0, 1.0]
(1, 2);8;829;0;stop;1.0;True;False;334;[0, 1.0]
(1, 2);9;906;0;stop;1.0;True;False;344;[0, 1.0]
(1, 3);0;464;0;stop;1.0;True;False;314;[0, 1.0]
(1, 3);1;976;0;stop;1.0;True;False;514;[0, 1.0]
(1, 3);2;566;0;stop;1.0;True;False;298;[1.783247290814639e-11, 1.0]
(1, 3);3;616;0;stop;1.0;True;False;300;[4.8473687062702556e-11, 1.0]
(1, 3);4;507;0;stop;1.0;True;False;334;[4.8473687062702556e-11, 1.0]
(1, 3);5;595;0;stop;1.0;True;False;366;[0, 1.0]
(1, 3);6;601;0;stop;1.0;True;False;383;[3.775134544279098e-11, 1.0]
(1, 3);7;851;0;stop;1.0;True;False;289;[0, 1.0]
(1, 3);8;691;0;stop;1.0;True;False;479;[0, 1.0]
(1, 3);9;645;0;stop;1.0;True;False;315;[4.8473687062702556e-11, 1.0]
(2, 0);0;315;2;stop;0.6;True;False;1815;[0, 1.0]
