correct_answer_idx;model_guessed_its_correct;id;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
1;False;(0, 0);[4.058652126475693e-10, 0.9999997615814777];307;0;1.0;True;0
1;False;(0, 0);[0, 0.9999998807907247];337;0;1.0;True;1
1;False;(0, 0);[0, 0.9999998807907247];383;0;1.0;True;2
1;False;(0, 0);[0, 0.9999997615814777];327;0;1.0;True;3
1;False;(0, 0);[0, 0.9999998807907247];379;0;1.0;True;4
1;False;(0, 0);[0, 0.9999997615814777];366;0;1.0;True;5
1;False;(0, 0);[0, 0.9999998807907247];309;0;1.0;True;6
1;False;(0, 0);[0, 0.9999998807907247];385;0;1.0;True;7
1;False;(0, 0);[0, 0.9999998807907247];334;0;1.0;True;8
1;False;(0, 0);[0, 0.9999998807907247];353;0;1.0;True;9
1;True;(0, 1);[1.0, 0];540;0;1.0;True;0
1;True;(0, 1);[1.0, 0];386;0;1.0;True;1
1;True;(0, 1);[1.0, 0];389;0;1.0;True;2
1;True;(0, 1);[1.0, 0];477;0;1.0;True;3
1;True;(0, 1);[1.0, 0];407;0;1.0;True;4
1;True;(0, 1);[1.0, 0];450;0;1.0;True;5
1;True;(0, 1);[1.0, 0];339;0;1.0;True;6
1;True;(0, 1);[1.0, 0];448;0;1.0;True;7
1;True;(0, 1);[1.0, 0];344;0;1.0;True;8
1;True;(0, 1);[1.0, 0];342;0;1.0;True;9
1;False;(0, 2);[4.5990553786523166e-10, 1.0];411;0;1.0;True;0
1;False;(0, 2);[7.582560427911907e-10, 1.0];463;0;1.0;True;1
1;False;(0, 2);[6.691586091292782e-10, 0.9999998807907247];396;0;1.0;True;2
1;False;(0, 2);[4.5990553786523166e-10, 1.0];411;0;1.0;True;3
1;False;(0, 2);[1.4166087866431961e-09, 1.0];517;0;1.0;True;4
1;False;(0, 2);[3.850741922767617e-09, 1.0];455;0;1.0;True;5
1;False;(0, 2);[8.592166619174109e-10, 1.0];554;0;1.0;True;6
1;False;(0, 2);[2.335593038799337e-09, 1.0];532;0;1.0;True;7
1;False;(0, 2);[1.8189616875530459e-09, 1.0];481;0;1.0;True;8
1;False;(0, 2);[2.510999155743982e-08, 1.0];431;0;1.0;True;9
1;False;(0, 3);[0, 0.9999998807907247];352;0;1.0;True;0
1;False;(0, 3);[0, 0.9999998807907247];502;0;1.0;True;1
1;False;(0, 3);[0, 0.9999998807907247];366;0;1.0;True;2
1;False;(0, 3);[0, 0.9999998807907247];292;0;1.0;True;3
1;False;(0, 3);[0, 0.9999998807907247];375;0;1.0;True;4
1;False;(0, 3);[0, 0.9999998807907247];361;0;1.0;True;5
1;False;(0, 3);[0, 0.9999998807907247];441;0;1.0;True;6
1;False;(0, 3);[0, 0.9999998807907247];323;0;1.0;True;7
1;False;(0, 3);[0, 0.9999998807907247];389;0;1.0;True;8
1;False;(0, 3);[0, 0.9999998807907247];282;0;1.0;True;9
1;False;(1, 0);[5.905303998944039e-10, 0.9999998807907247];373;0;1.0;True;0
1;False;(1, 0);[0, 0.9999998807907247];360;0;1.0;True;1
1;False;(1, 0);[2.7894680928689246e-10, 0.9999998807907247];311;0;1.0;True;2
1;False;(1, 0);[3.1608814543136926e-10, 0.9999998807907247];326;0;1.0;True;3
1;False;(1, 0);[0, 0.9999998807907247];330;0;1.0;True;4
1;False;(1, 0);[4.058652126475693e-10, 0.9999998807907247];401;0;1.0;True;5
1;False;(1, 0);[0, 0.9999998807907247];317;0;1.0;True;6
1;False;(1, 0);[0, 1.0];285;0;1.0;True;7
1;False;(1, 0);[0, 0.9999998807907247];341;0;1.0;True;8
1;False;(1, 0);[0, 0.9999998807907247];336;0;1.0;True;9
1;True;(1, 1);[1.0, 0];276;0;1.0;True;0
1;True;(1, 1);[1.0, 0];297;0;1.0;True;1
1;True;(1, 1);[1.0, 0];335;0;1.0;True;2
1;True;(1, 1);[1.0, 0];322;0;1.0;True;3
1;True;(1, 1);[1.0, 0];344;0;1.0;True;4
1;True;(1, 1);[1.0, 0];319;0;1.0;True;5
1;True;(1, 1);[1.0, 0];338;0;1.0;True;6
1;True;(1, 1);[1.0, 0];283;0;1.0;True;7
1;True;(1, 1);[1.0, 0];272;0;1.0;True;8
1;True;(1, 1);[1.0, 0];289;0;1.0;True;9
1;False;(1, 2);[0, 1.0];355;0;1.0;True;0
1;False;(1, 2);[0, 0.9999998807907247];474;0;1.0;True;1
1;False;(1, 2);[0, 1.0];459;0;1.0;True;2
1;False;(1, 2);[0, 1.0];343;0;1.0;True;3
1;False;(1, 2);[0, 0.9999998807907247];409;0;1.0;True;4
1;False;(1, 2);[0, 0.9999998807907247];324;0;1.0;True;5
1;False;(1, 2);[0, 1.0];388;0;1.0;True;6
1;False;(1, 2);[0, 0.9999998807907247];377;0;1.0;True;7
1;False;(1, 2);[0, 0.9999998807907247];374;0;1.0;True;8
