correct_answer_idx;id;model_guessed_its_correct;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
1;(0, 0);False;[0.013925832580850983, 0.9762763881018307];537;0;1.0;True;0
1;(0, 0);False;[0.005194582681300579, 0.9899120782818117];301;0;1.0;True;1
1;(0, 0);False;[0.0021666026934222585, 0.9904508941802487];362;0;1.0;True;2
1;(0, 0);False;[0.0016819167765671245, 0.9872608103232782];154;0;1.0;True;3
1;(0, 0);False;[0.0051634368823746, 0.9839768147870024];347;0;1.0;True;4
1;(0, 0);False;[0.002786619720952597, 0.9921052454017337];282;0;1.0;True;5
1;(0, 0);False;[0.0009072806169921833, 0.9949539516057379];135;0;1.0;True;6
1;(0, 0);False;[0.005867018704904355, 0.9866808908066197];422;0;1.0;True;7
1;(0, 0);False;[0.0095730289558012, 0.9764756039658679];392;0;1.0;True;8
1;(0, 0);False;[0.003160381802360314, 0.9929622921893306];293;0;1.0;True;9
1;(0, 1);True;[0.9783147770647811, 0.017918456304646415];379;0;1.0;True;0
1;(0, 1);True;[0.982218313851039, 0.01587608365319447];233;0;1.0;True;1
1;(0, 1);True;[0.9581890687575888, 0.02553487623319818];262;0;1.0;True;2
1;(0, 1);True;[0.9516487885511008, 0.04181253448404422];265;0;1.0;True;3
1;(0, 1);True;[0.9834410977108161, 0.014028035630259133];402;0;1.0;True;4
1;(0, 1);True;[0.9565413025184635, 0.02888504737677389];162;0;1.0;True;5
1;(0, 1);True;[0.9854664806565228, 0.01240519017717938];307;0;1.0;True;6
1;(0, 1);True;[0.9759508604822336, 0.020255214472500418];434;0;1.0;True;7
1;(0, 1);True;[0.9829494990756101, 0.014021020530900676];383;0;1.0;True;8
1;(0, 1);True;[0.9745901129940431, 0.0229201638292449];426;0;1.0;True;9
1;(0, 2);False;[0.002460296350081921, 0.9925542527252516];402;0;0.8;True;0
1;(0, 2);False;[0.025581125903029217, 0.9599245674941292];338;0;0.8;True;1
1;(0, 2);False;[0.041674891854881393, 0.9485161949191571];595;0;0.8;True;2
1;(0, 2);False;[0.0031506105622053637, 0.9898925695669534];413;0;0.8;True;3
1;(0, 2);False;[0.012364848803098707, 0.9822617879666302];539;0;0.8;True;4
1;(0, 2);False;[0.00961955171272949, 0.9812211771415066];353;0;0.8;True;5
1;(0, 2);True;[0.9277996747634168, 0.06720957951106664];276;0;0.2;False;6
1;(0, 2);True;[0.9753169003667341, 0.022937252513905472];307;0;0.2;False;7
1;(0, 2);False;[0.0027887186291001335, 0.9928525245727118];318;0;0.8;True;8
1;(0, 2);False;[0.002783003845031479, 0.9908179986500347];465;0;0.8;True;9
1;(0, 3);False;[0.0006213198153703524, 0.9913726811923627];302;0;1.0;True;0
1;(0, 3);False;[0.0035861664037261033, 0.9943446894235315];227;0;1.0;True;1
1;(0, 3);False;[0.0006243717402699124, 0.9962426275029288];262;0;1.0;True;2
1;(0, 3);False;[0.00037833258286726936, 0.9952743321409971];316;0;1.0;True;3
1;(0, 3);False;[0.0011670636014740102, 0.9967411020402236];243;0;1.0;True;4
1;(0, 3);False;[0.005195571086371073, 0.9901007724071875];381;0;1.0;True;5
