id;confidence_per_choice
('abstract_algebra', 0);[1.3176514270095466e-10, 0.9999997615814777, 1.8553913626159784e-07, 1.522997974471263e-08]
('abstract_algebra', 1);[1.4421965329409803e-07, 1.1838270042185199e-08, 0.9980731256145193, 0.0019267342527389902]
('abstract_algebra', 2);[0.7309734388672109, 6.078252986323392e-07, 0.00011583099903511731, 0.26891011622992844]
('abstract_algebra', 3);[1.52006106308873e-08, 6.463464110869851e-07, 0.22269998769350194, 0.7772993105075282]
('abstract_algebra', 4);[0.0002611220557178914, 0.9994770640530611, 0.0002611220557178914, 6.472568639863175e-07]
('abstract_algebra', 5);[6.5049260029109575e-09, 0.9041980637479268, 0.0005000977122483892, 0.09530177760958491]
('abstract_algebra', 6);[0.9999998807907247, 5.3157852544244216e-08, 1.1253517471925912e-07, 3.398267819495071e-09]
('abstract_algebra', 7);[2.902312105056987e-06, 8.152005165739432e-09, 0.9999971389852362, 2.5109943663977427e-08]
('abstract_algebra', 8);[2.4616969518153846e-10, 1.0, 2.335593038799337e-09, 1.522997974471263e-08]
('abstract_algebra', 9);[8.50716661249451e-08, 0.9706674401268333, 2.0816350365049438e-05, 0.029311617847818924]
('abstract_algebra', 10);[0.9999921322487634, 1.9555531890413292e-08, 7.88926463665814e-06, 1.1861029658523816e-08]
('abstract_algebra', 11);[0.0005189096448754485, 0.7306792085052329, 0.2688018508895773, 3.3604372485578365e-10]
('abstract_algebra', 12);[0.0002617326316548374, 0.02356040943482325, 0.6076310041299632, 0.3685468337967964]
('abstract_algebra', 13);[8.464337200911403e-05, 0.880677290324035, 5.133880026498978e-05, 0.11918671407809668]
('abstract_algebra', 14);[0.014017450798327903, 0.00015571981239360653, 0.003127716041503641, 0.9826990492889043]
('abstract_algebra', 15);[0.9999957084838798, 1.5229921647061352e-08, 2.902309337197794e-06, 1.3709538566001813e-06]
('abstract_algebra', 16);[1.026187963170189e-10, 2.382369667501818e-07, 2.382369667501818e-07, 0.9999995231630692]
('abstract_algebra', 17);[0.000709428085482679, 0.00033511025895009645, 6.1377584908401685e-06, 0.9989493215277959]
('abstract_algebra', 18);[4.222823086577989e-06, 1.994720384242016e-06, 5.714969584801392e-07, 0.9999930859092101]
('abstract_algebra', 19);[0.8175744308728488, 3.086451084937821e-11, 0.18242550282051248, 2.6360105941994932e-08]
('abstract_algebra', 20);[1.0674566059232278e-06, 2.7530068713613242e-05, 0.0002034212221323038, 0.9997679533758232]
