correct_answer_idx;model_guessed_its_correct;id;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
0;True;(0, 0);[0, 0];4096;0;1.0;True;0
0;True;(0, 0);[0, 0];4096;0;1.0;True;1
0;True;(0, 0);[0, 0];4096;0;1.0;True;2
0;True;(0, 0);[0, 0];4096;0;1.0;True;3
0;True;(0, 0);[1.0, 2.061153622438558e-09];4096;0;1.0;True;4
0;True;(0, 0);[0, 0];30;4064;1.0;True;5
0;True;(0, 0);[0, 0];4096;0;1.0;True;6
0;True;(0, 0);[0, 0];4096;0;1.0;True;7
0;True;(0, 0);[0, 0];4096;0;1.0;True;8
0;True;(0, 0);[0.9999998807907247, 1.1253517471925912e-07];4096;0;1.0;True;9
0;True;(0, 1);[0, 0];4096;0;0.3;False;0
0;False;(0, 1);[1.6918979226151304e-10, 1.0];4096;0;0.7;True;1
0;False;(0, 1);[5.4927883509546835e-11, 1.0];4096;0;0.7;True;2
0;False;(0, 1);[2.646573638909117e-09, 1.0];4096;0;0.7;True;3
0;False;(0, 1);[1.6918979226151304e-10, 1.0];4096;0;0.7;True;4
0;False;(0, 1);[3.331544542166412e-11, 1.0];4096;0;0.7;True;5
0;True;(0, 1);[0, 0];4096;0;0.3;False;6
0;True;(0, 1);[0, 0];4096;0;0.3;False;7
0;False;(0, 1);[7.991959892953932e-11, 1.0];4096;0;0.7;True;8
0;False;(0, 1);[5.789356328730652e-12, 1.0];561;3391;0.7;True;9
0;True;(0, 2);[1.0, 5.905303998944039e-10];4096;0;1.0;False;0
0;True;(0, 2);[0, 0];128;3966;1.0;False;1
0;True;(0, 2);[0, 0];475;3619;1.0;False;2
0;True;(0, 2);[0, 0];255;3839;1.0;False;3
0;True;(0, 2);[0, 0];479;3615;1.0;False;4
0;True;(0, 2);[0, 0];4096;0;1.0;False;5
0;True;(0, 2);[0, 0];247;3847;1.0;False;6
0;True;(0, 2);[0, 0];4096;0;1.0;False;7
0;True;(0, 2);[0, 0];251;3843;1.0;False;8
0;True;(0, 2);[1.0, 7.194133030325383e-09];4096;0;1.0;False;9
0;True;(0, 3);[0, 0];4096;0;1.0;False;0
0;True;(0, 3);[0, 0];4096;0;1.0;False;1
0;True;(0, 3);[0, 0];4096;0;1.0;False;2
0;True;(0, 3);[0, 0];4096;0;1.0;False;3
0;True;(0, 3);[0, 0];4096;0;1.0;False;4
0;True;(0, 3);[0, 0];4096;0;1.0;False;5
0;True;(0, 3);[1.0, 1.186112015134383e-08];4096;0;1.0;False;6
0;True;(0, 3);[0, 0];4096;0;1.0;False;7
0;True;(0, 3);[0, 0];4096;0;1.0;False;8
0;True;(0, 3);[0, 0];4096;0;1.0;False;9
0;True;(1, 0);[1.0, 9.736200313009565e-10];4096;0;1.0;True;0
0;True;(1, 0);[0, 0];168;3926;1.0;True;1
0;True;(1, 0);[1.0, 2.7894680928689246e-10];950;3144;1.0;True;2
0;True;(1, 0);[1.0, 7.582560427911907e-10];4096;0;1.0;True;3
0;True;(1, 0);[1.0, 3.1608814543136926e-10];4096;0;1.0;True;4
0;True;(1, 0);[0, 0];4096;0;1.0;True;5
0;True;(1, 0);[0, 0];4096;0;1.0;True;6
0;True;(1, 0);[1.0, 9.736200313009565e-10];964;1436;1.0;True;7
0;True;(1, 0);[1.0, 5.905303998944039e-10];4096;0;1.0;True;8
0;True;(1, 0);[1.0, 4.058652126475693e-10];1342;2228;1.0;True;9
0;False;(1, 1);[3.775134544279098e-11, 1.0];4096;0;0.1;True;0
0;True;(1, 1);[0, 0];4096;0;0.9;False;1
0;True;(1, 1);[0, 0];4096;0;0.9;False;2
0;True;(1, 1);[0, 0];4096;0;0.9;False;3
