id;amount_answer_tokens;confidence_per_choice;finish_reason
('abstract_algebra', 50);943;[0.013180244018076447, 0.013387802659974524, 0.005081436733570017, 0.9683504655841402];stop
('abstract_algebra', 51);920;[0.18091341997714752, 0.785852086068788, 0.015321674424011368, 0.01791285219531521];stop
('abstract_algebra', 52);1834;[0.9834332576304051, 0.007746954248924195, 0.003895413229455239, 0.004924263724977274];stop
('abstract_algebra', 53);2423;[0.12618037493842563, 0.013721475935374422, 0.8227993402055781, 0.037298847587503556];stop
('abstract_algebra', 54);263;[0.17263776396328098, 0.798268909176994, 0.006799305197998523, 0.022294063453926427];stop
('abstract_algebra', 55);557;[0.958276415627864, 0.014779795078184487, 0.014102978985262239, 0.012840908492406149];stop
('abstract_algebra', 56);1052;[0.08441910856051296, 0.02534721293807131, 0.010566290378585625, 0.8796673375787903];stop
('abstract_algebra', 57);605;[0.5746305110511206, 0.23954163540566356, 0.04500853978528041, 0.14081926290511976];stop
('abstract_algebra', 58);932;[0.9746963328946624, 0.01575449558585872, 0.005035439234268046, 0.004513738557461214];stop
('abstract_algebra', 59);833;[0.915555215599771, 0.04349541931962733, 0.023648049301094945, 0.017301286587729444];stop
('abstract_algebra', 60);595;[0.049609132867780896, 0.016878653360454673, 0.011968757449116178, 0.9215434270483941];stop
('abstract_algebra', 61);680;[0.022203372411075832, 0.002340217676834245, 0.0013757430007156847, 0.9740806272329193];stop
('abstract_algebra', 62);561;[0.9854597652306081, 0.004857909843224013, 0.0034447739035536403, 0.006237679710677194];stop
('abstract_algebra', 63);1546;[0.11681201114397559, 0.6722067519853766, 0.035625650577396785, 0.17535559790270308];stop
('abstract_algebra', 64);430;[0.5275096512453954, 0.4373208610036206, 0.008072630770019658, 0.027096841231875404];stop
('abstract_algebra', 65);384;[0.048846943440998644, 0.016881051944859633, 0.813374681176446, 0.12089734610651114];stop
('abstract_algebra', 66);434;[0.18281625428948184, 0.03544055169778405, 0.012058040426221746, 0.7696852024763275];stop
('abstract_algebra', 67);879;[0.3943445301908852, 0.04424423008112313, 0.5063483996968831, 0.05506283398858727];stop
('abstract_algebra', 68);2348;[0.9047422308095223, 0.030006078966077467, 0.04647432424586914, 0.01877732440790394];stop
('abstract_algebra', 69);2357;[0.9766033831419257, 0.012683865984587971, 0.004814252508401345, 0.005898545475337901];stop
('abstract_algebra', 70);2197;[0.14827011910680202, 0.030122901792384162, 0.02006617856484535, 0.8015407387915188];stop
('abstract_algebra', 71);459;[0.2101159188029689, 0.1741922148808899, 0.5535817140199012, 0.06211015436606202];stop
('abstract_algebra', 72);359;[0.05110113969977787, 0.009452760358523634, 0.00490402747056607, 0.9345421180040456];stop
('abstract_algebra', 73);507;[0.05879631478434759, 0.9197290809083369, 0.002973393641656194, 0.018501081303330995];stop
('abstract_algebra', 74);660;[0.044145352234588826, 0.005525440030585381, 0.006459893862960759, 0.9438692773385776];stop
('abstract_algebra', 75);1371;[0.28500894355168416, 0.622516802700183, 0.0133300456749069, 0.07914412525643753];stop
('abstract_algebra', 76);430;[0.44854698688520384, 0.034051988848146385, 0.29879670941387965, 0.21860434248502253];stop
('abstract_algebra', 77);597;[0.9873846856747057, 0.01131703926622363, 0.0005634422076692767, 0.0007348671750226248];stop
('abstract_algebra', 78);504;[0.03923815067647407, 0.007035012764948755, 0.0030733694641317056, 0.9506534646346466];stop
('abstract_algebra', 79);438;[0.2635871666667869, 0.047258574887152426, 0.5242056436061794, 0.1649486340370555];stop
('abstract_algebra', 80);516;[0.1198037180302211, 0.7571827449475805, 0.010468332216071448, 0.11254517769121204];stop
('abstract_algebra', 81);675;[0.0647425041682394, 0.006213147986952012, 0.006931267450148617, 0.9221130375100727];stop
('abstract_algebra', 82);201;[0.9939552986271393, 0.0023879668046074515, 0.0008648642632305507, 0.00279181604010702];stop
('abstract_algebra', 83);769;[0.0927014652389419, 0.026559414466925023, 0.8524667616132304, 0.02827234953214452];stop
('abstract_algebra', 84);2156;[0.00827977807386941, 0.0029987368960711683, 0.0013306814312724676, 0.9873908449982082];stop
('abstract_algebra', 85);449;[0.48625721821518186, 0.03929560497311498, 0.3786975023201066, 0.09574971771175472];stop
('abstract_algebra', 86);633;[0.9151821396073224, 0.023638415692329856, 0.034393691887516106, 0.026785834174714168];stop
('abstract_algebra', 87);965;[0.9905482004896722, 0.004587148504346962, 0.0015606986758605315, 0.0033039991227241244];stop
('abstract_algebra', 88);1585;[0.9945797672646733, 0.00393956491305249, 0.0007518791212683426, 0.000728746232642147];stop
('abstract_algebra', 89);640;[0.2857777277535457, 0.02874142472119315, 0.6644531441849506, 0.021027675524218283];stop
('abstract_algebra', 90);302;[0.054365996126966736, 0.009447393536594637, 0.00217491348606562, 0.9340116483143623];stop
('abstract_algebra', 91);649;[0.29464012019483454, 0.5335243331339847, 0.0667784003416001, 0.10505717019961341];stop
