id;amount_answer_tokens;confidence_per_choice
('astronomy', 65);2;[3.462267029058837e-07, 1.0664533238360404e-06, 0.9988290685399853, 0.0011695086344998855]
('astronomy', 66);2;[0.010986501518194386, 0.9889731820650168, 3.4967609379073934e-05, 5.362456576974292e-06]
('astronomy', 67);2;[1.0261840485812384e-10, 0.9999952316511552, 4.78509457496562e-06, 3.5817342670252053e-10]
('astronomy', 68);2;[2.998937944689272e-09, 0.9999921322487634, 7.88926463665814e-06, 1.3440307409336009e-08]
('astronomy', 69);2;[6.560200168153779e-12, 2.4616969518153846e-10, 1.0, 1.57371021068629e-11]
('astronomy', 70);2;[7.835041785064389e-13, 1.0, 7.991959892953932e-11, 2.646573638909117e-09]
('astronomy', 71);2;[3.97896253583724e-12, 1.8795288165390832e-12, 1.006039279283317e-12, 1.0]
('astronomy', 72);2;[1.8189616875530459e-09, 8.764248219443636e-08, 0.9999998807907247, 8.152020714470167e-09]
('astronomy', 73);2;[2.543665647376923e-13, 2.2447770550209742e-13, 9.862862046580453e-15, 1.0]
('astronomy', 74);2;[0.014063626520379485, 5.9388574892958584e-08, 0.9859362646794895, 1.0320186855051511e-08]
('astronomy', 75);2;[1.2501409440567903e-09, 7.889257112872668e-06, 0.999991059383269, 1.067694845897084e-06]
('astronomy', 76);2;[0.9999996423722521, 5.602796437537268e-09, 3.059023205018258e-07, 1.026187963170189e-10]
('astronomy', 77);2;[0.006635819586047849, 7.226989480966275e-07, 0.008520561009039767, 0.9848428782924242]
('astronomy', 78);2;[6.224144622907783e-11, 1.0, 5.3157852544244216e-08, 7.05287985111216e-11]
('astronomy', 79);2;[1.783247290814639e-11, 9.237449661970594e-09, 1.0, 1.186112015134383e-08]
('astronomy', 80);2;[2.646573638909117e-09, 1.9555681087850496e-08, 1.0, 4.139937718785167e-08]
('astronomy', 81);2;[3.1608814543136926e-10, 7.05287985111216e-11, 1.0, 1.8189616875530459e-09]
('astronomy', 82);2;[1.0, 1.2015425731771786e-13, 1.026187963170189e-10, 2.129785170955785e-12]
('astronomy', 83);2;[0.9999991655356624, 1.4166087866431961e-09, 8.315279260963632e-07, 9.237449661970594e-09]
('astronomy', 84);2;[1.0, 7.05287985111216e-11, 4.5990553786523166e-10, 1.522997974471263e-08]
('astronomy', 85);2;[1.0, 4.8473687062702556e-11, 1.2501528663867426e-09, 2.7894680928689246e-10]
('astronomy', 86);2;[7.287724095819692e-14, 2.129785170955785e-12, 1.0, 4.363462252943702e-09]
('astronomy', 87);2;[1.955556918966588e-08, 0.9999938011552557, 2.8453185278936072e-08, 6.144177195963701e-06]
('astronomy', 88);2;[0.010405536177248929, 0.07688710888445778, 0.3445841155373672, 0.5681231608318478]
('astronomy', 89);2;[5.789356328730652e-12, 1.3176514270095466e-10, 7.991959892953932e-11, 1.0]
('astronomy', 90);2;[2.3987456563094527e-05, 0.22025272836603565, 0.7687575593141486, 0.010965738952586256]
('astronomy', 91);2;[2.691884127770456e-05, 0.013944305007062499, 0.008457648515167795, 0.9775711012760392]
('astronomy', 92);2;[1.0, 2.7894680928689246e-10, 2.061153622438558e-09, 2.172439935079017e-10]
('astronomy', 93);2;[0.0003441495090211485, 1.334411822499817e-05, 0.37740567306893036, 0.6222367794157448]
('astronomy', 94);2;[9.610239492660866e-05, 7.581837333079034e-10, 1.605074976008291e-09, 0.9999039265409296]
('astronomy', 95);2;[1.6052280551856116e-09, 1.0, 9.237449661970594e-09, 5.211412487888539e-10]
('astronomy', 96);2;[2.8823507934443873e-13, 1.463778514125909e-12, 6.914400106940203e-13, 1.0]
('astronomy', 97);2;[1.493094676197164e-10, 8.592166619174109e-10, 1.0, 4.058652126475693e-10]
('astronomy', 98);2;[1.6052280551856116e-09, 1.4166087866431961e-09, 1.0, 3.398267819495071e-09]
('astronomy', 99);2;[2.9400777392844726e-11, 9.056076989672867e-11, 1.0, 4.363462252943702e-09]
('astronomy', 100);2;[0.9989957177002416, 0.0005525289676050778, 0.0004303099926404695, 2.142386280726979e-05]
('astronomy', 101);2;[0.9398983707814402, 1.7438800464880175e-07, 1.5697907911707196e-05, 0.06008568901434023]
('astronomy', 102);2;[1.522997974471263e-08, 5.602796437537268e-09, 0.9999998807907247, 1.4449802461092448e-07]
('astronomy', 103);2;[1.2917800047859961e-12, 1.2917800047859961e-12, 4.752193062771153e-13, 1.0]
('astronomy', 104);2;[1.0018684008870138e-05, 7.257510354054931e-07, 0.9890024489587275, 0.010986826326869745]
('astronomy', 105);2;[1.0, 4.5990553786523166e-10, 5.4927883509546835e-11, 1.9555681087850496e-08]
('astronomy', 106);2;[2.789462772385846e-10, 0.999998927117538, 1.0677029917933763e-06, 2.3355885840133965e-09]
('astronomy', 107);2;[5.353624416736247e-05, 0.7152299386101714, 0.02159807269133267, 0.2631183901249949]
('astronomy', 108);2;[1.7603429545652396e-06, 3.466320801173418e-07, 2.3823651234966232e-07, 0.9999976158197796]
('astronomy', 109);2;[1.57371021068629e-11, 1.0, 1.2501528663867426e-09, 2.7894680928689246e-10]
