id;amount_answer_tokens;confidence_per_choice;finish_reason
('clinical_knowledge', 113);2;[0.026957044921747147, 0.4216791806644873, 0.009916942621445808, 0.5414467856612637];stop
('clinical_knowledge', 114);2;[0.988704621045735, 0.006661839098592836, 0.003146829969917607, 0.001486457224952091];stop
('clinical_knowledge', 115);2;[0.9806059142676535, 0.010893547301163027, 0.006607270431185188, 0.001893014672687053];stop
('clinical_knowledge', 116);2;[0.0016980327036423175, 0.0010299088959538016, 0.0005512705068926478, 0.9967206133214129];stop
('clinical_knowledge', 117);2;[0.31920823149029476, 0.003129407759180062, 0.6757638515071884, 0.0018980817526853167];stop
('clinical_knowledge', 118);2;[0.004233622112367333, 0.8067854357753363, 0.00896257808221343, 0.18001817153741073];stop
('clinical_knowledge', 119);2;[0.0008023780788455697, 0.0014990396021354686, 0.0006248926761242591, 0.9970735372987493];stop
('clinical_knowledge', 120);2;[0.0007077359920322423, 0.9965663245444397, 0.0019238258864876798, 0.000801969944551051];stop
('clinical_knowledge', 121);2;[0.9119858312637359, 0.01670360589500279, 0.013008781351144307, 0.05830129929972649];stop
('clinical_knowledge', 122);2;[0.008034972348408663, 0.017010036595063522, 0.9287165370060295, 0.046238073377784544];stop
('clinical_knowledge', 123);2;[0.01805319809232818, 0.13339612527343156, 0.08090883986520354, 0.7676416308347718];stop
('clinical_knowledge', 124);2;[0.07161887327673583, 0.012445491067539437, 0.04343904245641408, 0.87249641315896];stop
('clinical_knowledge', 125);2;[0.0024478256889159306, 0.0014846813299597107, 0.008543751154401898, 0.9875235887673862];stop
('clinical_knowledge', 126);2;[0.9983302862934458, 0.0009103591971074957, 0.000379494173539136, 0.000379494173539136];stop
('clinical_knowledge', 127);2;[0.10073626025174869, 0.35160413844521127, 0.27382957835227717, 0.27382957835227717];stop
('clinical_knowledge', 128);2;[0.08078651700318172, 0.10373194115776173, 0.04899949945382569, 0.7664812009944312];stop
('clinical_knowledge', 129);2;[0.166602481203615, 0.166602481203615, 0.21392182034868337, 0.4528724972319763];stop
('clinical_knowledge', 130);2;[0.9673275041368399, 0.005076067741402592, 0.013798182701481816, 0.013798182701481816];stop
('clinical_knowledge', 131);2;[0.0005093697270730022, 0.9209620849113013, 0.0029312203944906073, 0.0755971703461215];stop
('clinical_knowledge', 132);2;[0.0050582530407601925, 0.022669517367779238, 0.008339649380884932, 0.9639323745788365];stop
('clinical_knowledge', 133);2;[0.0002609448098177471, 0.9987994557390201, 0.0007093218729892289, 0.00023028298640968812];stop
('clinical_knowledge', 134);2;[0.00748389152363375, 0.6736783656130775, 0.24783242067102954, 0.07100518580419975];stop
('clinical_knowledge', 135);2;[0.028359011850683798, 0.010432697431803865, 0.9391215085313062, 0.02208602063644379];stop
('clinical_knowledge', 136);2;[0.6895965380765369, 0.2536883966218609, 0.04408443308860135, 0.012630398535424341];stop
('clinical_knowledge', 137);2;[0.04683762084143314, 0.03647717578850968, 0.5705990330344783, 0.34608580793779287];stop
('clinical_knowledge', 138);2;[0.3089599877513856, 0.032564147011587746, 0.6540683186950897, 0.004407078059171923];stop
('clinical_knowledge', 139);2;[0.29670696253523376, 0.6281286446161862, 0.0662042799598056, 0.008959774979836292];stop
('clinical_knowledge', 140);2;[0.11567489024184374, 0.0201012818355226, 0.009495170942495954, 0.8547282277617425];stop
('clinical_knowledge', 141);2;[0.0068624393220332305, 0.08360162559636387, 0.29179834513263025, 0.6177371014933292];stop
('clinical_knowledge', 142);2;[0.0005504774845910054, 0.0024670689261586994, 0.001695590022987231, 0.9952867311830518];stop
('clinical_knowledge', 143);2;[0.0014827703845506626, 0.001308540271610129, 0.010956273553277818, 0.9862522543875889];stop
('clinical_knowledge', 144);2;[0.0014873200825040497, 0.005191257175459574, 0.004042955153372966, 0.9892784053466342];stop
('clinical_knowledge', 145);2;[0.0002607726580258671, 0.001168702528598194, 0.0004299416331163552, 0.9981404615022735];stop
('clinical_knowledge', 146);2;[0.00687637039085488, 0.900626970281379, 0.03492109862545658, 0.057575158100007275];stop
('clinical_knowledge', 147);2;[0.20718356619992798, 0.01031506237509368, 0.05935908554688011, 0.7231416580851449];stop
('clinical_knowledge', 148);2;[0.012773798580494414, 0.423010037582279, 0.543155639769683, 0.02106042840610223];stop
('clinical_knowledge', 149);2;[0.0008989482513700227, 0.9858162278810549, 0.006642379059408709, 0.006642379059408709];stop
('clinical_knowledge', 150);2;[0.001916043264399714, 0.004056263622564798, 0.0014922159947131882, 0.9925351102171772];stop
('clinical_knowledge', 151);2;[0.9836139543900194, 0.00662753770466067, 0.00662753770466067, 0.003130627138711658];stop
('clinical_knowledge', 152);2;[0.9976218409569816, 0.0011680952503652072, 0.0010308404403710728, 0.0001791331229741251];stop
('clinical_knowledge', 153);2;[0.02734886949360449, 0.007835582298621004, 0.2594788182460763, 0.7053365565083367];stop
('clinical_knowledge', 154);2;[0.0011605020686002077, 0.9911370086172812, 0.00667822830947694, 0.0010241394809826988];stop
('clinical_knowledge', 155);2;[0.030701405721247316, 0.48025078802458043, 0.008796097912334825, 0.48025078802458043];stop
('clinical_knowledge', 156);2;[0.05189829241123761, 0.38347934835103814, 0.38347934835103814, 0.1811428178279506];stop
('clinical_knowledge', 157);2;[0.0009099738040408825, 0.0008030490634992004, 0.0003793335178070175, 0.9979074963016648];stop
('clinical_knowledge', 158);2;[0.4204947217947983, 0.026881325008547133, 0.5399259103675619, 0.012697838827398238];stop
('clinical_knowledge', 159);2;[0.8994278188918691, 0.004719763395401026, 0.09479900454887817, 0.001053121562278528];stop
('clinical_knowledge', 160);2;[0.002297495090541234, 0.7218514349617406, 0.2655542945883941, 0.01029665863643401];stop
('clinical_knowledge', 161);2;[0.04617789939278749, 0.26573543173992437, 0.12552454479582423, 0.5625619134079962];stop
('clinical_knowledge', 162);2;[0.872104007908117, 0.09191909027991299, 0.002161729804518551, 0.03381514356516175];stop
('clinical_knowledge', 163);2;[0.0031650614457094453, 0.0009068052865530042, 0.001495069164323263, 0.9944329779328255];stop
('clinical_knowledge', 164);2;[0.385949809926374, 0.385949809926374, 0.08611705316408, 0.14198300039593886];stop
('clinical_knowledge', 165);2;[0.0031618589952077726, 0.0014935564338194641, 0.0019177644222816946, 0.9934266639684591];stop
('clinical_knowledge', 166);2;[0.003163122693448188, 0.0024634424306083803, 0.9938236464931056, 0.0005496683040580851];stop
('clinical_knowledge', 167);2;[0.004060666263307924, 0.001163400362886064, 0.001163400362886064, 0.9936124634878548];stop
('clinical_knowledge', 168);2;[0.14669434405792528, 0.005687957662297481, 0.8441676522915638, 0.0034499207133308193];stop
('clinical_knowledge', 169);2;[0.9985748603328093, 0.0009105823483024628, 0.0003349846851671969, 0.00017930438111457802];stop
('clinical_knowledge', 170);2;[0.27600426179673765, 0.16740504699107367, 0.4550541243515068, 0.10153629359072032];stop
('clinical_knowledge', 171);2;[0.0219991338828915, 0.006302858886936435, 0.9354269827342631, 0.03627043996970312];stop
('clinical_knowledge', 172);2;[0.017647647913374954, 0.7503972182143201, 0.13039949153576175, 0.10155522612016428];stop
('clinical_knowledge', 173);2;[0.9969474559467659, 0.0008022766952752381, 0.0016984197772256407, 0.000551396171286523];stop
('clinical_knowledge', 174);2;[0.9926153256959508, 0.005208767805832396, 0.0019161985896014218, 0.00025932927886130615];stop
('clinical_knowledge', 175);2;[0.01789634052286401, 0.0031099176659900797, 0.0018862604136049364, 0.9771073178720787];stop
('clinical_knowledge', 176);2;[0.05481050295643953, 0.020163657197940662, 0.5200276041047059, 0.4049979052954915];stop
('clinical_knowledge', 177);2;[0.002462839903270191, 0.002462839903270191, 0.9935804525504944, 0.001493787911297067];stop
('clinical_knowledge', 178);2;[0.0031672399980086524, 0.001165162480523263, 0.0005503837843079435, 0.995117067315676];stop
('clinical_knowledge', 179);2;[0.0012520657267801887, 0.11270733805292893, 0.8328009180924341, 0.05323917674467823];stop
('clinical_knowledge', 180);2;[0.9963791820568212, 0.0014979956462560647, 0.0014979956462560647, 0.0006244574905679155];stop
('clinical_knowledge', 181);2;[0.03168714453914987, 0.8172221434269863, 0.009078518909268616, 0.14201191242219027];stop
('clinical_knowledge', 182);2;[0.0002952690574797338, 0.9973803423631419, 0.0006250848976534404, 0.0016991569185355292];stop
('clinical_knowledge', 183);2;[0.013551383002942478, 0.0607330995721499, 0.34949485732001634, 0.5762196052638173];stop
('clinical_knowledge', 184);2;[0.0005455361457362162, 0.00853362110727046, 0.9863526811813483, 0.004567718224317394];stop
('clinical_knowledge', 185);2;[0.000577818824566829, 0.0017798072790527588, 0.0756793132135545, 0.9219628448658966];stop
('clinical_knowledge', 186);2;[0.11960088960631775, 0.11960088960631775, 0.6882555378463391, 0.07254160647513774];stop
('clinical_knowledge', 187);2;[0.02479907892285502, 0.08655729046992741, 0.06741088559851852, 0.8212326332657022];stop
('clinical_knowledge', 188);2;[0.0006240446277008183, 0.0031691601173657923, 0.00048600644472490066, 0.9957206582001756];stop
('clinical_knowledge', 189);2;[0.07441387805216602, 0.9065465591743513, 0.012931189953529114, 0.00610826162118779];stop
