confidence_per_choice;id
[0.00011665722787326891, 0.010501143991286087, 0.01348373578910909, 0.0030086281260230264];('abstract_algebra', 0)
[0.0021436443388841656, 0.0006141643858525044, 0.020338331214438378, 0.009607147404269233];('abstract_algebra', 1)
[0.0029111247645123356, 0.0010709429515491447, 0.021510459067474227, 0.0354647514070692];('abstract_algebra', 2)
[0.05011710337917726, 0.05011710337917726, 0.13623241141062095, 0.1749258788278984];('abstract_algebra', 3)
[0.0007372749370455619, 0.06636735898940098, 0.01901456670540564, 0.0003482640204345607];('abstract_algebra', 4)
[0.15771776404348417, 0.15771776404348417, 0.26003263234575624, 0.12283071814133655];('abstract_algebra', 5)
[0.624591931186246, 0.0032775572601647634, 0.03109659747298229, 0.13936529763300415];('abstract_algebra', 6)
[0.08320164964674859, 0.06479750989772047, 0.47879243570527064, 0.1371763295299342];('abstract_algebra', 7)
[1.7512072435364854e-06, 0.001920431014809125, 0.0007064870885362868, 0.0003337210296984713];('abstract_algebra', 8)
[0.0011585530759997463, 0.0040437475696614685, 0.014114065851521342, 0.029879477642143066];('abstract_algebra', 9)
[0.7662950994798101, 0.0011520778456024017, 0.0014792972357563392, 0.10370676742163087];('abstract_algebra', 10)
[0.06206533127334085, 0.010785337366926677, 0.7561105459403853, 0.13139230733673374];('abstract_algebra', 11)
[0.00011030936639756193, 0.00011030936639756193, 0.0013438431899473247, 0.00365294452353225];('abstract_algebra', 12)
[0.0020581448107788287, 0.6466499348771823, 0.18526831375306818, 0.14428710782920823];('abstract_algebra', 13)
[0, 0, 0.000813570441097223, 0.020982258222478078];('abstract_algebra', 14)
[0.3151786554916196, 0.05476983785618803, 0.11594774765142356, 0.14887985499212422];('abstract_algebra', 15)
[0.02715458102792415, 0.057486248487225645, 0.5454143723792908, 0.2576354915399373];('abstract_algebra', 16)
[0.026277821627031253, 0.05563014882097007, 0.19416827501316353, 0.5278040936315209];('abstract_algebra', 17)
[3.053628219366033e-05, 5.034581798078936e-05, 0.0016672237216694866, 0.8636433981089617];('abstract_algebra', 18)
[0.7060364292758324, 0.001362971188941192, 0.004757236890544282, 0.05795499587114208];('abstract_algebra', 19)
[0.44285292685206157, 0.002983919727374534, 0.013373000428940589, 0.09881385038046565];('abstract_algebra', 20)
[0.0006242196220202639, 0.0013214729501868562, 0.00017884191600306035, 0.00022963756571706365];('abstract_algebra', 21)
[0.09299218244525154, 0.009801303920044925, 0.043926396653526975, 0.19686445178144638];('abstract_algebra', 22)
[0.012720619235847004, 0.0046796542958380954, 0.007715445577071499, 0.8917842701228847];('abstract_algebra', 23)
[0.7309115947029611, 0.00051907471053574, 0.00040425579103779707, 0.20940968420402428];('abstract_algebra', 24)
[0.009911841594506168, 0.001044700418040983, 0.8922353933461727, 0.034595718256598976];('abstract_algebra', 25)
[0.24458278068275047, 0.007385758245871654, 0.5177817199063605, 0.012177056720217462];('abstract_algebra', 26)
[0.055396583745652046, 0.5255881841429553, 0.0058387583622364105, 0.31878532906430485];('abstract_algebra', 27)
[0.16621935534471008, 0.12945176410408432, 0.21342987700805915, 0.21342987700805915];('abstract_algebra', 28)
[0.6624652060324047, 0.00013479074311725106, 0.00013479074311725106, 0.015579691604095409];('abstract_algebra', 29)
[0.73643319462128, 0.003009633966726928, 0.008181033322066922, 0.09966538903839416];('abstract_algebra', 30)
[0.0004849260890175195, 0.8767668453660584, 5.387039675457702e-06, 5.387039675457702e-06];('abstract_algebra', 31)
[0.5439024519698838, 0.00038626556839445347, 0.0004959748074098155, 0.016424429907501415];('abstract_algebra', 32)
[0.021982906588794173, 0.0018044668570904655, 0.44153845565046723, 0.00019018931679556459];('abstract_algebra', 33)
[0.018641066457421248, 0.08354346380167033, 0.05067167221430561, 0.29159534052212827];('abstract_algebra', 34)
[1.438575569242478e-07, 0.0024677654474241496, 4.519870079711626e-05, 0.0004288333333096466];('abstract_algebra', 35)
[0.0025224818595408088, 0, 0.01451588085908945, 0.011304979380030082];('abstract_algebra', 36)
[0.01288631118194254, 0.7035687512854831, 0.0013582072060396254, 0.258828479048593];('abstract_algebra', 37)
[2.7320204837602815e-05, 0.000548741244674875, 0.0002592068864943798, 2.7320204837602815e-05];('abstract_algebra', 38)
[0.008202661813293715, 0.036761771031627595, 0.44785008027151124, 0.3487859724247799];('abstract_algebra', 39)
[0.016039200582947197, 0.02644417116613094, 0.25089528052664944, 0.0001781793387895846];('abstract_algebra', 40)
[5.9967813839511086e-05, 0.00034509077744291906, 0.00012695186289447073, 4.670298037729146e-05];('abstract_algebra', 41)
[0.5692527933819338, 0.0283414243641426, 0.09892129093382257, 0.20941639951462832];('abstract_algebra', 42)
[0.006458418559400643, 0.0018503678973991627, 0.7464915103879669, 0.005029821431464116];('abstract_algebra', 43)
[0.0928898749620088, 0.000803654694021054, 0.016141836030252966, 0.02661339475635879];('abstract_algebra', 44)
[0.000556820818928446, 0.10611129096217263, 0.7840622232322564, 0.0009180423281359933];('abstract_algebra', 45)
[0.5822910701041247, 0.005037804858039837, 0.21421291346902654, 0.061373027258272934];('abstract_algebra', 46)
[0.0003069720980750844, 0.0017665032993761866, 0.0003941601640925382, 9.269754145526882e-06];('abstract_algebra', 47)
[0.11211934284487196, 0.004347338701423159, 0.3913349120430889, 0.02501720692471299];('abstract_algebra', 48)
[0.0001517211034863934, 0.022517408270944592, 0.0018483414269342543, 0.0030473998261027315];('abstract_algebra', 49)
[0.011612272475558268, 0.0668240142623553, 0.49376633127874814, 0.2994844186543858];('abstract_algebra', 50)
[0.0010279125521395532, 0.0035877673372469174, 0.0008005391005352103, 6.571225096580993e-05];('abstract_algebra', 51)
[0.00033394452384724214, 7.451309508672629e-05, 6.1164073076563675e-06, 0.0019217180505687991];('abstract_algebra', 52)
[0.505637208141329, 0.005617122329655099, 0.04150523200837755, 0.14486749423826037];('abstract_algebra', 53)
[3.762293227820019e-07, 0.013662956977619791, 1.2459004064038728e-05, 4.583411452631296e-06];('abstract_algebra', 54)
[0.7961012455119065, 0.0011968899745963043, 0.005364088717545461, 0.083908445197356];('abstract_algebra', 55)
[0.23080402964837327, 0.018945548456077016, 0.23080402964837327, 0.23080402964837327];('abstract_algebra', 56)
[3.5140107648080376e-05, 0.00042809414920120907, 9.552071606987159e-05, 2.736714335353846e-05];('abstract_algebra', 57)
[0.5002439011178659, 0.009162287741396227, 0.06770065811572132, 0.23629848710076332];('abstract_algebra', 58)
[0.5394761921151543, 0.0022047161564901973, 0.009880852301739865, 0.07301017196280389];('abstract_algebra', 59)
[0.15920789083986517, 0.006173159847875043, 0.20442697837563434, 0.4327719424125139];('abstract_algebra', 60)
[0.19988761121572926, 0.016407772335618555, 0.25666077328199405, 0.32955895636081034];('abstract_algebra', 61)
[0.6101616967639613, 0.004111236561045597, 0.03900633575181373, 0.08257641343458924];('abstract_algebra', 62)
[0.3132440868916266, 0.14796602949150453, 0.005737266947409175, 0.3132440868916266];('abstract_algebra', 63)
[0.0016959199313717958, 0.00022951780425881874, 0.002796099264256981, 3.98842139381423e-05];('abstract_algebra', 64)
[0.06587918171630683, 0.006943616323155832, 0.8025727931913252, 0.06587918171630683];('abstract_algebra', 65)
[0.16358681462763364, 0.022139067891406055, 0.21004962781686762, 0.34631328928431493];('abstract_algebra', 66)
[0.18157982174840998, 0.0054832354990929835, 0.4935851004535699, 0.08577223444662435];('abstract_algebra', 67)
[0.6331426275678708, 0.03152231340645425, 0.03152231340645425, 0.08568653172375554];('abstract_algebra', 68)
[0.7169440300014368, 0.0037621771007374035, 0.006202781410126696, 0.12458619503956182];('abstract_algebra', 69)
[0.0008643567485143217, 0.04719227943754566, 0.44774785413119494, 0.44774785413119494];('abstract_algebra', 70)
[4.670772257428942e-06, 0.003989115876379466, 0.005122126175383828, 0.00025501552448175315];('abstract_algebra', 71)
[0.00044140834386695744, 7.67052685856913e-05, 0.00016238505487018817, 9.84915144578874e-05];('abstract_algebra', 72)
[3.5993746727539895e-05, 0.0015304923262954297, 9.784114766762891e-05, 4.621688563998244e-05];('abstract_algebra', 73)
[0.21404523203641795, 0.022560204167188524, 0.16669859432266285, 0.16669859432266285];('abstract_algebra', 74)
[0.060654394441641696, 0.04723768988787242, 0.5754728717765892, 0.0778817840968716];('abstract_algebra', 75)
[0.35802595454299196, 0.0024123601935833903, 0.006557474877915675, 0.062215589395221295];('abstract_algebra', 76)
[0.0011599250466601358, 2.2391810363142013e-06, 6.086725121642987e-06, 2.124475816233267e-05];('abstract_algebra', 77)
[0.12151355787637912, 0.05739894044536098, 0.20034198754923732, 0.4241240162497123];('abstract_algebra', 78)
[0.28974352031220907, 0.0025067729236510268, 0.3720380444014574, 0.0503498801160398];('abstract_algebra', 79)
[0.007611673206636172, 0.19630761593604495, 0.32365654199418875, 0.04380215500378964];('abstract_algebra', 80)
[0.7375191187861441, 0.0038701446842211063, 0.013508132242929521, 0.04714801424257228];('abstract_algebra', 81)
[0.8769464139044106, 0.0006227848093004908, 0.0002941827134687431, 0.07198413659739825];('abstract_algebra', 82)
[0.6526382389844203, 0.0016177288411548965, 0.0026671839506371467, 0.14562327478358292];('abstract_algebra', 83)
[0.10717110807932376, 0.0007221134182369783, 0.00879714235661493, 0.03942604734994587];('abstract_algebra', 84)
[0.27004049246222983, 0.017263115238163304, 0.4452215038728159, 0.07736789643691684];('abstract_algebra', 85)
[0.12533668169264844, 0.0006577065432745134, 0.0022956214013947693, 0.027966393858553422];('abstract_algebra', 86)
[0.036410540687438674, 0.0006668821559775749, 0.000519368345291682, 0.00031501297531347884];('abstract_algebra', 87)
[0.0013912929268179199, 0.0001142042235264587, 0.0022938542422193415, 0.003781926281032752];('abstract_algebra', 88)
[0.5015222000881706, 0.0055714087167129805, 0.3041886090110629, 0.14368852462164017];('abstract_algebra', 89)
[0.7056972792879618, 0.00039031013523002216, 0.0002367350638135925, 0.021310211322745565];('abstract_algebra', 90)
[6.110483788339863e-06, 0.0011644526492750405, 1.7506829164957973e-06, 7.846016492486781e-06];('abstract_algebra', 91)
[0.34935743799534824, 0.028677008235662542, 0.001111928277321583, 0.03682200744915439];('abstract_algebra', 92)
[0.0007227720783813484, 0.00020707776623521567, 0.0011916496994954695, 0.005340603433900484];('abstract_algebra', 93)
[0.7325413512534877, 0.0023315186843881823, 0.0038440244479855746, 0.0991386971635484];('abstract_algebra', 94)
[0.5239851621330376, 0.02031710836629089, 0.11691688617335597, 0.15012425348657665];('abstract_algebra', 95)
[6.714962194524669e-05, 0.0013487362109593452, 0.004707551935395719, 4.0728304497904396e-05];('abstract_algebra', 96)
[0.00019819740588266922, 0.01784116190876305, 0.003100329060623626, 5.6784507510630794e-05];('abstract_algebra', 97)
[0.0020437024076059105, 0.00035514222660884803, 0.00027658504418469316, 0.005555359117373147];('abstract_algebra', 98)
[0.0013212284833686917, 0.020667490800240676, 0.8788041234333831, 0.001696490953897197];('abstract_algebra', 99)
[0.9368839696827549, 0.0038288298782250887, 0.002981895707408891, 0.04664470798900184];('anatomy', 0)
[0.25557071321746777, 0.5410432041270924, 0.002211120440773816, 0.15501147329101897];('anatomy', 1)
[0.9126617317184583, 0.0006481488813032494, 0.0003931221685688652, 0.0001856978521205619];('anatomy', 2)
[0.00034882178149623814, 0.0020073307572473385, 0.6306845760313238, 0.0020073307572473385];('anatomy', 3)
[2.4687562886187306e-05, 0.8965412159354507, 2.6020499845264033e-06, 5.508539860469406e-06];('anatomy', 4)
[0.8513870013727327, 0.0016435632644384583, 0.0012800083573720658, 0.007365939518642989];('anatomy', 5)
[0.376613911304899, 4.898728661031446e-06, 8.076638142830902e-06, 6.629708308400032e-07];('anatomy', 6)
[0.04164637516316465, 0.6514589742331502, 0.00010323101847376247, 0.0020734514218714722];('anatomy', 7)
[0.4596251613018011, 0.4596251613018011, 0.013879480535501108, 0.022883389329323264];('anatomy', 8)
[0.00024804629853018037, 4.310398345387579e-05, 0.00040895920850514227, 0.9494282721539655];('anatomy', 9)
[0.0014825038544219256, 0.010954304147204526, 0.17135412689515128, 0.7679558947764519];('anatomy', 10)
[0.0007464485474518666, 0.0862777212935825, 0.0012306855976671066, 0.8185803013832545];('anatomy', 11)
[0.002366436529353447, 0.022452124664014594, 0.0039015942417068164, 0.9546886908180752];('anatomy', 12)
[0.0897440719543267, 0.40220507435191716, 0.054432531167755815, 0.14796297798890168];('anatomy', 13)
[0.06138027075832058, 0.01369579290958915, 0.06138027075832058, 0.3532190703597879];('anatomy', 14)
[0.005798530382237045, 0.00028869169091461365, 0.8605781737092277, 0.00037068764547852677];('anatomy', 15)
[0.0001859925952218577, 0.711910017634658, 4.150055755827519e-05, 0.0008335609811696114];('anatomy', 16)
[6.495073504073482e-06, 5.0583683310787615e-06, 2.910889993424848e-05, 0.49934075962188146];('anatomy', 17)
