correct_answer_idx;id;model_guessed_its_correct;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
1;(0, 0);False;[0, 0.9999960661089133];414;249;1.0;True;0
1;(0, 0);False;[0, 0.999995112442896];441;219;1.0;True;1
1;(0, 0);False;[0, 0.9999992847447459];661;284;1.0;True;2
1;(0, 0);False;[0, 0.9999986886995842];479;301;1.0;True;3
1;(0, 0);False;[0, 0.9999960661089133];527;391;1.0;True;4
1;(0, 0);False;[0, 0.9999976158197796];476;188;1.0;True;5
1;(0, 0);False;[0, 0.9999966621509202];394;167;1.0;True;6
1;(0, 0);False;[0, 0.9999967813595916];365;343;1.0;True;7
1;(0, 0);False;[0, 0.9999960661089133];565;277;1.0;True;8
1;(0, 0);False;[0, 0.9999967813595916];395;374;1.0;True;9
1;(0, 1);True;[0.9999973774024795, 1.637372446023967e-07];400;152;1.0;True;0
1;(0, 1);True;[0.9999980926550052, 1.275188159256623e-07];502;301;1.0;True;1
1;(0, 1);True;[0.9999979734461775, 1.275188159256623e-07];495;84;1.0;True;2
1;(0, 1);True;[0.9999969005680498, 2.382362851497276e-07];527;73;1.0;True;3
1;(0, 1);True;[0.999997854237364, 9.931175369924415e-08];578;187;1.0;True;4
1;(0, 1);True;[0.9999973774024795, 7.734407154916583e-08];547;207;1.0;True;5
1;(0, 1);True;[0.9999916554191085, 1.8553754377325157e-07];460;143;1.0;True;6
1;(0, 1);True;[0.9999980926550052, 1.8553878237411744e-07];340;241;1.0;True;7
1;(0, 1);True;[0.9999967813595916, 2.382362851497276e-07];482;198;1.0;True;8
1;(0, 1);True;[0.9999976158197796, 1.275188159256623e-07];432;158;1.0;True;9
1;(0, 2);False;[0, 0.9999980926550052];661;239;1.0;True;0
1;(0, 2);False;[0, 0.9999935627400018];659;150;1.0;True;1
1;(0, 2);False;[0, 0.9999920130413283];624;184;1.0;True;2
1;(0, 2);False;[0, 0.9999961853172863];654;536;1.0;True;3
1;(0, 2);False;[0, 0.9999984502816872];345;100;1.0;True;4
1;(0, 2);False;[0, 0.9999980926550052];508;388;1.0;True;5
1;(0, 2);False;[0, 0.9999960661089133];594;321;1.0;True;6
1;(0, 2);False;[0, 0.9999959469005546];419;302;1.0;True;7
1;(0, 2);False;[0, 0.9999997615814777];548;109;1.0;True;8
1;(0, 2);False;[0, 0.9999934435319415];641;335;1.0;True;9
1;(0, 3);False;[0, 0.9999967813595916];407;133;1.0;True;0
1;(0, 3);False;[0, 0.9999783043793048];677;158;1.0;True;1
1;(0, 3);False;[0, 0.999998927117538];432;242;1.0;True;2
1;(0, 3);False;[0, 0.9999961853172863];547;434;1.0;True;3
1;(0, 3);False;[0, 0.9999936819476216];750;415;1.0;True;4
1;(0, 3);False;[0, 0.9999974966112362];466;171;1.0;True;5
1;(0, 3);False;[0, 0.999997854237364];356;140;1.0;True;6
1;(0, 3);False;[0, 0.9999916554191085];756;403;1.0;True;7
1;(0, 3);False;[0, 0.9999994039539004];621;274;1.0;True;8
1;(0, 3);False;[0, 0.9999992847447459];460;112;1.0;True;9
2;(1, 0);False;[0, 0.9999992847447459];545;649;0.9;True;0
2;(1, 0);False;[0, 0.9999991655356624];834;1901;0.9;True;1
2;(1, 0);False;[0, 0.9999996423722521];697;973;0.9;True;2
2;(1, 0);False;[0, 0.999998927117538];831;1752;0.9;True;3
2;(1, 0);False;[0, 0.9999974966112362];592;2018;0.9;True;4
2;(1, 0);False;[0, 0.9999982118638471];549;1906;0.9;True;5
2;(1, 0);False;[0, 0.9999992847447459];705;1417;0.9;True;6
2;(1, 0);False;[0, 0.9999995231630692];579;1119;0.9;True;7
2;(1, 0);False;[0, 0.9999995231630692];787;884;0.9;True;8
2;(1, 0);True;[0.9999991655356624, 5.043471815847051e-07];574;972;0.1;False;9
2;(1, 1);False;[0, 0.9999997615814777];798;1193;0.9;True;0
2;(1, 1);True;[0.9999384917900483, 2.9021432704766574e-06];1183;568;0.1;False;1
2;(1, 1);False;[0, 0.9999969005680498];692;604;0.9;True;2
2;(1, 1);False;[0, 0.9999988079084972];719;867;0.9;True;3
2;(1, 1);False;[0, 0.9999918938339075];822;2557;0.9;True;4
2;(1, 1);False;[0, 0.9999967813595916];512;781;0.9;True;5
2;(1, 1);False;[0, 0.9999896288992495];1364;2546;0.9;True;6
2;(1, 1);False;[0, 0.999995112442896];901;1750;0.9;True;7
2;(1, 1);False;[0, 0.999995112442896];1163;1043;0.9;True;8
2;(1, 1);False;[0, 0.9999976158197796];842;1336;0.9;True;9
2;(1, 2);True;[0.982008813599269, 3.6596058852988156e-06];698;3212;0.9;True;0
2;(1, 2);;;0;3916;0.0;False;1
2;(1, 2);True;[0.999994397195003, 6.47591512025264e-07];912;1601;0.9;True;2
2;(1, 2);True;[0.999997854237364, 4.450844011100084e-07];931;1336;0.9;True;3
2;(1, 2);True;[0.9999990463265931, 7.734421907141565e-08];949;1947;0.9;True;4
2;(1, 2);True;[0.9999973774024795, 2.1024278372789506e-07];859;2033;0.9;True;5
2;(1, 2);True;[0.9999946356109105, 2.699563056295106e-07];713;1045;0.9;True;6
2;(1, 2);True;[0.9999860527077029, 8.315168240749066e-07];1327;2199;0.9;True;7
2;(1, 2);True;[0.9999896288992495, 1.994712775002134e-06];1202;1513;0.9;True;8
2;(1, 2);True;[0.9999980926550052, 1.4449774900307763e-07];1066;1832;0.9;True;9
2;(1, 3);False;[0, 0.9999920130413283];835;2530;1.0;True;0
2;(1, 3);False;[0, 0.9999829533624089];1177;1984;1.0;True;1
2;(1, 3);False;[0, 0.999964238492877];1295;1397;1.0;True;2
2;(1, 3);False;[0, 0.9999896288992495];747;897;1.0;True;3
2;(1, 3);False;[0, 0.9999643576942727];1079;2831;1.0;True;4
2;(1, 3);False;[0, 0.9999413524701386];1043;1760;1.0;True;5
2;(1, 3);False;[0, 0.9999644768920447];1278;1185;1.0;True;6
2;(1, 3);False;[0, 0.9999988079084972];567;506;1.0;True;7
2;(1, 3);False;[0, 0.9999780659713836];977;2390;1.0;True;8
2;(1, 3);False;[0, 0.9999960661089133];1197;899;1.0;True;9
2;(2, 0);False;[0, 0.9999996423722521];194;171;1.0;True;0
2;(2, 0);False;[0, 0.9999997615814777];647;216;1.0;True;1
2;(2, 0);False;[0, 0.9999997615814777];625;663;1.0;True;2
2;(2, 0);False;[0, 0.9999996423722521];489;545;1.0;True;3
2;(2, 0);False;[0, 0.9999994039539004];187;172;1.0;True;4
2;(2, 0);False;[0, 0.9999997615814777];383;154;1.0;True;5
2;(2, 0);False;[0, 0.9999995231630692];115;295;1.0;True;6
2;(2, 0);False;[0, 0.9999994039539004];251;226;1.0;True;7
2;(2, 0);False;[0, 0.9999990463265931];193;192;1.0;True;8
2;(2, 0);False;[0, 0.9999997615814777];522;172;1.0;True;9
2;(2, 1);False;[0, 0.9999974966112362];588;366;1.0;True;0
2;(2, 1);False;[0, 0.9999991655356624];616;381;1.0;True;1
2;(2, 1);False;[0, 0.9999958276922101];332;361;1.0;True;2
2;(2, 1);False;[0, 0.9999992847447459];492;349;1.0;True;3
2;(2, 1);False;[0, 0.9999996423722521];388;202;1.0;True;4
2;(2, 1);False;[0, 0.9999988079084972];762;297;1.0;True;5
2;(2, 1);False;[0, 0.9999982118638471];469;180;1.0;True;6
2;(2, 1);False;[0, 0.9999996423722521];324;240;1.0;True;7
2;(2, 1);False;[0, 0.9999997615814777];521;244;1.0;True;8
2;(2, 1);False;[0, 0.9999992847447459];580;368;1.0;True;9
2;(2, 2);True;[0.9999983310727032, 2.1024298423113373e-07];656;262;1.0;True;0
2;(2, 2);True;[0.9999976158197796, 3.0590173704000945e-07];658;254;1.0;True;1
2;(2, 2);True;[0.9999988079084972, 2.1024318473456359e-07];681;192;1.0;True;2
2;(2, 2);True;[0.9999988079084972, 2.3823673954981372e-07];595;291;1.0;True;3
2;(2, 2);True;[0.999997854237364, 9.422436845439301e-07];391;165;1.0;True;4
2;(2, 2);True;[0.9999970197767496, 2.1024278372789506e-07];658;253;1.0;True;5
2;(2, 2);True;[0.9999995231630692, 1.2751905914873347e-07];483;343;1.0;True;6
2;(2, 2);True;[0.9999985694905718, 3.059020287707785e-07];682;209;1.0;True;7
2;(2, 2);True;[0.999997854237364, 3.0590173704000945e-07];636;207;1.0;True;8
2;(2, 2);True;[0.9999996423722521, 1.1253517471925912e-07];630;124;1.0;True;9
2;(2, 3);False;[0, 0.9999995231630692];1044;75;1.0;True;0
2;(2, 3);False;[0, 0.9999997615814777];519;511;1.0;True;1
2;(2, 3);False;[0, 0.9999990463265931];575;231;1.0;True;2
2;(2, 3);False;[0, 0.9999990463265931];342;248;1.0;True;3
2;(2, 3);False;[0, 0.9999997615814777];404;272;1.0;True;4
2;(2, 3);False;[0, 0.9999995231630692];140;115;1.0;True;5
2;(2, 3);False;[0, 0.9999983310727032];453;260;1.0;True;6
2;(2, 3);False;[0, 0.9999991655356624];725;246;1.0;True;7
2;(2, 3);False;[0, 0.9999997615814777];405;174;1.0;True;8
2;(2, 3);False;[0, 0.9999988079084972];134;270;1.0;True;9
0;(3, 0);True;[0.9999945164027223, 1.0676979006009105e-06];910;382;1.0;True;0
0;(3, 0);True;[0.9999996423722521, 6.82560337633487e-08];1024;317;1.0;True;1
0;(3, 0);True;[0.9999994039539004, 4.139937718785167e-08];294;102;1.0;True;2
0;(3, 0);True;[0.9999996423722521, 6.82560337633487e-08];758;140;1.0;True;3
0;(3, 0);True;[0.9999982118638471, 2.1024298423113373e-07];500;434;1.0;True;4
0;(3, 0);True;[0.9999991655356624, 2.1024318473456359e-07];719;92;1.0;True;5
0;(3, 0);True;[0.9999995231630692, 1.8553913626159784e-07];599;246;1.0;True;6
0;(3, 0);True;[0.9999974966112362, 1.0677009553134769e-06];594;534;1.0;True;7
0;(3, 0);True;[0.9999992847447459, 5.3157852544244216e-08];816;182;1.0;True;8
0;(3, 0);True;[0.9999996423722521, 6.82560337633487e-08];581;294;1.0;True;9
0;(3, 1);False;[0, 0.9999948740268748];664;444;1.0;True;0
0;(3, 1);False;[0, 0.9999977350285647];592;318;1.0;True;1
0;(3, 1);False;[0, 0.999998927117538];735;374;1.0;True;2
0;(3, 1);False;[0, 0.9999985694905718];566;420;1.0;True;3
0;(3, 1);False;[0, 0.9999942779868433];633;240;1.0;True;4
0;(3, 1);False;[0, 0.9999996423722521];533;304;1.0;True;5
0;(3, 1);False;[0, 0.9999935627400018];724;280;1.0;True;6
0;(3, 1);False;[0, 0.9999965429424904];829;407;1.0;True;7
0;(3, 1);False;[0, 0.9999933243243502];732;202;1.0;True;8
0;(3, 1);False;[0, 0.9999996423722521];444;226;1.0;True;9
0;(3, 2);False;[0, 0.9999949932351057];822;384;1.0;True;0
0;(3, 2);False;[0, 0.9999959469005546];752;412;1.0;True;1
0;(3, 2);False;[0, 0.9999983310727032];565;322;1.0;True;2
0;(3, 2);False;[0, 0.9999997615814777];541;370;1.0;True;3
0;(3, 2);False;[0, 0.9999985694905718];517;502;1.0;True;4
0;(3, 2);False;[0, 0.9999991655356624];674;260;1.0;True;5
0;(3, 2);False;[0, 0.9999994039539004];966;575;1.0;True;6
0;(3, 2);False;[0, 0.999998927117538];619;191;1.0;True;7
0;(3, 2);False;[0, 0.9999996423722521];554;400;1.0;True;8
0;(3, 2);False;[0, 0.9999865295319578];1146;206;1.0;True;9
0;(3, 3);False;[0, 0.9999997615814777];311;412;1.0;True;0
0;(3, 3);False;[0, 0.9999995231630692];685;270;1.0;True;1
0;(3, 3);False;[0, 0.9999966621509202];613;429;1.0;True;2
0;(3, 3);False;[0, 0.9999961853172863];852;359;1.0;True;3
0;(3, 3);False;[0, 0.9999966621509202];527;301;1.0;True;4
0;(3, 3);False;[0, 0.9999988079084972];857;234;1.0;True;5
