correct_answer_idx;model_guessed_its_correct;id;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
1;True;(0, 0);[0, 0];123;1194;0.8;False;0
1;True;(0, 0);[0.00016983290199409592, 0];289;796;0.8;False;1
1;False;(0, 0);[0.00048087116365112554, 0.9851992407513093];187;1325;0.2;True;2
1;True;(0, 0);[0, 0];90;596;0.8;False;3
1;True;(0, 0);[0, 0];273;992;0.8;False;4
1;True;(0, 0);[0.00018383711134765807, 0];293;706;0.8;False;5
1;True;(0, 0);[0, 0];89;595;0.8;False;6
1;True;(0, 0);[0, 0];169;868;0.8;False;7
1;True;(0, 0);[0, 0];243;2519;0.8;False;8
1;False;(0, 0);[0.0007941297456932671, 0.9868240070710945];272;1833;0.2;True;9
1;True;(0, 1);[0.0010573830175750515, 0];128;442;1.0;True;0
1;True;(0, 1);[0.0008238489159029295, 0];238;482;1.0;True;1
1;True;(0, 1);[0.9738017790556245, 0.0018798798158073365];215;655;1.0;True;2
1;True;(0, 1);[0.001538000575530902, 0];231;896;1.0;True;3
1;True;(0, 1);[0.0011983342001946281, 0];252;910;1.0;True;4
1;True;(0, 1);[0.001420627167724942, 0];210;927;1.0;True;5
1;True;(0, 1);[0.0011978171854597963, 0];118;822;1.0;True;6
1;True;(0, 1);[0.0013074014153854313, 0];161;838;1.0;True;7
1;True;(0, 1);[0.00206480454684091, 0];257;1158;1.0;True;8
1;True;(0, 1);[0.0022344892523120364, 0];191;887;1.0;True;9
1;True;(0, 2);[0, 0];271;2909;0.9;False;0
1;True;(0, 2);[0.00015444965149634767, 0];154;981;0.9;False;1
1;True;(0, 2);[0, 0];63;1287;0.9;False;2
1;False;(0, 2);[0, 0.0001698005120277995];392;1440;0.1;True;3
1;True;(0, 2);[0, 0];126;1357;0.9;False;4
1;True;(0, 2);[0, 0];257;688;0.9;False;5
1;True;(0, 2);[0.00014318655057795381, 0];232;1031;0.9;False;6
1;True;(0, 2);[0, 0];217;765;0.9;False;7
1;True;(0, 2);[0, 0];231;794;0.9;False;8
1;True;(0, 2);[0, 0];259;1096;0.9;False;9
1;True;(0, 3);[0.0002673936820767114, 0];283;1457;1.0;False;0
1;True;(0, 3);[0.0003702142375480842, 0];215;818;1.0;False;1
1;True;(0, 3);[0.0003432928092832164, 0];291;1299;1.0;False;2
1;True;(0, 3);[0.00019826962306262666, 0];199;1005;1.0;False;3
1;True;(0, 3);[0.00023588949541691735, 0];92;1178;1.0;False;4
1;True;(0, 3);[0.00031707758720384715, 0];290;1177;1.0;False;5
1;True;(0, 3);[0.00020833997024863562, 0.0001838593784289877];295;3494;1.0;False;6
1;True;(0, 3);[0.00014318491194730126, 0];260;1130;1.0;False;7
1;True;(0, 3);[0.0002469252016305409, 0];233;1472;1.0;False;8
1;True;(0, 3);[0.00037467056003411236, 0.00022724918195239202];416;192;1.0;False;9
2;True;(1, 0);[0.00023593651710933236, 0.0001621566386845269];404;2638;1.0;False;0
