correct_answer_idx;id;model_guessed_its_correct;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
1;(0, 0);False;[3.106333822729076e-05, 0.9955278074478668];180;0;1.0;True;0
1;(0, 0);False;[2.1384160591294298e-05, 0.9971437017780043];316;0;1.0;True;1
1;(0, 0);False;[2.419095245139717e-05, 0.9954779526548792];292;0;1.0;True;2
1;(0, 0);False;[1.1364116754631728e-05, 0.9900006324535763];177;0;1.0;True;3
1;(0, 0);False;[0, 0.9963129116653318];265;0;1.0;True;4
1;(0, 0);False;[7.47069175114825e-05, 0.9980636256508522];293;0;1.0;True;5
1;(0, 0);False;[0.00010841705096197745, 0.9954848044929689];346;0;1.0;True;6
1;(0, 0);False;[0, 0.9985390818454785];168;0;1.0;True;7
1;(0, 0);False;[2.74645100979753e-05, 0.9973876947300483];236;0;1.0;True;8
1;(0, 0);False;[3.526913139207189e-05, 0.9975006025515425];259;0;1.0;True;9
1;(0, 1);True;[0.9945948610236398, 0.00012274276534655882];213;0;1.0;True;0
1;(0, 1);True;[0.9997399529669438, 0.000139805225133295];269;0;1.0;True;1
1;(0, 1);True;[0.9997604467218494, 0.0001398081583944212];355;0;1.0;True;2
1;(0, 1);True;[0.999704805765715, 0.00015841448468629113];340;0;1.0;True;3
1;(0, 1);True;[0.9997895207110944, 0.00010888581844103672];280;0;1.0;True;4
1;(0, 1);True;[0.9997150517939815, 0.00020341035855707743];359;0;1.0;True;5
1;(0, 1);True;[0.9997428125225756, 0.00017951397604977308];345;0;1.0;True;6
1;(0, 1);True;[0.9996084316460356, 0.0002959287150599319];361;0;1.0;True;7
1;(0, 1);True;[0.9998320623149408, 0.00010889049141368818];396;0;1.0;True;8
1;(0, 1);True;[0.9997369742997422, 0.0001795129488655015];337;0;1.0;True;9
1;(0, 2);False;[3.5282722657122435e-05, 0.997885416716043];398;0;0.9;True;0
1;(0, 2);False;[2.744139212236095e-05, 0.9965480926293113];275;0;0.9;True;1
1;(0, 2);False;[3.532682937954274e-05, 0.9991329088837557];360;0;0.9;True;2
1;(0, 2);False;[0.015875742993051802, 0.9821976111736263];259;0;0.9;True;3
1;(0, 2);False;[1.6661054333924216e-05, 0.9975666750842169];375;0;0.9;True;4
1;(0, 2);False;[7.472259329094721e-05, 0.9982731411622854];348;0;0.9;True;5
1;(0, 2);False;[3.111860704684625e-05, 0.9972993549642875];377;0;0.9;True;6
1;(0, 2);True;[0.9922384376889843, 0.007575832777526078];332;0;0.1;False;7
1;(0, 2);False;[5.813710092836666e-05, 0.9972975765318984];337;0;0.9;True;8
1;(0, 2);False;[3.9785024049709936e-05, 0.993004489796446];311;0;0.9;True;9
1;(0, 3);False;[4.530145003348132e-05, 0.9978305775543833];191;0;1.0;True;0
1;(0, 3);False;[3.111448221498155e-05, 0.9971668155253472];308;0;1.0;True;1
1;(0, 3);False;[1.8892199679444727e-05, 0.9982402352800592];226;0;1.0;True;2
1;(0, 3);False;[0.00013971645644429562, 0.9991050630278583];309;0;1.0;True;3
1;(0, 3);False;[0.00012322857274517786, 0.9985314747853883];233;0;1.0;True;4
1;(0, 3);False;[3.116190623247098e-05, 0.9986867292244533];296;0;1.0;True;5
1;(0, 3);False;[4.434684584952557e-05, 0.9768044396839731];212;0;1.0;True;6
1;(0, 3);False;[2.7493310413457026e-05, 0.9984334253870332];314;0;1.0;True;7
1;(0, 3);False;[2.4234617730974803e-05, 0.9972748124594603];247;0;1.0;True;8
1;(0, 3);False;[2.7478788556137797e-05, 0.997906427987078];288;0;1.0;True;9
1;(1, 0);False;[5.8242150950478987e-05, 0.9990994702224678];213;0;1.0;True;0
1;(1, 0);False;[6.599712913223382e-05, 0.9991013741687884];253;0;1.0;True;1
1;(1, 0);False;[0.00013973751058186248, 0.9992558537091356];303;0;1.0;True;2
1;(1, 0);False;[0.0001790670221599765, 0.9972537090724917];198;0;1.0;True;3
1;(1, 0);False;[0.002181861586096381, 0.9974263556354012];231;0;1.0;True;4
1;(1, 0);False;[8.478620926112011e-05, 0.9996220110683757];202;0;1.0;True;5
1;(1, 0);False;[9.605337447677925e-05, 0.999393592649905];267;0;1.0;True;6
1;(1, 0);False;[9.604082559840855e-05, 0.9992634718133789];286;0;1.0;True;7
1;(1, 0);False;[0.00015790738114687957, 0.9965041727547981];148;0;1.0;True;8
1;(1, 0);False;[0.0001790427742318292, 0.9971183370790712];333;0;1.0;True;9
1;(1, 1);True;[0.9996982531610897, 0.0002611798360020028];181;0;1.0;True;0
1;(1, 1);True;[0.9996538169029469, 0.0002611681294807904];251;0;1.0;True;1
1;(1, 1);True;[0.9997043291858109, 0.0002034082247086888];236;0;1.0;True;2
1;(1, 1);True;[0.9997168389307709, 0.00020341074653191672];308;0;1.0;True;3
1;(1, 1);True;[0.9996581054771315, 0.0002611691257600401];249;0;1.0;True;4
1;(1, 1);True;[0.999724821483066, 0.00020341229843867396];293;0;1.0;True;5
1;(1, 1);True;[0.9994592016529572, 0.00048783138549825884];223;0;1.0;True;6
1;(1, 1);True;[0.9992520447078754, 0.0005526707306805289];212;0;1.0;True;7
1;(1, 1);True;[0.9995978304482779, 0.0003353276479427445];300;0;1.0;True;8
1;(1, 1);True;[0.9997242257753899, 0.00020341229843867396];279;0;1.0;True;9
1;(1, 2);False;[9.60312089546883e-05, 0.9991633744685654];321;0;0.5;True;0
1;(1, 2);True;[0.9993970455346693, 0.000487800913736756];318;0;0.5;False;1
1;(1, 2);True;[0.9990811453826183, 0.0008039935252084824];296;0;0.5;False;2
1;(1, 2);True;[0.9954368440073111, 0.00042877689953090226];272;0;0.5;False;3
