confidence_per_choice;id
[0, 0, 0, 0];('computer_security', 29)
[0, 0, 0, 0];('computer_security', 30)
[0, 0, 0, 0];('computer_security', 31)
[0, 0, 0, 0];('computer_security', 32)
[0, 0, 0.006246135586511495, 0];('computer_security', 33)
[0, 0, 0, 0];('computer_security', 34)
[0, 0, 0, 0];('computer_security', 35)
[0, 0, 0, 0];('computer_security', 36)
[0, 0, 0, 0];('computer_security', 37)
[0.008764872331630775, 0, 0, 0];('computer_security', 38)
[0, 0, 0, 0];('computer_security', 39)
[0, 0, 0, 0];('computer_security', 40)
[0, 0, 0, 0];('computer_security', 41)
[0, 0, 0, 0];('computer_security', 42)
[0, 0, 0, 0];('computer_security', 43)
[0.0066009848411246255, 0, 0, 0];('computer_security', 44)
[0, 0, 0, 0];('computer_security', 45)
[0, 0, 0, 0];('computer_security', 46)
[0, 0, 0, 0];('computer_security', 47)
[0, 0, 0, 0];('computer_security', 48)
[0, 0, 0, 0];('computer_security', 49)
[0, 0, 0, 0];('computer_security', 50)
[0, 0, 0, 0];('computer_security', 51)
[0.006004401421757541, 0, 0, 0];('computer_security', 52)
[0, 0, 0, 0];('computer_security', 53)
[0.01014700058990474, 0, 0, 0];('computer_security', 54)
[0, 0, 0, 0];('computer_security', 55)
[0, 0, 0, 0];('computer_security', 56)
[0, 0, 0, 0];('computer_security', 57)
[0, 0, 0, 0];('computer_security', 58)
[0, 0, 0, 0];('computer_security', 59)
[0.007957768003861002, 0, 0, 0];('computer_security', 60)
[0, 0, 0, 0];('computer_security', 61)
[0, 0, 0, 0];('computer_security', 62)
[0, 0, 0, 0];('computer_security', 63)
[0, 0, 0, 0];('computer_security', 64)
[0.006624539299952101, 0, 0, 0];('computer_security', 65)
[0, 0, 0, 0];('computer_security', 66)
[0.006909554066743926, 0, 0, 0];('computer_security', 67)
[0, 0, 0, 0];('computer_security', 68)
[0, 0, 0, 0];('computer_security', 69)
[0.005319503367931799, 0, 0, 0];('computer_security', 70)
[0, 0, 0, 0];('computer_security', 71)
[0, 0, 0.006448374517743264, 0];('computer_security', 72)
[0.006923158211734873, 0, 0, 0];('computer_security', 73)
[0.009915070206604972, 0, 0, 0];('computer_security', 74)
[0.006722696566390445, 0, 0, 0];('computer_security', 75)
[0, 0, 0, 0];('computer_security', 76)
[0, 0, 0, 0];('computer_security', 77)
[0, 0, 0, 0];('computer_security', 78)
[0, 0, 0, 0];('computer_security', 79)
[0, 0, 0, 0];('computer_security', 80)
[0, 0, 0, 0];('computer_security', 81)
[0, 0, 0, 0];('computer_security', 82)
[0, 0, 0, 0];('computer_security', 83)
[0, 0, 0, 0];('computer_security', 84)
[0, 0, 0, 0];('computer_security', 85)
[0, 0, 0, 0];('computer_security', 86)
[0, 0, 0, 0];('computer_security', 87)
[0.008384023206781461, 0, 0, 0];('computer_security', 88)
[0, 0, 0, 0];('computer_security', 89)
[0, 0, 0, 0];('computer_security', 90)
[0, 0, 0, 0];('computer_security', 91)
[0, 0, 0, 0];('computer_security', 92)
[0, 0, 0, 0];('computer_security', 93)
[0.005851186036156816, 0, 0, 0];('computer_security', 94)
[0, 0, 0, 0];('computer_security', 95)
[0, 0, 0, 0];('computer_security', 96)
[0, 0, 0, 0];('computer_security', 97)
[0, 0, 0, 0];('computer_security', 98)
[0, 0, 0, 0];('computer_security', 99)
[0, 0, 0, 0];('conceptual_physics', 0)
[0, 0, 0, 0];('conceptual_physics', 1)
[0, 0, 0, 0];('conceptual_physics', 2)
[0, 0, 0, 0];('conceptual_physics', 3)
[0, 0, 0, 0];('conceptual_physics', 4)
[0, 0, 0, 0];('conceptual_physics', 5)
[0, 0, 0, 0];('conceptual_physics', 6)
