id;confidence_per_choice
('abstract_algebra', 0);[1.4449802461092448e-07, 0.9999997615814777, 5.3157852544244216e-08, 1.3440409951135022e-08]
('abstract_algebra', 1);[9.237449661970594e-09, 8.152020714470167e-09, 0.9999998807907247, 6.82560337633487e-08]
('abstract_algebra', 2);[2.9989608248573072e-09, 3.850741922767617e-09, 5.3157852544244216e-08, 0.9999998807907247]
('abstract_algebra', 3);[3.398267819495071e-09, 2.9989608248573072e-09, 8.152020714470167e-09, 0.9999998807907247]
('abstract_algebra', 4);[3.850741922767617e-09, 1.0, 6.691586091292782e-10, 2.172439935079017e-10]
('abstract_algebra', 5);[0.9999997615814777, 6.34880011604368e-09, 2.382369667501818e-07, 1.493094676197164e-10]
('abstract_algebra', 6);[0.9999997615814777, 2.061153622438558e-09, 7.734421907141565e-08, 0]
('abstract_algebra', 7);[1.3176514270095466e-10, 1.026187963170189e-10, 1.0, 1.917171513758312e-10]
('abstract_algebra', 8);[1.2501528663867426e-09, 1.0, 1.4166087866431961e-09, 0]
('abstract_algebra', 9);[2.061153622438558e-09, 7.194133030325383e-09, 1.0, 4.944450501938644e-09]
('abstract_algebra', 10);[3.850741922767617e-09, 3.581747930283181e-10, 1.0, 8.592166619174109e-10]
('abstract_algebra', 11);[2.335593038799337e-09, 9.237449661970594e-09, 1.0, 1.103256032343554e-09]
('abstract_algebra', 12);[0.9999996423722521, 4.363462252943702e-09, 8.764248219443636e-08, 4.277787868968998e-11]
('abstract_algebra', 13);[1.917171513758312e-10, 2.646573638909117e-09, 1.0, 4.5990553786523166e-10]
('abstract_algebra', 14);[4.363462252943702e-09, 3.6534822137210456e-08, 1.0, 2.9989608248573072e-09]
('abstract_algebra', 15);[4.363462252943702e-09, 1.0, 3.581747930283181e-10, 7.991959892953932e-11]
('abstract_algebra', 16);[1.8189616875530459e-09, 2.646573638909117e-09, 1.0, 9.736200313009565e-10]
('abstract_algebra', 17);[1.0467401794744658e-08, 2.510999155743982e-08, 1.0, 6.34880011604368e-09]
('abstract_algebra', 18);[7.582560427911907e-10, 8.152020714470167e-09, 2.215948977336598e-08, 1.0]
('abstract_algebra', 19);[1.0, 2.7894680928689246e-10, 4.363462252943702e-09, 0]
('abstract_algebra', 20);[0.9999997615814777, 1.9555681087850496e-08, 1.1253517471925912e-07, 1.917171513758312e-10]
('abstract_algebra', 21);[0.9999998807907247, 1.7257827987960214e-08, 5.3157852544244216e-08, 4.8473687062702556e-11]
('abstract_algebra', 22);[1.493094676197164e-10, 3.581747930283181e-10, 5.905303998944039e-10, 1.0]
('abstract_algebra', 23);[8.76423150298272e-08, 1.8553860543063036e-07, 2.260322940135999e-06, 0.9999973774024795]
('abstract_algebra', 24);[0.9999998807907247, 1.2501528663867426e-09, 6.34880011604368e-09, 2.9400777392844726e-11]
('abstract_algebra', 25);[7.582560427911907e-10, 7.991959892953932e-11, 1.0, 7.991959892953932e-11]
('abstract_algebra', 26);[4.058652126475693e-10, 2.172439935079017e-10, 1.0, 6.691586091292782e-10]
('abstract_algebra', 27);[1.3440409951135022e-08, 0.9999998807907247, 5.602796437537268e-09, 4.5990553786523166e-10]
('abstract_algebra', 28);[1.2501528663867426e-09, 2.9989608248573072e-09, 3.850741922767617e-09, 0.9999998807907247]
('abstract_algebra', 29);[0.9999998807907247, 6.691586091292782e-10, 3.398267819495071e-09, 0]
('abstract_algebra', 30);[6.34880011604368e-09, 1.0, 1.2501528663867426e-09, 3.581747930283181e-10]
('abstract_algebra', 31);[1.3440409951135022e-08, 1.0, 2.8453348089834e-08, 1.6052280551856116e-09]
('abstract_algebra', 32);[0.9999998807907247, 4.058652126475693e-10, 1.8189616875530459e-09, 0]
('abstract_algebra', 33);[1.6052280551856116e-09, 4.363462252943702e-09, 1.0, 7.194133030325383e-09]
('abstract_algebra', 34);[1.162823303022097e-10, 2.172439935079017e-10, 9.736200313009565e-10, 1.0]
