id;iter;answer_token_len;correct_answer;extracted_number;finish_reasons;finish_reasons_post;frequency_of_answer;is_correct;reasoning_token_len
0;0;92;145;145;stop;stop;1.0;True;134
0;1;182;145;145;stop;stop;1.0;True;331
0;2;207;145;145;stop;stop;1.0;True;278
0;3;178;145;145;stop;stop;1.0;True;193
0;4;44;145;145;stop;stop;1.0;True;157
0;5;218;145;145;stop;stop;1.0;True;134
0;6;36;145;145;stop;stop;1.0;True;186
0;7;91;145;145;stop;stop;1.0;True;191
0;8;106;145;145;stop;stop;1.0;True;318
0;9;75;145;145;stop;stop;1.0;True;269
1;0;171;19;19;stop;stop;1.0;True;32
1;1;98;19;19;stop;stop;1.0;True;29
1;2;148;19;19;stop;stop;1.0;True;35
1;3;90;19;19;stop;stop;1.0;True;30
1;4;183;19;19;stop;stop;1.0;True;59
1;5;68;19;19;stop;stop;1.0;True;54
1;6;126;19;19;stop;stop;1.0;True;58
1;7;82;19;19;stop;stop;1.0;True;44
1;8;92;19;19;stop;stop;1.0;True;29
1;9;83;19;19;stop;stop;1.0;True;41
2;0;116;3;3;stop;stop;1.0;True;121
2;1;201;3;3;stop;stop;1.0;True;103
2;2;98;3;3;stop;stop;1.0;True;143
2;3;88;3;3;stop;stop;1.0;True;172
2;4;138;3;3;stop;stop;1.0;True;108
2;5;110;3;3;stop;stop;1.0;True;126
2;6;96;3;3;stop;stop;1.0;True;99
2;7;113;3;3;stop;stop;1.0;True;106
2;8;111;3;3;stop;stop;1.0;True;183
2;9;97;3;3;stop;stop;1.0;True;77
3;0;88;198;198;stop;stop;1.0;True;163
3;1;94;198;198;stop;stop;1.0;True;220
3;2;83;198;198;stop;stop;1.0;True;228
3;3;93;198;198;stop;stop;1.0;True;175
3;4;85;198;198;stop;stop;1.0;True;125
3;5;82;198;198;stop;stop;1.0;True;96
3;6;88;198;198;stop;stop;1.0;True;163
3;7;86;198;198;stop;stop;1.0;True;136
3;8;126;198;198;stop;stop;1.0;True;153
3;9;82;198;198;stop;stop;1.0;True;101
4;0;36;63;63;stop;stop;1.0;True;17
4;1;35;63;63;stop;stop;1.0;True;21
4;2;88;63;63;stop;stop;1.0;True;24
