correct_answer_idx;id;model_guessed_its_correct;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
1;(0, 0);False;[0, 1.0];485;0;1.0;True;0
1;(0, 0);False;[0, 1.0];439;0;1.0;True;1
1;(0, 0);False;[0, 1.0];432;0;1.0;True;2
1;(0, 0);False;[0, 1.0];475;0;1.0;True;3
1;(0, 0);False;[0, 1.0];263;0;1.0;True;4
1;(0, 0);False;[0, 1.0];499;0;1.0;True;5
1;(0, 0);False;[0, 1.0];485;0;1.0;True;6
1;(0, 0);False;[0, 1.0];465;0;1.0;True;7
1;(0, 0);False;[0, 1.0];287;0;1.0;True;8
1;(0, 0);False;[0, 1.0];483;0;1.0;True;9
1;(0, 1);True;[1.0, 0];571;0;1.0;True;0
1;(0, 1);True;[1.0, 0];459;0;1.0;True;1
1;(0, 1);True;[1.0, 0];577;0;1.0;True;2
1;(0, 1);True;[1.0, 3.0988191387218256e-12];728;0;1.0;True;3
1;(0, 1);True;[1.0, 2.413362771833214e-12];611;0;1.0;True;4
1;(0, 1);True;[1.0, 0];517;0;1.0;True;5
1;(0, 1);True;[0.9999996423722521, 3.927863545481039e-07];833;0;1.0;True;6
1;(0, 1);True;[1.0, 0];470;0;1.0;True;7
1;(0, 1);True;[1.0, 0];526;0;1.0;True;8
1;(0, 1);True;[1.0, 0];604;0;1.0;True;9
1;(0, 2);False;[0, 1.0];486;0;1.0;True;0
1;(0, 2);False;[0, 1.0];409;0;1.0;True;1
1;(0, 2);False;[0, 1.0];402;0;1.0;True;2
1;(0, 2);False;[0, 1.0];381;0;1.0;True;3
1;(0, 2);False;[0, 1.0];468;0;1.0;True;4
1;(0, 2);False;[0, 1.0];402;0;1.0;True;5
1;(0, 2);False;[0, 1.0];331;0;1.0;True;6
1;(0, 2);False;[0, 1.0];510;0;1.0;True;7
1;(0, 2);False;[0, 1.0];487;0;1.0;True;8
1;(0, 2);False;[0, 1.0];480;0;1.0;True;9
1;(0, 3);False;[0, 1.0];424;0;1.0;True;0
1;(0, 3);False;[0, 1.0];418;0;1.0;True;1
1;(0, 3);False;[0, 1.0];417;0;1.0;True;2
1;(0, 3);False;[0, 1.0];629;0;1.0;True;3
1;(0, 3);False;[0, 1.0];526;0;1.0;True;4
1;(0, 3);False;[0, 1.0];513;0;1.0;True;5
1;(0, 3);False;[0, 1.0];445;0;1.0;True;6
1;(0, 3);False;[0, 1.0];495;0;1.0;True;7
1;(0, 3);False;[0, 1.0];329;0;1.0;True;8
1;(0, 3);False;[0, 1.0];530;0;1.0;True;9
2;(1, 0);False;[0, 1.0];380;0;1.0;True;0
2;(1, 0);False;[0, 1.0];531;0;1.0;True;1
2;(1, 0);False;[0, 1.0];432;0;1.0;True;2
2;(1, 0);False;[0, 1.0];444;0;1.0;True;3
2;(1, 0);False;[0, 1.0];462;0;1.0;True;4
2;(1, 0);False;[0, 1.0];518;0;1.0;True;5
2;(1, 0);False;[0, 1.0];398;0;1.0;True;6
2;(1, 0);False;[0, 1.0];396;0;1.0;True;7
2;(1, 0);False;[0, 1.0];430;0;1.0;True;8
2;(1, 0);False;[0, 1.0];476;0;1.0;True;9
2;(1, 1);False;[0, 1.0];518;0;1.0;True;0
2;(1, 1);False;[0, 1.0];381;0;1.0;True;1
2;(1, 1);False;[0, 1.0];364;0;1.0;True;2
2;(1, 1);False;[0, 1.0];544;0;1.0;True;3
2;(1, 1);False;[0, 1.0];458;0;1.0;True;4
2;(1, 1);False;[0, 1.0];360;0;1.0;True;5
2;(1, 1);False;[0, 1.0];535;0;1.0;True;6
2;(1, 1);False;[0, 1.0];512;0;1.0;True;7
2;(1, 1);False;[0, 1.0];373;0;1.0;True;8
2;(1, 1);False;[0, 1.0];473;0;1.0;True;9
2;(1, 2);True;[1.0, 0];584;0;1.0;True;0
2;(1, 2);True;[1.0, 0];607;0;1.0;True;1
2;(1, 2);True;[1.0, 0];552;0;1.0;True;2
2;(1, 2);True;[1.0, 0];527;0;1.0;True;3
2;(1, 2);True;[1.0, 0];571;0;1.0;True;4
2;(1, 2);True;[1.0, 0];614;0;1.0;True;5
2;(1, 2);True;[1.0, 0];572;0;1.0;True;6
2;(1, 2);True;[1.0, 0];563;0;1.0;True;7
2;(1, 2);True;[1.0, 0];550;0;1.0;True;8
2;(1, 2);True;[1.0, 0];584;0;1.0;True;9
2;(1, 3);False;[0, 1.0];458;0;1.0;True;0
2;(1, 3);False;[0, 1.0];322;0;1.0;True;1
2;(1, 3);False;[0, 1.0];376;0;1.0;True;2
2;(1, 3);False;[0, 1.0];443;0;1.0;True;3
2;(1, 3);False;[0, 1.0];399;0;1.0;True;4
2;(1, 3);False;[0, 1.0];360;0;1.0;True;5
2;(1, 3);False;[0, 1.0];307;0;1.0;True;6
2;(1, 3);False;[0, 1.0];285;0;1.0;True;7
2;(1, 3);False;[0, 1.0];432;0;1.0;True;8
2;(1, 3);False;[0, 1.0];406;0;1.0;True;9
1;(2, 0);False;[0, 1.0];344;0;1.0;True;0
1;(2, 0);False;[0, 1.0];334;0;1.0;True;1
1;(2, 0);False;[0, 1.0];505;0;1.0;True;2
1;(2, 0);False;[0, 1.0];494;0;1.0;True;3
1;(2, 0);False;[0, 1.0];449;0;1.0;True;4
1;(2, 0);False;[0, 1.0];509;0;1.0;True;5
1;(2, 0);False;[0, 1.0];512;0;1.0;True;6
1;(2, 0);False;[0, 1.0];436;0;1.0;True;7
1;(2, 0);False;[0, 1.0];430;0;1.0;True;8
1;(2, 0);False;[0, 1.0];515;0;1.0;True;9
1;(2, 1);True;[1.0, 0];382;0;1.0;True;0
1;(2, 1);True;[1.0, 0];384;0;1.0;True;1
1;(2, 1);True;[1.0, 0];403;0;1.0;True;2
1;(2, 1);True;[1.0, 0];410;0;1.0;True;3
1;(2, 1);True;[1.0, 0];401;0;1.0;True;4
1;(2, 1);True;[1.0, 0];401;0;1.0;True;5
1;(2, 1);True;[1.0, 0];407;0;1.0;True;6
1;(2, 1);True;[1.0, 0];412;0;1.0;True;7
1;(2, 1);True;[1.0, 0];478;0;1.0;True;8
1;(2, 1);True;[1.0, 0];474;0;1.0;True;9
1;(2, 2);False;[0, 1.0];452;0;1.0;True;0
1;(2, 2);False;[0, 1.0];476;0;1.0;True;1
1;(2, 2);False;[0, 1.0];468;0;1.0;True;2
1;(2, 2);False;[0, 1.0];502;0;1.0;True;3
1;(2, 2);False;[0, 1.0];519;0;1.0;True;4
1;(2, 2);False;[0, 1.0];479;0;1.0;True;5
1;(2, 2);False;[0, 1.0];464;0;1.0;True;6
1;(2, 2);False;[0, 1.0];426;0;1.0;True;7
1;(2, 2);False;[0, 1.0];456;0;1.0;True;8
1;(2, 2);False;[0, 1.0];551;0;1.0;True;9
1;(2, 3);False;[0, 1.0];379;0;1.0;True;0
1;(2, 3);False;[0, 1.0];558;0;1.0;True;1
1;(2, 3);False;[0, 1.0];515;0;1.0;True;2
1;(2, 3);False;[0, 1.0];607;0;1.0;True;3
1;(2, 3);False;[0, 1.0];430;0;1.0;True;4
1;(2, 3);False;[0, 1.0];531;0;1.0;True;5
1;(2, 3);False;[0, 1.0];539;0;1.0;True;6
1;(2, 3);False;[0, 1.0];509;0;1.0;True;7
1;(2, 3);False;[0, 1.0];457;0;1.0;True;8
1;(2, 3);False;[0, 1.0];486;0;1.0;True;9
1;(3, 0);False;[1.8795288165390832e-12, 1.0];994;0;1.0;True;0
1;(3, 0);False;[1.6586783589142312e-12, 1.0];2496;0;1.0;True;1
1;(3, 0);False;[3.2661313427874473e-13, 1.0];1220;0;1.0;True;2
1;(3, 0);False;[3.2661313427874473e-13, 1.0];1773;0;1.0;True;3
1;(3, 0);False;[6.914400106940203e-13, 1.0];883;0;1.0;True;4
1;(3, 0);False;[1.006039279283317e-12, 1.0];1666;0;1.0;True;5
1;(3, 0);False;[0, 1.0];1170;0;1.0;True;6
1;(3, 0);False;[4.752193062771153e-13, 1.0];1408;0;1.0;True;7
1;(3, 0);False;[1.1399918530443554e-12, 1.0];938;0;1.0;True;8
1;(3, 0);False;[3.701011678592672e-13, 1.0];1687;0;1.0;True;9
1;(3, 1);True;[1.0, 1.783247290814639e-11];759;0;1.0;True;0
