id;iter;answer_token_len;correct_answer;extracted_number;finish_reasons;finish_reasons_post;frequency_of_answer;is_correct;reasoning_token_len
21;0;315;1080.0;1080;stop;stop;1.0;True;3506
21;1;285;1080.0;1080;stop;stop;1.0;True;2688
21;2;266;1080.0;1080;stop;stop;1.0;True;1237
21;3;252;1080.0;1080;stop;stop;1.0;True;2096
21;4;284;1080.0;1080;stop;stop;1.0;True;2260
21;5;308;1080.0;1080;stop;stop;1.0;True;2557
21;6;307;1080.0;1080;stop;stop;1.0;True;2771
21;7;240;1080.0;1080;stop;stop;1.0;True;1728
21;8;312;1080.0;1080;stop;stop;1.0;True;2592
21;9;262;1080.0;1080;stop;stop;1.0;True;1585
22;0;303;7.0;7;stop;stop;1.0;True;738
22;1;346;7.0;7;stop;stop;1.0;True;2025
22;2;319;7.0;7;stop;stop;1.0;True;958
22;3;348;7.0;7;stop;stop;1.0;True;1641
22;4;409;7.0;7;stop;stop;1.0;True;2890
22;5;432;7.0;7;stop;stop;1.0;True;2776
22;6;422;7.0;7;stop;stop;1.0;True;1607
22;7;321;7.0;7;stop;stop;1.0;True;927
22;8;457;7.0;7;stop;stop;1.0;True;2400
22;9;340;7.0;7;stop;stop;1.0;True;1721
23;0;279;5.0;5;stop;stop;1.0;True;449
23;1;275;5.0;5;stop;stop;1.0;True;575
23;2;314;5.0;5;stop;stop;1.0;True;345
23;3;156;5.0;5;stop;stop;1.0;True;416
23;4;321;5.0;5;stop;stop;1.0;True;648
23;5;322;5.0;5;stop;stop;1.0;True;421
23;6;321;5.0;5;stop;stop;1.0;True;526
23;7;403;5.0;5;stop;stop;1.0;True;468
23;8;319;5.0;5;stop;stop;1.0;True;486
23;9;321;5.0;5;stop;stop;1.0;True;609
24;0;148;62.0;62;stop;stop;1.0;True;429
24;1;147;62.0;62;stop;stop;1.0;True;967
24;2;152;62.0;62;stop;stop;1.0;True;523
24;3;160;62.0;62;stop;stop;1.0;True;976
24;4;136;62.0;62;stop;stop;1.0;True;523
24;5;199;62.0;62;stop;stop;1.0;True;714
24;6;147;62.0;62;stop;stop;1.0;True;536
24;7;146;62.0;62;stop;stop;1.0;True;952
24;8;162;62.0;62;stop;stop;1.0;True;832
24;9;119;62.0;62;stop;stop;1.0;True;817
25;0;259;110.0;110;stop;stop;1.0;True;751
25;1;302;110.0;110;stop;stop;1.0;True;850
25;2;267;110.0;110;stop;stop;1.0;True;617
25;3;314;110.0;110;stop;stop;1.0;True;833
25;4;280;110.0;110;stop;stop;1.0;True;612
25;5;274;110.0;110;stop;stop;1.0;True;986
25;6;326;110.0;110;stop;stop;1.0;True;628
25;7;280;110.0;110;stop;stop;1.0;True;633
25;8;283;110.0;110;stop;stop;1.0;True;731
25;9;261;110.0;110;stop;stop;1.0;True;813
26;0;270;400.0;400;stop;stop;1.0;True;760
26;1;243;400.0;400;stop;stop;1.0;True;652
26;2;179;400.0;400;stop;stop;1.0;True;574
26;3;240;400.0;400;stop;stop;1.0;True;527
26;4;375;400.0;400;stop;stop;1.0;True;677
26;5;290;400.0;400;stop;stop;1.0;True;787
26;6;170;400.0;400;stop;stop;1.0;True;609
26;7;241;400.0;400;stop;stop;1.0;True;523
26;8;194;400.0;400;stop;stop;1.0;True;762
26;9;159;400.0;400;stop;stop;1.0;True;593
27;0;205;400.0;400;stop;stop;1.0;True;1005
27;1;192;400.0;400;stop;stop;1.0;True;861
27;2;240;400.0;400;stop;stop;1.0;True;907
27;3;259;400.0;400;stop;stop;1.0;True;732
27;4;192;400.0;400;stop;stop;1.0;True;759
27;5;186;400.0;400;stop;stop;1.0;True;1652
27;6;263;400.0;400;stop;stop;1.0;True;686
27;7;204;400.0;400;stop;stop;1.0;True;980
27;8;316;400.0;400;stop;stop;1.0;True;1070
