correct_answer_idx;id;model_guessed_its_correct;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
0;(0, 0);True;[1.0, 0];1900;0;1.0;True;0
0;(0, 0);True;[1.0, 0];4009;0;1.0;True;1
0;(0, 0);True;[1.0, 0];2233;0;1.0;True;2
0;(0, 0);True;[1.0, 0];2453;0;1.0;True;3
0;(0, 0);True;[1.0, 3.0988191387218256e-12];4012;0;1.0;True;4
0;(0, 0);True;[1.0, 0];2123;0;1.0;True;5
0;(0, 0);True;[1.0, 0];3201;0;1.0;True;6
0;(0, 0);True;[1.0, 6.560200168153779e-12];3892;0;1.0;True;7
0;(0, 0);True;[1.0, 0];2196;0;1.0;True;8
0;(0, 0);True;[1.0, 0];1597;0;1.0;True;9
0;(0, 1);False;[2.7894680928689246e-10, 1.0];2282;0;0.9;True;0
0;(0, 1);False;[4.139937718785167e-08, 1.0];4096;0;0.9;True;1
0;(0, 1);False;[7.991959892953932e-11, 1.0];3975;0;0.9;True;2
0;(0, 1);False;[4.8473687062702556e-11, 1.0];3632;0;0.9;True;3
0;(0, 1);False;[2.382369667501818e-07, 0.9999997615814777];4096;0;0.9;True;4
0;(0, 1);True;[1.0, 4.139937718785167e-08];2173;0;0.1;False;5
0;(0, 1);False;[2.172439935079017e-10, 1.0];3809;0;0.9;True;6
0;(0, 1);False;[2.646573638909117e-09, 1.0];3544;0;0.9;True;7
0;(0, 1);False;[3.398267819495071e-09, 1.0];3504;0;0.9;True;8
0;(0, 1);False;[5.905303998944039e-10, 1.0];3913;0;0.9;True;9
0;(0, 2);True;[1.0, 0];1351;0;1.0;False;0
0;(0, 2);True;[1.0, 0];2892;0;1.0;False;1
0;(0, 2);True;[1.0, 0];2875;0;1.0;False;2
0;(0, 2);True;[1.0, 5.789356328730652e-12];4096;0;1.0;False;3
0;(0, 2);True;[1.0, 0];1377;0;1.0;False;4
0;(0, 2);True;[1.0, 0];2733;0;1.0;False;5
