id;iter;answer_token_len;correct_answer_idx;finish_reasons;frequency_of_answer;is_correct;model_guessed_its_correct;reasoning_token_len;yes_no_probabilities
(0, 0);0;49;1;stop;1.0;True;False;979;[0.0075727628269246176, 0.991836153460565]
(0, 0);1;141;1;stop;1.0;True;False;566;[0.005553250912179302, 0.9941456555348969]
(0, 0);2;245;1;stop;1.0;True;False;1841;[0.0028880226143198242, 0.9965728362887156]
(0, 0);3;174;1;stop;1.0;True;False;715;[0.03405641378722854, 0.9646528869124538]
(0, 0);4;269;1;stop;1.0;True;False;1145;[0.21415541373444194, 0.7712032243520321]
(0, 0);5;98;1;stop;1.0;True;False;614;[0.02160439190706956, 0.977889500944195]
(0, 0);6;245;1;stop;1.0;True;False;3401;[0.0711455299286576, 0.9226291603491913]
(0, 0);7;65;1;stop;1.0;True;False;591;[0.051834002348880845, 0.9479447884366534]
(0, 0);8;290;1;stop;1.0;True;False;2181;[0.007811967197495589, 0.9916863033173484]
(0, 0);9;204;1;stop;1.0;True;False;1021;[0.21131656946960362, 0.7851362805761365]
(0, 1);0;227;1;stop;1.0;True;True;547;[0.9965427653051498, 0.0014296319173757622]
(0, 1);1;175;1;stop;1.0;True;True;682;[0.993170376661505, 0.0023860807714486763]
(0, 1);2;190;1;stop;1.0;True;True;812;[0.9803425653296337, 0.01488571701927347]
(0, 1);3;266;1;stop;1.0;True;True;520;[0.9968023358525123, 0.0018361617065640297]
(0, 1);4;229;1;stop;1.0;True;True;859;[0.9994736106009502, 0.0003859119095200956]
(0, 1);5;287;1;stop;1.0;True;True;1106;[0.9987183567122454, 0.0010985296315408125]
(0, 1);6;293;1;stop;1.0;True;True;734;[0.9983292169451352, 0.0010981017541577191]
(0, 1);7;247;1;stop;1.0;True;True;675;[0.9814620310493378, 0.009181294752091212]
(0, 1);8;378;1;stop;1.0;True;True;672;[0.9970428436907013, 0.001836604788381043]
(0, 1);9;398;1;stop;1.0;True;True;240;[0.9955042973286437, 0.0037043197723082653]
(0, 2);0;279;1;stop;0.9;True;False;1311;[0.09181551161223613, 0.8987737793401738]
(0, 2);1;199;1;stop;0.9;True;False;689;[0.006288758144483447, 0.9935292629190169]
(0, 2);2;225;1;stop;0.9;True;False;959;[0.003373209153902545, 0.9956189057692748]
(0, 2);3;51;1;stop;0.9;True;False;615;[0.014947199297036279, 0.9843918077913542]
(0, 2);4;85;1;stop;0.9;True;False;847;[0.03728789334287017, 0.9616674656036047]
(0, 2);5;298;1;stop;0.9;True;False;717;[0.07570968627219736, 0.9223328438812041]
(0, 2);6;237;1;stop;0.9;True;False;1014;[0.18907543046907827, 0.7960373311335738]
(0, 2);7;61;1;stop/stop;0.1;False;True;920;[0.8052530729331662, 0.0889461855241535]
(0, 2);8;271;1;stop;0.9;True;False;2287;[0.08025851454646554, 0.9185100389314523]
(0, 2);9;152;1;stop;0.9;True;False;957;[0.16854694828767394, 0.829617204859332]
(0, 3);0;258;1;stop;0.8;True;False;1351;[0.23073390715654488, 0.7565473780964609]
(0, 3);1;324;1;stop;0.8;True;False;957;[0.017914235973954175, 0.9780840177292737]
(0, 3);2;218;1;stop;0.8;True;False;1065;[0.1006599378770231, 0.8971722403380363]
(0, 3);3;59;1;stop;0.8;True;False;1335;[0.014495607493467868, 0.9849549296835438]
(0, 3);4;243;1;stop;0.8;True;False;986;[0.00970126026790012, 0.9895554497228263]
(0, 3);5;144;1;stop;0.8;True;False;470;[0.008060906533282373, 0.991804490712372]
(0, 3);6;233;1;stop;0.2;False;True;984;[0.9122198818230617, 0.07487957499679081]
(0, 3);7;210;1;stop;0.8;True;False;829;[0.01281953246435388, 0.987049271156229]
(0, 3);8;426;1;stop;0.2;False;True;147;[0.5119635534889496, 0.46614812010062995]
(0, 3);9;156;1;stop;0.8;True;False;775;[0.18102303286290025, 0.8112888995045202]
(1, 0);0;300;2;stop/stop;0.5;True;False;3802;[0.4167566075583893, 0.5696387434456845]
(1, 0);1;55;2;stop;0.5;True;False;3043;[0.021612835862897944, 0.9782717655440301]
(1, 0);2;130;2;stop/stop;0.5;True;False;4390;[0.08751462772754325, 0.9119233685864223]
(1, 0);3;220;2;stop/stop;0.5;False;True;6382;[0.759869831112164, 0.2177063516029775]
(1, 0);4;270;2;stop/stop;0.5;False;True;3032;[0.7654173913221093, 0.1935278238438056]
(1, 0);5;443;2;stop/stop;0.5;False;True;3412;[0.7164433505052089, 0.24759621143774807]
(1, 0);6;460;2;stop;0.5;True;False;3582;[0.2635392524129033, 0.7163739609196768]
(1, 0);7;385;2;stop;0.5;False;True;3561;[0.9980912946833996, 0.0016480530021834895]
(1, 0);8;367;2;stop/stop;0.5;False;True;3902;[0.4738344498484952, 0.4738344498484952]
(1, 0);9;44;2;stop;0.5;True;False;3999;[0.032087572593933085, 0.9675032196379616]
(1, 1);0;501;2;stop/stop;0.7;True;False;9323;[0.08889719097908698, 0.8978297167093023]
(1, 1);1;460;2;stop/stop;0.7;True;False;8067;[0.3109990529016383, 0.6792844037549002]
(1, 1);2;465;2;stop/stop;0.7;True;False;9536;[0.11547687691323592, 0.8803506772204854]
(1, 1);3;36;2;stop/stop;0.3;False;True;8330;[0.6871909068632277, 0.15574765612931765]
(1, 1);4;185;2;stop/stop;0.3;False;True;3567;[0.21230755305168245, 0.07337152703690689]
(1, 1);5;606;2;stop/length;0.7;True;False;7885;[0.3609174882224367, 0.6334299562385676]
(1, 1);6;351;2;stop/stop;0.7;True;False;5912;[0.0826155619608928, 0.9163955631404056]
(1, 1);7;324;2;stop/stop;0.3;False;True;6970;[0.6354346471017218, 0.23376334287675407]
(1, 1);8;643;2;stop/stop;0.7;True;False;7892;[0.35163436008371957, 0.636727569031011]
(1, 1);9;452;2;stop/stop;0.7;True;False;8046;[0.1536999208640464, 0.8308939343705586]
(1, 2);0;293;2;stop;1.0;True;True;3143;[0.9970581310633909, 0.0027143673397043142]
(1, 2);1;420;2;stop;1.0;True;True;3003;[0.9989682362992427, 0.0008692260391313254]
(1, 2);2;70;2;stop/stop;1.0;True;True;4914;[0.9974006207780906, 0.0009531601909387083]
(1, 2);3;126;2;stop/stop;1.0;True;True;9141;[0.9932799796053009, 0.005548417775205335]
(1, 2);4;323;2;stop;1.0;True;True;3467;[0.9974385713151479, 0.0021818875960683696]
(1, 2);5;450;2;stop;1.0;True;True;2552;[0.9995942570688551, 0.00031997065635721997]
(1, 2);6;439;2;stop;1.0;True;True;2129;[0.9992005069228743, 0.0006461042716951273]
(1, 2);7;111;2;stop;1.0;True;True;2382;[0.9992619243985217, 0.0003249016152015824]
(1, 2);8;459;2;stop;1.0;True;True;3230;[0.9977254269818746, 0.0015967621213824254]
(1, 2);9;108;2;stop;1.0;True;True;1813;[0.9996243934539321, 0.0001123236920197642]
(1, 3);0;474;2;stop/stop;0.7;True;False;9088;[0.2274605514755246, 0.7694891270179252]
(1, 3);1;544;2;stop/stop;0.7;True;False;6028;[0.034915221078002434, 0.9585510412967677]
(1, 3);2;0;2;length/length;0.7;True;False;10240;[0.016383325432455794, 0.9824152452776952]
(1, 3);3;580;2;stop/stop;0.7;True;False;6367;[0.4500333705220461, 0.5261423148691594]
(1, 3);4;345;2;stop/stop;0.3;False;True;5858;[0.6550074124195278, 0.3094036026453702]
(1, 3);5;511;2;stop/stop;0.7;True;False;7397;[0.14742402792684375, 0.8483667435403066]
(1, 3);6;373;2;stop/stop;0.7;True;False;3095;[0.2162404444396674, 0.7787117775316388]
(1, 3);7;126;2;stop/stop;0.3;False;True;3790;[0.39856856373682387, 0.11419181900100125]
(1, 3);8;112;2;stop/stop;0.3;False;True;5246;[0.5144728310250657, 0.48330249792757674]
(1, 3);9;496;2;stop/stop;0.7;True;False;5785;[0.3521557880692026, 0.5806067037830034]
(2, 0);0;103;2;stop;1.0;True;False;406;[0.012051464538304354, 0.9877564988272733]
(2, 0);1;105;2;stop;1.0;True;False;955;[0.008574818623543003, 0.9911140567904838]
(2, 0);2;169;2;stop;1.0;True;False;358;[0.00027801335234605156, 0.9996582246165773]
(2, 0);3;89;2;stop;1.0;True;False;255;[0.04082415569836378, 0.9586479884735516]
(2, 0);4;76;2;stop;1.0;True;False;410;[0.03408724192412349, 0.9655261487417297]
(2, 0);5;217;2;stop;1.0;True;False;450;[0.0008829488806890593, 0.9990073767999752]
(2, 0);6;203;2;stop;1.0;True;False;3210;[0.0311146929119703, 0.9679496632885816]
(2, 0);7;33;2;stop;1.0;True;False;602;[0.016904589014874908, 0.9824849720884401]
(2, 0);8;74;2;stop;1.0;True;False;742;[0.0017544729567096648, 0.9981649280495315]
(2, 0);9;77;2;stop;1.0;True;False;332;[0.008313183085700166, 0.9913745554682828]
(2, 1);0;117;2;stop;1.0;True;False;446;[0.008315129654551199, 0.9916069414301576]
(2, 1);1;83;2;stop;1.0;True;False;395;[0.0038236665515778228, 0.9959628909616753]
(2, 1);2;108;2;stop;1.0;True;False;311;[0.07577496730437575, 0.9231280884359009]
(2, 1);3;163;2;stop;1.0;True;False;448;[0.16440144577424584, 0.8348994568418012]
(2, 1);4;286;2;stop;1.0;True;False;361;[0.06153021999164734, 0.9328817568400337]
(2, 1);5;97;2;stop;1.0;True;False;288;[0.005553936785594788, 0.9942680830313979]
(2, 1);6;101;2;stop;1.0;True;False;382;[0.019114500299590997, 0.9803869041745745]
(2, 1);7;82;2;stop;1.0;True;False;561;[0.007814742842479202, 0.992038720867405]
(2, 1);8;122;2;stop;1.0;True;False;628;[0.10082449074605607, 0.8986389844929502]
(2, 1);9;78;2;stop;1.0;True;False;381;[0.03307254175359914, 0.9665213563756404]
(2, 2);0;96;2;stop;1.0;True;True;461;[0.9984923715285765, 0.0006456463094125578]
(2, 2);1;71;2;stop;1.0;True;True;400;[0.9990813834076913, 0.0005882145090968996]
(2, 2);2;337;2;stop;1.0;True;True;363;[0.9972642605940574, 0.00271492912889722]
(2, 2);3;146;2;stop;1.0;True;True;480;[0.9962746919667088, 0.003707185912106634]
(2, 2);4;321;2;stop;1.0;True;True;1073;[0.9688063048115733, 0.03114222705804428]
(2, 2);5;122;2;stop;1.0;True;True;493;[0.9994201447889461, 0.0003459107258462137]
(2, 2);6;229;2;stop;1.0;True;True;480;[0.9917369518820284, 0.007812365786541335]
(2, 2);7;130;2;stop;1.0;True;True;497;[0.9989737087015733, 0.00034575620869464735]
(2, 2);8;92;2;stop;1.0;True;True;2266;[0.9994783739722509, 0.00029589033568123735]
(2, 2);9;117;2;stop;1.0;True;True;514;[0.9943536472002429, 0.005554413504271104]
(2, 3);0;238;2;stop;1.0;True;False;801;[0.007343865905036798, 0.9923893934662268]
(2, 3);1;250;2;stop;1.0;True;False;464;[0.03306420824410893, 0.9662777615317042]
(2, 3);2;171;2;stop;1.0;True;False;487;[0.010322374012301792, 0.9891181305151584]
(2, 3);3;104;2;stop;1.0;True;False;594;[0.03621069145001546, 0.963530687326391]
(2, 3);4;320;2;stop;1.0;True;False;1468;[0.06739553857854418, 0.930366739844549]
(2, 3);5;95;2;stop;1.0;True;False;1672;[0.016394313038018787, 0.9830741390569578]
(2, 3);6;253;2;stop;1.0;True;False;3473;[0.0026311649133581405, 0.9971753501675177]
(2, 3);7;222;2;stop;1.0;True;False;694;[0.0396268311997343, 0.9600702432361411]
(2, 3);8;98;2;stop;1.0;True;False;912;[0.0016483375054910264, 0.9982632811258441]
(2, 3);9;172;2;stop;1.0;True;False;2664;[0.037319386573033145, 0.962479776370663]
(3, 0);0;208;0;stop;1.0;True;True;552;[0.9996685888426051, 0.00011232861965797807]
(3, 0);1;110;0;stop;1.0;True;True;436;[0.9981864262911473, 0.0009996900079783165]
(3, 0);2;174;0;stop;1.0;True;True;468;[0.9994565818665491, 0.0001940453633837512]
(3, 0);3;86;0;stop;1.0;True;True;519;[0.99967406886377, 0.00011589497596006752]
(3, 0);4;232;0;stop;1.0;True;True;443;[0.9968839532094774, 0.0003191030788966685]
(3, 0);5;69;0;stop;1.0;True;True;491;[0.998436396305618, 0.0005187621943301366]
(3, 0);6;64;0;stop;1.0;True;True;544;[0.9997527018955263, 0.00014882387448198633]
(3, 0);7;221;0;stop;1.0;True;True;594;[0.9984510133305501, 0.00022663387665019025]
(3, 0);8;101;0;stop;1.0;True;True;412;[0.999581512168098, 0.00012727395573212402]
(3, 0);9;133;0;stop;1.0;True;True;307;[0.9994867099993752, 0.00020336400089130627]
(3, 1);0;81;0;stop;1.0;True;False;377;[0.005219199986776063, 0.9946032337819588]
(3, 1);1;124;0;stop;1.0;True;False;286;[0.008060145508735284, 0.9917109234907879]
(3, 1);2;97;0;stop;1.0;True;False;585;[0.009410023178474376, 0.9903172459631672]
(3, 1);3;236;0;stop;1.0;True;False;321;[0.07067437138975508, 0.9165192139209025]
(3, 1);4;213;0;stop;1.0;True;False;520;[0.18943392331039072, 0.7730086543024631]
(3, 1);5;82;0;stop;1.0;True;False;528;[0.008846447313099052, 0.9910511780615239]
(3, 1);6;163;0;stop;1.0;True;False;684;[0.024415396495175067, 0.9752695027999285]
(3, 1);7;106;0;stop;1.0;True;False;673;[0.007345424383905772, 0.9925997045462337]
(3, 1);8;249;0;stop;1.0;True;False;456;[0.03845040172497501, 0.9611391325398088]
(3, 1);9;193;0;stop;1.0;True;False;498;[0.030207637417838395, 0.9695623636699221]
(3, 2);0;85;0;stop;0.9;True;False;509;[0.016910288916091122, 0.9828163715458814]
(3, 2);1;90;0;stop;0.9;True;False;616;[0.01281869503407557, 0.9869849323185157]
(3, 2);2;169;0;stop;0.9;True;False;1817;[0.07582300237645523, 0.9237131859471727]
(3, 2);3;225;0;stop;0.1;False;True;573;[0.5731963111724147, 0.3939516793113345]
(3, 2);4;72;0;stop;0.9;True;False;434;[0.015421961129426325, 0.9844100611760755]
(3, 2);5;99;0;stop;0.9;True;False;617;[0.007343606774325682, 0.9923542916552196]
(3, 2);6;95;0;stop;0.9;True;False;431;[0.050316279161565655, 0.9493985096412081]
(3, 2);7;87;0;stop;0.9;True;False;526;[0.012818542224233592, 0.9869730875610165]
(3, 2);8;62;0;stop;0.9;True;False;454;[0.006487298887865451, 0.99336325597584]
(3, 2);9;136;0;stop;0.9;True;False;628;[0.014062701114588148, 0.9858714924821818]
(3, 3);0;90;0;stop;1.0;True;False;413;[0.02757969807272127, 0.9722178858549728]
(3, 3);1;194;0;stop;1.0;True;False;290;[0.021610213195115215, 0.9781529032996223]
(3, 3);2;170;0;stop;1.0;True;False;937;[0.022963933240497045, 0.9764513938525189]
(3, 3);3;157;0;stop;1.0;True;False;390;[0.023686216408661857, 0.976176298114495]
(3, 3);4;124;0;stop;1.0;True;False;677;[0.026754968113124476, 0.9730836806703227]
(3, 3);5;140;0;stop;1.0;True;False;525;[0.016912885547655247, 0.9829673522082607]
(3, 3);6;85;0;stop;1.0;True;False;786;[0.0066916386420141725, 0.9931274593523731]
(3, 3);7;84;0;stop;1.0;True;False;400;[0.06752016730210575, 0.9320872349680791]
(3, 3);8;76;0;stop;1.0;True;False;343;[0.006487397876945991, 0.9933781957377154]
(3, 3);9;83;0;stop;1.0;True;False;355;[0.0044677128932238104, 0.99538203743547]
(4, 0);0;254;1;stop;1.0;True;False;1061;[0.3361950402995768, 0.6280949875110677]
(4, 0);1;178;1;stop;1.0;True;False;695;[0.10080040711421928, 0.8984243561748942]
(4, 0);2;109;1;stop;1.0;True;False;449;[0.06950153828556055, 0.9299202675717072]
(4, 0);3;339;1;stop;1.0;True;False;1461;[0.14734178551326876, 0.7965221432856257]
(4, 0);4;272;1;stop;1.0;True;False;403;[0.0461355536135768, 0.8981470353891126]
(4, 0);5;87;1;stop;1.0;True;False;781;[0.00912369122303115, 0.9906629575419454]
(4, 0);6;195;1;stop;1.0;True;False;934;[0.002182460934583307, 0.9977002700241635]
(4, 0);7;109;1;stop;1.0;True;False;1764;[0.05498018965491326, 0.9445636068237611]
(4, 0);8;147;1;stop;1.0;True;False;594;[0.02227074141104433, 0.9770363020687862]
(4, 0);9;76;1;stop;1.0;True;False;517;[0.03512982427292562, 0.9644428308196453]
(4, 1);0;145;1;stop;1.0;True;True;908;[0.9991764657297626, 0.00022328223149979006]
(4, 1);1;211;1;stop;1.0;True;True;634;[0.9997110010050931, 0.0002304932538730584]
(4, 1);2;276;1;stop;1.0;True;True;567;[0.9981446184083409, 0.0007545739438876456]
(4, 1);3;124;1;stop;1.0;True;True;859;[0.9985019984398733, 0.00040403898948829437]
(4, 1);4;95;1;stop;1.0;True;True;741;[0.9991546868367749, 0.00043037853082135213]
(4, 1);5;104;1;stop;1.0;True;True;410;[0.9994886153817789, 0.00020981986744150253]
(4, 1);6;67;1;stop;1.0;True;True;376;[0.9992390705280706, 6.498292388109185e-05]
(4, 1);7;161;1;stop;1.0;True;True;1026;[0.9993783525958361, 0.00020334189258832633]
(4, 1);8;171;1;stop;1.0;True;True;760;[0.9997156475252866, 0.00026118431948951283]
