id;amount_answer_tokens;confidence_per_choice;finish_reason
('abstract_algebra', 0);2;[0.0077357989125542955, 0.3289345398967177, 0.5423214049205521, 0.12100825471919001];stop
('abstract_algebra', 1);2;[0.237451684690438, 0.30489399837784587, 0.3454901626112155, 0.11216423373976858];stop
('abstract_algebra', 2);2;[0.03520846694623372, 0.024198401854812753, 0.1392521880687675, 0.8013409663365376];stop
('abstract_algebra', 3);2;[0.2157651596115798, 0.01771108494112756, 0.6646034998518038, 0.10192025679717744];stop
('abstract_algebra', 4);2;[0.005851992419902117, 0.9841537856719808, 0.0014796153981004915, 0.008514598729368371];stop
('abstract_algebra', 5);2;[0.08361131319747277, 0.03949518778523951, 0.7932821352944294, 0.08361131319747277];stop
('abstract_algebra', 6);2;[0.8373650965073349, 0.005642122227669688, 0.08825764105303266, 0.06873511996413681];stop
('abstract_algebra', 7);2;[0.13766069909690432, 0.03071625383563707, 0.7921826274038651, 0.039440450630390325];stop
('abstract_algebra', 8);2;[0.001568361841280262, 0.29887682805678917, 0.5583754257872618, 0.1411794169633545];stop
('abstract_algebra', 9);2;[0.01898261479453748, 0.051600096852629056, 0.9146336218650024, 0.014783678791431894];stop
('abstract_algebra', 10);2;[0.38494213165032254, 0.019165139083814547, 0.5600874966760486, 0.03580519361696282];stop
('abstract_algebra', 11);2;[0.09514617015439089, 0.044943868402339646, 0.7030404307736694, 0.15686951455919798];stop
('abstract_algebra', 12);2;[0.08133263211399264, 0.283878779710909, 0.5303553825956981, 0.10443316684048018];stop
('abstract_algebra', 13);2;[0.18453011602343175, 0.5016048611899337, 0.23694135911842423, 0.07692359685703724];stop
('abstract_algebra', 14);2;[0.011098110868254914, 0.2862241199721287, 0.41645363721609735, 0.2862241199721287];stop
('abstract_algebra', 15);2;[0.0807800840831151, 0.00751371646797558, 0.8684677362087493, 0.04323846320221233];stop
('abstract_algebra', 16);2;[0.0043523644168483346, 0.022103130311267767, 0.1441305319345602, 0.8294139447647496];stop
('abstract_algebra', 17);2;[0.08652854808848633, 0.14266145775628633, 0.7244946197581407, 0.04631539425751734];stop
('abstract_algebra', 18);2;[0.00020156945908464746, 0.002455619888891514, 0.006675066921576421, 0.9906677542901676];stop
('abstract_algebra', 19);2;[0.09411340520361701, 0.01124024065727399, 0.788001823575612, 0.10664445951933002];stop
('abstract_algebra', 20);2;[0.22882547151538754, 0.021284081814132577, 0.7048320518176774, 0.04505840155410419];stop
('abstract_algebra', 21);2;[0.015458176751516381, 0.9563636553169075, 0.005686745424877228, 0.02249151982150257];stop
('abstract_algebra', 22);2;[0.17999697046567822, 0.05157000160634166, 0.6282511582293471, 0.14018178154915073];stop
('abstract_algebra', 23);2;[0.0013216071741405796, 0.00010848417479993753, 0.9961009060882251, 0.002469087260401561];stop
('abstract_algebra', 24);2;[0.41623309744245796, 0.030151822651156835, 0.4716538904821348, 0.08196115160755946];stop
('abstract_algebra', 25);2;[0.11834426298284857, 0.004049518957734473, 0.0031537685353461064, 0.8744524111972263];stop
('abstract_algebra', 26);2;[0.028072062791550046, 0.00626372386637534, 0.929618942861951, 0.03604524212320449];stop
('abstract_algebra', 27);2;[0.7389670937653486, 0.1868401357323689, 0.013534657263612738, 0.06065811106708253];stop
('abstract_algebra', 28);2;[0.3155639685465162, 0.008409495916132704, 0.21688373235475214, 0.45914286499802914];stop
('abstract_algebra', 29);2;[0.6379866717838292, 0.005519665076435067, 0.34148966749227355, 0.015004005276453448];stop
('abstract_algebra', 30);2;[0.4690896369310576, 0.018188580158195675, 0.4690896369310576, 0.04363213557383577];stop
('abstract_algebra', 31);2;[0.0004671839505772575, 0.9571575262323767, 0.019865171807834318, 0.022510188703954184];stop
('abstract_algebra', 32);2;[0.23697616026676926, 0.008108876355745634, 0.7299379398917563, 0.02497710353176557];stop
('abstract_algebra', 33);2;[0.025650486286079847, 0.002385866879904846, 0.9625273752801247, 0.0094362865606988];stop
('abstract_algebra', 34);2;[0.15770234763045315, 0.039873397832343394, 0.7067729298690041, 0.0956513089465298];stop
('abstract_algebra', 35);2;[0.0010084746765677236, 0.2796220441221141, 0.6707784132931174, 0.048591031075276084];stop
('abstract_algebra', 36);2;[0.046177414969885394, 0.019249610467879014, 0.49645393805823274, 0.438119062612315];stop
('abstract_algebra', 37);2;[0.08442997788550166, 0.37838893165207454, 0.10841023753536808, 0.4287708325591573];stop
('abstract_algebra', 38);2;[0.18265927851189054, 0.4965193975783118, 0.2345391562031125, 0.08628212343119139];stop
