correct_answer_idx;model_guessed_its_correct;id;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
1;False;(0, 0);[0, 1.0];457;0;1.0;True;0
1;False;(0, 0);[0, 1.0];422;0;1.0;True;1
1;False;(0, 0);[0, 1.0];475;0;1.0;True;2
1;False;(0, 0);[0, 1.0];538;0;1.0;True;3
1;False;(0, 0);[0, 1.0];416;0;1.0;True;4
1;False;(0, 0);[0, 1.0];378;0;1.0;True;5
1;False;(0, 0);[0, 1.0];397;0;1.0;True;6
1;False;(0, 0);[0, 1.0];416;0;1.0;True;7
1;False;(0, 0);[0, 1.0];447;0;1.0;True;8
1;False;(0, 0);[0, 1.0];414;0;1.0;True;9
1;True;(0, 1);[1.0, 1.3887943864964021e-11];521;0;1.0;True;0
1;True;(0, 1);[0.9999963045256735, 3.7266389560521204e-06];478;0;1.0;True;1
1;True;(0, 1);[0.9999724634116024, 2.7535687796947383e-05];413;0;1.0;True;2
1;True;(0, 1);[0.9999996423722521, 3.059023205018258e-07];451;0;1.0;True;3
1;True;(0, 1);[0.9999977350285647, 2.2603250957489616e-06];497;0;1.0;True;4
1;True;(0, 1);[0.9999977350285647, 2.2603250957489616e-06];413;0;1.0;True;5
1;True;(0, 1);[0.9990889988442552, 0.0009110514045295695];492;0;1.0;True;6
1;True;(0, 1);[0.9999898673126559, 1.0129987330277146e-05];546;0;1.0;True;7
1;True;(0, 1);[1.0, 4.139937718785167e-08];437;0;1.0;True;8
1;True;(0, 1);[0.9890127098465761, 0.010986936344888492];375;0;1.0;True;9
1;False;(0, 2);[0, 1.0];464;0;1.0;True;0
1;False;(0, 2);[0, 1.0];401;0;1.0;True;1
1;False;(0, 2);[0, 1.0];408;0;1.0;True;2
1;False;(0, 2);[0, 1.0];384;0;1.0;True;3
1;False;(0, 2);[0, 1.0];502;0;1.0;True;4
1;False;(0, 2);[0, 1.0];317;0;1.0;True;5
1;False;(0, 2);[0, 1.0];471;0;1.0;True;6
1;False;(0, 2);[0, 1.0];462;0;1.0;True;7
1;False;(0, 2);[0, 1.0];447;0;1.0;True;8
1;False;(0, 2);[0, 1.0];278;0;1.0;True;9
1;False;(0, 3);[0, 1.0];444;0;1.0;True;0
1;False;(0, 3);[0, 1.0];405;0;1.0;True;1
1;False;(0, 3);[0, 1.0];395;0;1.0;True;2
1;False;(0, 3);[0, 1.0];462;0;1.0;True;3
1;False;(0, 3);[0, 1.0];407;0;1.0;True;4
1;False;(0, 3);[0, 1.0];467;0;1.0;True;5
1;False;(0, 3);[0, 1.0];498;0;1.0;True;6
1;False;(0, 3);[0, 1.0];491;0;1.0;True;7
1;False;(0, 3);[0, 1.0];422;0;1.0;True;8
1;False;(0, 3);[0, 1.0];445;0;1.0;True;9
2;False;(1, 0);[0, 1.0];456;0;1.0;True;0
2;False;(1, 0);[0, 1.0];449;0;1.0;True;1
2;False;(1, 0);[0, 1.0];441;0;1.0;True;2
2;False;(1, 0);[0, 1.0];417;0;1.0;True;3
2;False;(1, 0);[0, 1.0];336;0;1.0;True;4
2;False;(1, 0);[0, 1.0];515;0;1.0;True;5
2;False;(1, 0);[0, 1.0];533;0;1.0;True;6
2;False;(1, 0);[0, 1.0];475;0;1.0;True;7
2;False;(1, 0);[8.993766029028821e-18, 1.0];335;0;1.0;True;8
